id	subsystem	name	keggId	confidenceEcoIDA	confidenceScore	sboTerm	references	ECNumber	notes
5HTRPVESSEC	Transport, extracellular	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)		3A0000269	4.0	185.0	PMID:12827358,PMID:15383652		SAB This reaction represents the ATP driven secretion of 5htrp from the cell.  It leaves out the vesicle because that is not a compartment.  ATP:H ratio is assumed as 1:3 for vacuolar ATPase and substrate:h ratio is 1:2.  This gives a 3:2 ratio for substrate:ATP
5HXKYNDCL	Tryptophan metabolism	5-Hydroxykynurenamine decarboxy-lyase		3A0000212	1.0	176.0		4.1.1.28	SAB
5HXKYNOXDA	Tryptophan metabolism	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000212	1.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
5MTHFt	Transport, extracellular	5-Methyltetrahydrofolate transport via receptor binding and protolysis		3A0000269	4.0	185.0	PMID:15094208		IT
5MTHFt2	Transport, extracellular	5-methyltetrahydrofolate transport via anion exchange		3A0000269	4.0	185.0	PMID:11375437,PMID:14770311		IT
A_MANASE	N-glycan degradation	alpha-mannosidase		3A0000000	0.0	176.0		3.2.1.24	NCD
A4GALTc	Sphingolipid metabolism	Lactosylceramide 4-alpha-galactosyltransferase		3A0000269	4.0	176.0	PMID:10748143	2.4.1.228	EC: 2.4.1.228 NJ
AACOAT	Propanoate metabolism	Acetoacetyl-CoA:acetate CoA-transferase		3A0000269	4.0	176.0	PMID:12623130	6.2.1.16	also EC 2.8.3.8 NCD
AACTOOR	Glycine, serine, alanine and threonine metabolism	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4.0	176.0	PMID:10328770,PMID:12878330	1.4.3.6	
AATAi	Lysine metabolism	2-aminoadipate transaminase, irreversible		3A0000269	4.0	176.0	PMID:12126930	2.6.1.39	MM
ABTArm	Glutamate metabolism	4-aminobutyrate transaminase, reversible (mitochondrial)		3A0000269	4.0	176.0	PMID:10407778,PMID:7721088	2.6.19.4	kh 1/6/03
ABUTD	beta-Alanine metabolism	Aminobutyraldehyde dehydrogenase		3A0000269	4.0	176.0	PMID:8786138	1.2.1.19	JLR
ABUTt2r	Transport, extracellular	4-aminobutyrate reversible transport in via proton symport		3A0000304	2.0	185.0	PMID:11390972,PMID:11959859		SAB r
ABUTt4_2_r	Transport, extracellular	4-aminobutyrate reversible transport in via sodium symport (1:2)		3A0000269	4.0	185.0	PMID:12719981		SAB
ACACT10m	Valine, leucine, and isoleucine metabolism	acetyl-CoA C-acetyltransferase, mitochondrial		3A0000134	4.0	176.0	PMID:676035	2.3.1.9	MM. 2-Methyl-3-acetoacetyl-CoA excreted into urine for patients with disease deficiency
ACACT1r	Tryptophan metabolism	acetyl-CoA C-acetyltransferase		3A0000000	0.0	176.0		2.3.1.9	JLR- reversible form of ACACT1
ACACT1rm	Tryptophan metabolism	acetyl-CoA C-acetyltransferase, mitochondrial		3A0000000	0.0	176.0		2.3.1.9	TDV
ACACt2	Transport, extracellular	acetoacetate transport via proton symport		3A0000269	4.0	185.0	PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713		originally named AACTP NCD
ACACt2m	Transport, mitochondrial	Acetoacetate mitochondrial transport via H+ symport		3A0000269	4.0	185.0	PMID:28726,PMID:627555		IT, TDV changed name from &quot;tm2&quot; to &quot;t2m&quot; - NCD
ACCOAC	Fatty acid oxidation	acetyl-CoA carboxylase			4.0				
ACCOACm	Fatty acid oxidation	Acetyl-Coa carboxylase, beta isoform		3A0000269	4.0	176.0	PMID:10677481	6.4.1.2	TDV (9/14/2004)
ACCOAL	Propanoate metabolism	acetate-CoA ligase (ADP-forming)		3A0000269	4.0	176.0	PMID:10843999	6.2.1.13	JLR- also acts on propanoate
ACCOALm	Propanoate metabolism	acetate-CoA ligase (AMP-forming)		3A0000304	2.0	176.0	PMID:11150295	6.2.1.17	TDV-mitochondrial version JLR- also acts on propanoate AMF- made reaction to create AMP not ADP and changed EC
ACETONEt2	Transport, extracellular	acetone transport via proton symport		3A0000269	4.0	185.0	PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713		NCD
ACETONEt2m	Transport, mitochondrial	acetone mitochondrial transport via proton symport		3A0000000	0.0	185.0			NCD
ACGAM2E	Aminosugar metabolism	N-acetylglucosamine 2-epimerase		3A0000269	4.0	176.0	PMID:12499362	5.1.3.8	NCD
ACGAM6PSi	Aminosugar metabolism	N-acetylglucosamine-6-phosphate synthase		3A0000304	2.0	176.0		2.3.1.4	NCD
ACGAMK	Aminosugar metabolism	N-acetylglucosamine kinase		3A0000269	4.0	176.0	PMID:10824116	2.7.1.59	
ACGAMPM	Aminosugar metabolism	phosphoacetylglucosamine mutase		3A0000269	4.0	176.0	PMID:11004509	5.4.2.3	NCD
ACGPID	Phosphatidylinositol phosphate metabolism	N-acetylglucosaminylphosphatidylinositol deacetylase		3A0000269	4.0	176.0	PMID:10085243,PMID:14742432	3.5.1.89	NCD
ACGSm	Urea cycle	N-acteylglutamate synthase, mitochondrial		3A0000269	4.0	176.0	PMID:12459178	2.3.1.1	NCD
ACHEe	Glycerophospholipid metabolism	Acetylcholinesterase		3A0000269	4.0	176.0	PMID:11283752,PMID:1517212	3.1.1.7	NJ
ACHVESSEC	Transport, extracellular	Acetylcholine secretion via secretory vesicle (ATP driven)		3A0000269	4.0	185.0	PMID:12827358,PMID:15383652		SAB This reaction represents the ATP driven secretion of ach from the cell.  It leaves out the vesicle because that is not a compartment.  ATP:H ratio is assumed as 1:3 for vacuolar ATPase and substrate:h ratio is 1:2.  This gives a 3:2 ratio for substrate:ATP
ACITL	Citric acid cycle	ATP-Citrate lyase		3A0000000	4.0	176.0	PMID:2295639	2.3.3.8	ATP dependent citrate lyase.  Reaction is reversible in KEGG (new EC 2.3.3.8) NCD
ACNAM9PL	Aminosugar metabolism	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)		3A0000269	4.0	176.0	PMID:10749855	2.5.1.56	EC-2.5.1.56 NCD
ACNAM9PL2	Aminosugar metabolism	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)		3A0000000	4.0	176.0	PMID:10749855	2.5.1.56	EC-2.5.1.56 NCD
ACNAMPH	Aminosugar metabolism	N-Acetylneuraminate 9-phosphate phosphohydrolase		3A0000000	2.0	176.0		3.1.3.29	NCD
ACOAD10m	Valine, leucine, and isoleucine metabolism	acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial		3A0000269	4.0	176.0	PMID:11013134	1.3.99.12	MM
ACOAD1fm	Butanoate metabolism	acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial		3A0000269	4.0	176.0	PMID:2565344	1.3.99.2	Assume NAD/NADH as acceptors Lumped long-chain acyl-CoA dehydrogenase (EC 1.3.99.13) This reaction is therefore equilivalent to trans-2-enoyl-CoA reductase (NAD) (EC 1.3.1.44)
ACOAD8m	Valine, leucine, and isoleucine metabolism	acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial		3A0000269	4.0	176.0	PMID:9214289	1.3.99.10	MM
ACOAD9m	Valine, leucine, and isoleucine metabolism	acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial		3A0000269	4.0	176.0	PMID:11013134	1.3.99.12	MM
ACOAHi	Pyruvate metabolism	acetyl-CoA hydrolase		3A0000000	0.0	176.0	PMID:16951743,PMID:16951744,PMID:6109001	3.1.2.1	NCD. measured in rat brain; 78.7 
ACOATA	Fatty acid oxidation	Acetyl-CoA ACP transacylase		3A0000000	4.0	176.0	PMID:11756679,PMID:15507492	2.3.1.38	tv rxn is now charge balanced; removed h - NCD
ACODA	Urea cycle	acetylornithine deacetylase		3A0000212	1.0	176.0	PMID:2006156	3.5.1.16	
ACONT	Citric acid cycle	aconitase		3A0000134	0.0	176.0	PMID:10419470,PMID:17244191,PMID:17244192	4.2.1.3	SMP. Biochemical
ACONTm	Citric acid cycle	Aconitate hydratase		3A0000134	0.0	176.0	PMID:10419470,PMID:17244191,PMID:17244192	4.2.1.3	IF. Biochemical
ACP1_FMN_	Vitamin B2 metabolism	acid phosphatase (FMN)		3A0000254	2.0	176.0	PMID:8522318	3.1.3.2	INVALID ECO TERM: IFH
ACRNtm	Transport, mitochondrial	O-acetylcarnintine transport into mitochondria via diffusion		3A0000269	4.0	185.0	PMID:14598172,PMID:977593		NCD
ACS	Glycolysis/gluconeogenesis	acetyl-CoA synthetase		3A0000269	4.0	176.0	PMID:10843999,PMID:12623130	6.2.1.1	
ACS2	Propanoate metabolism	acetyl-CoA synthase (propionate)		3A0000269	4.0	176.0	PMID:10843999,PMID:12623130	6.2.1.16	AMF
ACSm	Glycolysis/gluconeogenesis	acetyl-CoA synthetase		3A0000304	2.0	176.0	PMID:11150295,PMID:4326157	6.2.1.1	IF
ACSOMT	Tryptophan metabolism	S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase		3A0000134	1.0	176.0	PMID:7989373,PMID:8397829,PMID:8574683	2.1.1.4	SAB. Genetic and Biochemical
ACSRTNMT	Tryptophan metabolism	S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase		3A0000269	4.0	176.0	PMID:8397829	2.1.1.4	SAB
ACTLMO	Pyruvate metabolism	acetol monooxygenase		3A0000269	4.0	176.0	PMID:1537826,PMID:16037240,PMID:8853285		stoichiometry described in Thornalley PJ. Gen Pharmacol. 1996 Jun;27(4):565-73. PMID: 8853285 NCD
ACTNMO	Pyruvate metabolism	acetone monooxygenase		3A0000269	4.0	176.0	PMID:1537826,PMID:16037240,PMID:8853285		stoichiometry described in Thornalley PJ. Gen Pharmacol. 1996 Jun;27(4):565-73. PMID: 8853285 NCD
ACYP	Glycolysis/gluconeogenesis	acylphosphatase		3A0000134	2.0	176.0	PMID:3039264,PMID:7796909	3.6.1.7	Reaction from KEGG: an acylphosphate + H2O -&gt; a carboxylate + phosphate
ADA	Purine catabolism	Adenosine deaminase		3A0000269	4.0	176.0	PMID:12381379,PMID:15016824	3.5.4.4	Added EC- JLR
ADAe	Purine catabolism	Adenosine deaminase, extracellular		3A0000269	4.0	176.0	PMID:12381379,PMID:15016824	3.5.4.4	adenosine deaminase has been found on cell surface in human (Gonzales-Gronow et al, JBC, 2004,279,20993-20998). IT
ADEt	Transport, extracellular	adenine reversible transport, cytosol		3A0000269	4.0	185.0	PMID:12006583,PMID:12838422		NCD
ADK1	Nucleotide interconversion	adenylate kinase		3A0000269	4.0	176.0			
ADK1m	Nucleotide interconversion	adenylate kinase, mitochondrial		3A0000269	4.0	176.0	PMID:11485571,PMID:195572,PMID:8843353,PMID:9434148	2.7.4.3	NCD
ADK3	Nucleotide interconversion	adentylate kinase (GTP)		3A0000269	4.0	176.0	PMID:9434148		JLR
ADK3m	Nucleotide interconversion	adentylate kinase (GTP)		3A0000269	4.0	176.0	PMID:11485571		NCD
ADKd	Nucleotide interconversion	adenylate kinase (d form)		3A0000269	4.0	176.0	PMID:10215863	2.7.4.3	Inorganic triphosphate can also act as donor  This form was added for Staph based on KEGG evidence (SAB)
ADMDC	Arginine and Proline Metabolism	adenosylmethionine decarboxylase		3A0000269	4.0	176.0	PMID:2460457	4.1.1.50	
ADNCYC	Nucleotide interconversion	adenylate cyclase		3A0000269	4.0	176.0	PMID:10481931,PMID:11299302,PMID:11423534,PMID:11840511,PMID:12503609,PMID:12609998,PMID:12623444,PMID:1427768,PMID:14996950,PMID:15547246,PMID:7860067,PMID:7959689,PMID:8076676	4.6.1.1	JLR
ADNK1	Nucleotide interconversion	adenosine kinase		3A0000269	4.0	176.0			
ADNt	Transport, extracellular	adenosine facilated transport in cytosol		3A0000269	4.0	185.0	PMID:10722669,PMID:12838422		IT
ADNt4	Transport, extracellular	adenosine transport (Na/Adn cotransport)		3A0000269	4.0	185.0	PMID:12856181		MM
ADNtm	Transport, mitochondrial	adenosine facilated transport in mitochondria		3A0000269	4.0	185.0	PMID:10722669,PMID:12838422,PMID:14607828		IT
ADPGLC	Nucleotide interconversion	ADPglucose diphosphatase		3A0000269	4.0	176.0	PMID:10567213,PMID:10722730,PMID:12717453	3.6.1.21	Based on Yang  et al, JBC, 2000, 275, 8844-8853
ADPMAN	Nucleotide interconversion	ADPmannose diphosphatase		3A0000269	4.0	176.0	PMID:10567213,PMID:10722730,PMID:12717453	3.6.1.21	Based on Yang  et al, JBC, 2000, 275, 8844-8853 IT
ADPRDP	Nucleotide interconversion	ADPribose diphosphatase		3A0000269	4.0	176.0	PMID:10567213,PMID:10722730,PMID:12717453	3.6.1.13	
ADPRDPm	Nucleotide interconversion	ADPribose diphosphatase (mitochondrial)		3A0000269	4.0	176.0	PMID:12427752,PMID:12948489,PMID:15347676	3.6.1.13	IT
ADPRIBt	Transport, extracellular	ADPribose transport		3A0000269	4.0	185.0	PMID:8394137		IT
ADPT	Nucleotide salvage pathway	adenine phosphoribosyltransferase		3A0000269	4.0	176.0	PMID:14674717,PMID:15196008	2.4.2.7	
ADRNCPT1	Fatty acid oxidation	carnitine O-palmitoyltransferase		3A0000000	4.0	176.0		2.3.1.21	NJ
ADRNCPT2	Fatty acid oxidation	carnitine transferase		3A0000000	4.0	176.0			NJ
ADRNCRNt	Fatty acid oxidation	transport into the mitochondria (carnitine)		3A0000000	4.0	185.0			NJ
ADRNLPVESSEC	Transport, extracellular	Adrenaline secretion via secretory vesicle (ATP driven)		3A0000269	4.0	185.0	PMID:12827358,PMID:15383652		SAB This reaction represents the ATP driven secretion of adrnl from the cell.  It leaves out the vesicle because that is not a compartment.  ATP:H ratio is assumed as 1:3 for vacuolar ATPase and substrate:h ratio is 1:2.  This gives a 3:2 ratio for substrate:ATP
ADSELK	Selenoamino acid metabolism	adenylyl-selenate kinase		3A0000212	1.0	176.0	PMID:10679223	2.7.1.25	SAB
ADSK	Nucleotide interconversion	adenylyl-sulfate kinase		3A0000269	4.0	176.0	PMID:11931637,PMID:12716056	2.7.1.25	
ADSL1	Nucleotide interconversion	adenylosuccinate lyase		3A0000269	4.0	176.0	PMID:1302001,PMID:2004782	4.3.2.2	
ADSL2	Purine synthesis	adenylosuccinate lyase		3A0000269	4.0	176.0	PMID:1302001,PMID:2004782	4.3.2.2	
ADSS	Nucleotide interconversion	adenylosuccinate synthase		3A0000134	2.0	176.0	PMID:1592113	6.3.4.4	r0277
AGDC	Aminosugar metabolism	N-acetylglucosamine-6-phosphate deacetylase		3A0000254	2.0	176.0		3.5.1.25	acetylglucosamine phosphate deacetylase; acetylaminodeoxyglucosephosphate acetylhydrolase; 2-acetamido-2-deoxy-D-glucose-6-phosphate amidohydrolase
AGMTm	Arginine and Proline Metabolism	agmatinase (m)		3A0000269	4.0	176.0	PMID:11804860,PMID:11914032,PMID:15028567,PMID:15465778	3.5.3.11	SAB m
AGPAT1	Triacylglycerol synthesis	1-acylglycerol-3-phosphate O-acyltransferase 1		3A0000000	4.0	176.0		2.3.1.51	FULLR corresponds to acyl/R groups in texts. NJ
AGPRim	Urea cycle	N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial		3A0000212	1.0	176.0		1.2.1.38	NCD
AGTim	Alanine and aspartate metabolism	alanine-glyoxylate transaminase (irreversible), mitochondrial		3A0000269	4.0	176.0	PMID:15240345,PMID:9038835,PMID:9783918	2.6.1.44	NCD
AHANDROSTANGLCte	Transport, extracellular	glucuronidated compound transport		3A0000304	2.0	185.0			for MDR transport NJ
AHC	Methionine and cysteine metabolism	adenosylhomocysteinase		3A0000269	4.0	176.0	PMID:12590576,PMID:2596825	3.3.1.1	
AICART	Purine synthesis	phosphoribosylaminoimidazolecarboxamide formyltransferase		3A0000269	4.0	176.0	PMID:11948179,PMID:14966129,PMID:9378707	2.1.2.3	
AIRCr	Purine synthesis	phosphoribosylaminoimidazole carboxylase		3A0000269	4.0	176.0			
AKGDm	Citric acid cycle	2-oxoglutarate dehydrogenase		3A0000134	0.0	176.0	PMID:1542694	2.3.1.61	EC taken from Ligand TV. Genetic
AKGMALtm	Transport, mitochondrial	alpha-ketoglutarate/malate transporter		3A0000269	4.0	185.0	PMID:14598172		TV
AKGt4_3	Transport, extracellular	AKG transport via sodium symport		3A0000269	4.0	185.0	PMID:10099705,PMID:10794676		NCD
AKR1C1	Steroid metabolism	aldo-keto reductase family 1, member C1 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)		3A0000269	4.0	176.0	PMID:8486699	1.3.1.20	NJ
AKR1C41	Bile acid synthesis	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)		3A0000269	4.0	176.0		1.1.1.50	NJ
