rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence,num_genes_associated_with_rxn
2HBt2,2-hydroxybutyrate cotransport with proton,"Transport, extracellular",42,,SLC16A1; SLC16A3; SLC16A7,"1.00 * 2-Hydroxybutyrate [e] + 1.00 * proton [e] --> 1.00 * proton [c] + 1.00 * 2-Hydroxybutyrate [c]
SLC16A1; SLC16A3; SLC16A7",4.0,3
2HCO3_NAt,bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, extracellular",43,,SLC4A4; SLC4A5,"2.00 * Bicarbonate [e] + 1.00 * Sodium [e] --> 2.00 * Bicarbonate [c] + 1.00 * Sodium [c]
SLC4A4; SLC4A5",4.0,2
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),Lysine metabolism,45,2.3.1.61,DLD; DLST; OGDH; PDHX,"1.00 * 2-oxoadipate(2-) [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] --> 1.00 * carbon dioxide [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m]
DLD; DLST; OGDH; PDHX",2.0,4
2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),Tryptophan metabolism,46,,SLC25A21,"1.00 * 2-Oxoglutarate [m] + 1.00 * 2-oxoadipate(2-) [c] --> 1.00 * 2-Oxoglutarate [c] + 1.00 * 2-oxoadipate(2-) [m]
SLC25A21",4.0,1
34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",Tyrosine metabolism,47,1.1.1.1,ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",4.0,6
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",Tyrosine metabolism,49,2.1.1.6,COMT,"1.00 * (3,4-dihydroxyphenyl)acetate [c] + 1.00 * S-Adenosyl-L-methionine [c] --> 1.00 * proton [c] + 1.00 * S-Adenosyl-L-homocysteine [c] + 1.00 * Homovanillate [c]
COMT",1.0,1
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport","Transport, extracellular",50,,SLC16A10,"1.00 * L-dopa [e] --> 1.00 * L-dopa [c]
SLC16A10",4.0,1
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,51,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",4.0,4
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,52,1.2.1.5,ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",4.0,3
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,53,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",4.0,3
34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,54,1.2.1.5,ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",4.0,2
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,Tyrosine metabolism,56,1.13.11.27,HPD,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",4.0,1
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial","Valine, leucine, and isoleucine metabolism",59,2.6.19.4,ABAT,"1.00 * 2-methyl-3-oxopropanoate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * 2-Oxoglutarate [m] + 1.00 * (S)-3-aminoisobutyric acid [m]
ABAT",2.0,1
3AIBtm,"3-amino-isobutyrate transport, mitochondrial","Transport, mitochondrial",60,,ABAT,"1.00 * (S)-3-aminoisobutyric acid [m] --> 1.00 * (S)-3-aminoisobutyric acid [c]
ABAT",2.0,1
3DSPHR,3-Dehydrosphinganine reductase,Sphingolipid metabolism,63,1.1.1.102,KDSR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",4.0,1
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",Tryptophan metabolism,64,1.13.11.6,HAAO,"1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",4.0,1
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",Butanoate metabolism,65,4.2.1.55,ECHDC2,"1.00 * Water [m] + 1.00 * crotonoyl-CoA(4-) [m] --> 1.00 * (R)-3-hydroxybutanoyl-CoA(4-) [m]
ECHDC2",2.0,1
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,Tryptophan metabolism,67,2.6.1.7,AADAT; KYAT1,"1.00 * 2-Oxoglutarate [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate [c] + 1.00 * L-glutamate(1-) [c]
AADAT; KYAT1",2.0,2
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,68,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",4.0,1
3HPCOAHYD,3-hydroxyisobutyryl-Coenzyme A hydrolase,beta-Alanine metabolism,69,3.1.2.4,HIBCH,"1.00 * Water [c] + 1.00 * 3-hydroxypropanoyl-CoA(4-) [c] --> 1.00 * proton [c] + 1.00 * 3-hydroxypropionate [c] + 1.00 * Coenzyme A [c]
HIBCH",4.0,1
3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,Tryptophan metabolism,71,,DDC,"1.00 * proton [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * carbon dioxide [c] + 1.00 * 3-Hydroxykynurenamine [c]
DDC",1.0,1
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism,72,1.4.3.4,MAOA; MAOB,"1.00 * O2 [c] + 1.00 * 3-Hydroxykynurenamine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * quinoline-4,8-diol [c]
MAOA; MAOB",1.0,2
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,Tyrosine metabolism,73,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * Homovanillate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",1.0,4
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,Tyrosine metabolism,77,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0,4
3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,78,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0,4
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),Tyrosine metabolism,79,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * 3-Methoxytyramine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c]
MAOA; MAOB",4.0,2
3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle,"Transport, mitochondrial",81,,SLC25A12; SLC25A13,"1.00 * 3-Sulfino-L-alanine [m] + 1.00 * L-aspartate(1-) [c] --> 1.00 * 3-Sulfino-L-alanine [c] + 1.00 * L-aspartate(1-) [m]
SLC25A12; SLC25A13",2.0,2
3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,Taurine and hypotaurine metabolism,82,4.1.1.15,CSAD; GAD1; GAD2,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",4.0,3
3SALATAi,3-sulfino-alanine transaminase (irreversible),Methionine and cysteine metabolism,84,2.6.1.1,GOT1,"1.00 * proton [c] + 1.00 * 2-Oxoglutarate [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 3-Sulfinopyruvate [c]
GOT1",2.0,1
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",Methionine and cysteine metabolism,85,2.6.1.1,GOT2,"1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * 3-Sulfino-L-alanine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * 3-Sulfinopyruvate [m]
GOT2",2.0,1
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism,88,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",4.0,2
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism,89,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Norepinephrine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c]
MAOA; MAOB",4.0,2
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism,90,1.4.3.6,AOC1; AOC2; AOC3; MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * dopaminium(1+) [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c]
AOC1; AOC2; AOC3; MAOA; MAOB",4.0,5
4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",Arginine and Proline Metabolism,95,1.5.1.12,ALDH4A1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-4-hydroxyglutamic semialdehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * erythro-4-hydroxy-L-glutamate(1-) [m]
ALDH4A1",1.0,1
4HOXPACDOX_NADP_,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,96,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * (4-hydroxyphenyl)acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 4-hydroxyphenylacetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0,4
4NPHSULT,4-Nitrophenol Sulfotransferase,Cytochrome metabolism,103,2.8.2.1,SULT1A1,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 4-nitrophenolate [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 4-Nitrophenyl sulfate [c]
SULT1A1",4.0,1
5ADTSTSTERONEGLCte,glucuronidated compound transport,"Transport, extracellular",106,,ABCC1,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 5alpha-Dihydrotestosterone glucuronide [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 5alpha-Dihydrotestosterone glucuronide [e]
ABCC1",2.0,1
5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,Steroid metabolism,109,2.8.2.2,SULT1A1; SULT2A1,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 17beta-hydroxy-5alpha-androstan-3-one [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 5alpha-Dihydrotestosterone sulfate [c]
SULT1A1; SULT2A1",4.0,2
5FTHFt2,5-formyltetrahydrofolate transport via anion exchange,"Transport, extracellular",114,,SLC19A1,"1.00 * Water [c] + 1.00 * 5-formyltetrahydrofolate(2-) [e] --> 1.00 * 5-formyltetrahydrofolate(2-) [c] + 1.00 * Water [e]
SLC19A1",4.0,1
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,115,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * carbon dioxide [c] + 1.00 * serotonin(1+) [c]
DDC",4.0,1
5HOXINDACTO2OX,5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase,Tryptophan metabolism,117,1.2.3.1,AOX1,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * (5-hydroxyindol-3-yl)acetaldehyde [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * proton [c] + 1.00 * 5-Hydroxyindoleacetate [c]
AOX1",2.0,1
5HOXINDACTOXm,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito),Tryptophan metabolism,118,1.5.1.12,ALDH1B1; ALDH2; ALDH4A1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (5-hydroxyindol-3-yl)acetaldehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 5-Hydroxyindoleacetate [m]
ALDH1B1; ALDH2; ALDH4A1",2.0,3
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism,119,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * serotonin(1+) [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * (5-hydroxyindol-3-yl)acetaldehyde [c]
MAOA; MAOB",4.0,2
5HTRPDOX,"5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)",Tryptophan metabolism,120,1.13.11.52,IDO1,"1.00 * O2 [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * 5-hydroxy-N-formylkynurenine [c]
IDO1",1.0,1
5HTRPVESSEC,5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven),"Transport, extracellular",121,,SLC18A1; SLC18A2,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 5-hydroxy-L-tryptophan [e]
SLC18A1; SLC18A2",4.0,2
5HXKYNDCL,5-Hydroxykynurenamine decarboxy-lyase,Tryptophan metabolism,122,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * 5-hydroxykynurenine [c] --> 1.00 * carbon dioxide [c] + 1.00 * 5-Hydroxykynurenamine [c]
DDC",1.0,1
5HXKYNOXDA,5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism,123,1.4.3.4,MAOA; MAOB,"1.00 * O2 [c] + 1.00 * 5-Hydroxykynurenamine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 4,6-Dihydroxyquinoline [c]
MAOA; MAOB",1.0,2
5MTHFt,5-Methyltetrahydrofolate transport via receptor binding and protolysis,"Transport, extracellular",124,,FOLR1,"1.00 * 5-Methyltetrahydrofolate [e] --> 1.00 * 5-Methyltetrahydrofolate [c]
FOLR1",4.0,1
5MTHFt2,5-methyltetrahydrofolate transport via anion exchange,"Transport, extracellular",125,,SLC19A1,"1.00 * Water [c] + 1.00 * 5-Methyltetrahydrofolate [e] --> 1.00 * Water [e] + 1.00 * 5-Methyltetrahydrofolate [c]
SLC19A1",4.0,1
A_MANASE,alpha-mannosidase,N-glycan degradation,139,3.2.1.24,MAN2C1,"2.00 * Water [c] + 1.00 * (alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine [c] --> 2.00 * D-Mannose [c] + 1.00 * beta-1,4-mannose-N-acetylglucosamine [c]
MAN2C1",0.0,1
A4GALTc,Lactosylceramide 4-alpha-galactosyltransferase,Sphingolipid metabolism,141,2.4.1.228,A4GALT,"1.00 * galactosyl glucosyl ceramide [c] + 1.00 * UDP-D-galactose(2-) [c] --> 1.00 * proton [c] + 1.00 * trihexosyl ceramide [c] + 1.00 * UDP [c]
A4GALT",4.0,1
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,Propanoate metabolism,145,6.2.1.16,AACS,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * acetoacetate [c] --> 1.00 * Acetoacetyl-CoA [c] + 1.00 * AMP [c] + 1.00 * Diphosphate [c]
AACS",4.0,1
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"Glycine, serine, alanine and threonine metabolism",146,1.4.3.6,AOC3,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * ammonioacetone [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * methylglyoxal [c]
AOC3",4.0,1
AATAi,"2-aminoadipate transaminase, irreversible",Lysine metabolism,149,2.6.1.39,AADAT,"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",4.0,1
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",Glutamate metabolism,159,2.6.19.4,ABAT,"1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",4.0,1
ABUTD,Aminobutyraldehyde dehydrogenase,beta-Alanine metabolism,162,1.2.1.19,ALDH9A1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 4-Aminobutanal [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 4-Aminobutanoate [c]
ALDH9A1",4.0,1
ABUTt2r,4-aminobutyrate reversible transport in via proton symport,"Transport, extracellular",163,,SLC36A1,"1.00 * proton [e] + 1.00 * 4-Aminobutanoate [e] --> 1.00 * proton [c] + 1.00 * 4-Aminobutanoate [c]
SLC36A1",2.0,1
ABUTt4_2_r,4-aminobutyrate reversible transport in via sodium symport (1:2),"Transport, extracellular",165,,SLC6A1; SLC6A11; SLC6A12; SLC6A13,"2.00 * Sodium [e] + 1.00 * 4-Aminobutanoate [e] --> 2.00 * Sodium [c] + 1.00 * 4-Aminobutanoate [c]
SLC6A1; SLC6A11; SLC6A12; SLC6A13",4.0,4
ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","Valine, leucine, and isoleucine metabolism",166,2.3.1.9,ACAA2; ACAT1; HADHB,"1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",4.0,3
ACACT1r,acetyl-CoA C-acetyltransferase,Tryptophan metabolism,167,2.3.1.9,ACAT3,"2.00 * Acetyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * Acetoacetyl-CoA [c]
ACAT3",0.0,1
ACACT1rm,"acetyl-CoA C-acetyltransferase, mitochondrial",Tryptophan metabolism,168,2.3.1.9,ACAT1; HADHA; HADHB,"2.00 * Acetyl-CoA [m] --> 1.00 * Coenzyme A [m] + 1.00 * Acetoacetyl-CoA [m]
ACAT1; HADHA; HADHB",0.0,3
ACACt2,acetoacetate transport via proton symport,"Transport, extracellular",170,,SLC16A1; SLC16A7,"1.00 * proton [e] + 1.00 * acetoacetate [e] --> 1.00 * proton [c] + 1.00 * acetoacetate [c]
SLC16A1; SLC16A7",4.0,2
