id	subsystem	name	keggId	confidenceEcoIDA	confidenceScore	sboTerm	references	ECNumber	notes
25HVITD2t	Transport, extracellular	25-hydroxyvitamin D2 transport from cytoplasm		3A0000000	2	185			is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT
25HVITD2tin	Transport, extracellular	25-hydroxyvitamin D2 transport in cytoplasm		3A0000000	2	185	PMID:12045394		is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemicql
25HVITD2tin_m	Transport, mitochondrial	25-hydroxyvitamin D2 transport in mitochondria		3A0000000	2	185			
25HVITD2tm	Transport, mitochondrial	25-hydroxyvitamin D2 transport from mitochondria		3A0000000	2	185			is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT
25HVITD3t	Transport, extracellular	25-hydroxyvitamin D3 transport from cytoplasm		3A0000000	2	185	PMID:12045394		is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemical
25HVITD3tin	Transport, extracellular	25-hydroxyvitamin D3 transport in cytoplasm		3A0000000	2	185			is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT
25HVITD3tin_m	Transport, mitochondrial	25-hydroxyvitamin D3 transport in mitochondria		3A0000000	2	185			
25HVITD3tm	Transport, mitochondrial	25-hydroxyvitamin D3 transport from mitochondria		3A0000000	2	185			is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT
25VITD2Hm	Vitamin D metabolism	1-alpha-Vitamin D-25-hydroxylase (D2)		3A0000269	4	176	PMID:14671156,PMID:9333115		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
25VITD3Hm	Vitamin D metabolism	1-alpha-Vitamin D-25-hydroxylase (D3)		3A0000269	4	176	PMID:14671156,PMID:9333115		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
2AMACHYD	Glycine, serine, alanine and threonine metabolism	2-Aminoacrylate hydrolysis		3A0000000	4	176	PMID:500639		SAB  see PMID 500639:  this reaction is spontaneous
2AMACSULT	Methionine and cysteine metabolism	2-Aminoacrylate sulfotransferase		3A0000000	2	176	PMID:3346220,PMID:6351723		-this is a lumped rxn w/ an inferred reduction rxn that occurs in conjunction w/ sulfotransferase step; this reduction step has to occur in order for the transformation (2amac--&gt;Lcyst) to be valid -used NADPH as electron donor since it is a common cofactor involved in biosynthetic steps utilizing oxygen (see Neema for further explanations)  MM
2AMADPTm	Lysine metabolism	L-2-aminoadipate shuttle (cytosol/mitochondria)		3A0000269	4	185	PMID:11083877		SAB PMID 11083877
2DR1PP	Pyrimidine catabolism	2-deoxy-D-ribose 1-phosphate phosphorylase		3A0000000	2	176	PMID:9693094	3.1.3.10	NCD
2HBO	Propanoate metabolism	2-Hydroxybutyrate:NAD+ oxidoreductase		3A0000269	4	176	PMID:10108,PMID:21765	1.1.1.27	NCD
2HBt2	Transport, extracellular	2-hydroxybutyrate cotransport with proton		3A0000269	4	185	PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713		NCD
2HCO3_NAt	Transport, extracellular	bicarbonate transport (Na/HCO3 1:2 cotransport)		3A0000269	4	185	PMID:14722772		MM
2MCITt	Transport, extracellular	2-methylcitrate transport via diffusion		3A0000000	2	185	PMID:426765		MM
2OXOADOXm	Lysine metabolism	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)		3A0000304	2	176		2.3.1.61	SAB
2OXOADPTm	Tryptophan metabolism	2-oxoadipate shuttle (cytosol/mitochondria)		3A0000269	4	185	PMID:11083877		SAB PMID 11083877
34DHOXPEGOX	Tyrosine metabolism	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase		3A0000269	4	176	PMID:3466164	1.1.1.1	SAB
34DHOXPEGt	Transport, extracellular	3,4-Dihydroxyphenylethyleneglycol transport (diffusion)		3A0000000	2	185	PMID:7473774		SAB
34DHPHAMT	Tyrosine metabolism	3,4-Dihydroxyphenylacetate:amet O-methyltransferase		3A0000212	1	176	PMID:1847521	2.1.1.6	SAB
34DHPHEt	Transport, extracellular	3,4-Dihydroxy-L-phenylalanine transport		3A0000269	4	185	PMID:11827462		NCD
34DHPLACOX	Tyrosine metabolism	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase		3A0000269	4	176	PMID:11306106,PMID:2071588	1.2.1.5	SAB
34DHPLACOX_NADP_	Tyrosine metabolism	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase		3A0000269	4	176	PMID:11306106,PMID:2071588	1.2.1.5	SAB
34DHXMANDACOX	Tyrosine metabolism	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase		3A0000269	4	176	PMID:10424772,PMID:12616643	1.2.1.5	SAB
34DHXMANDACOX_NADP_	Tyrosine metabolism	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase		3A0000269	4	176	PMID:10424772,PMID:12616643	1.2.1.5	SAB
34HPLFM	Ubiquinone synthesis	3-(4-hydroxyphenyl-)lactate formation		3A0000000	2	176	PMID:11583838,PMID:12232327		IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.
34HPPOR	Tyrosine metabolism	4-Hydroxyphenylpyruvate:oxygen oxidoreductase		3A0000269	4	176		1.13.11.27	
35CGMPtn	Transport, nuclear	35cGMP nuclear transport		3A0000000	2	185			IT
3AIBt	Transport, extracellular	3-amino-isobutyrate transport		3A0000000	2	185			HOW?  IT
3AIBTm	Valine, leucine, and isoleucine metabolism	L-3-aminoisobutyrate transaminase, mitochondrial		3A0000304	2	176		2.6.19.4	NCD
3AIBtm	Transport, mitochondrial	3-amino-isobutyrate transport, mitochondrial		3A0000000	2	185			
3DPHBH1	Ubiquinone synthesis	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)		3A0000000	2	176	PMID:11051212		Used to make Ubiquinone-10 enzyme has not been identified yet. IT
3DPHBH2	Ubiquinone synthesis	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)		3A0000000	2	176	PMID:11051212		Used to make Ubiquinone-10 enzyme has not been identified yet. IT
3DSPHR	Sphingolipid metabolism	3-Dehydrosphinganine reductase		3A0000269	4	176		1.1.1.102	
3HAO	Tryptophan metabolism	3-hydroxyanthranilate 3,4-dioxygenase		3A0000269	4	176	PMID:7514594	1.13.11.6	NCD
3HBCDm	Butanoate metabolism	3-hydroxybutyryl-CoA dehydratase, mitochondrial		3A0000254	2	176	PMID:9073515	4.2.1.55	NCD. rat gene that is homologous to the human gene encodes for this activity
3HBCOAHLm	Valine, leucine, and isoleucine metabolism	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial		3A0000000	2	176	PMID:8824301	3.1.2.4	MM
3HKYNAKGAT	Tryptophan metabolism	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase		3A0000304	2	176	PMID:13357462	2.6.1.7	SAB
3HLYTCL	Tyrosine metabolism	3-Hydroxy-L-tyrosine carboxy-lyase		3A0000269	4	176		4.1.1.28	SAB
3HPCOAHYD	beta-Alanine metabolism	3-hydroxyisobutyryl-Coenzyme A hydrolase		3A0000269	4	176	PMID:8824301	3.1.2.4	SAB
3HPPD	Propanoate metabolism	3-hydroxypropionate dehydrogenase		3A0000000	2	176	PMID:4507604	1.1.1.59	NCD
3HXKYNDCL	Tryptophan metabolism	3-Hydroxykynurenamine decarboxy-lyase		3A0000000	1	176			SAB made up name
3HXKYNOXDA	Tryptophan metabolism	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000000	1	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
3M4HDXPAC	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase		3A0000134	1	176	PMID:6422947,PMID:9732974	1.2.1.5	SAB
3MLDAt	Transport, extracellular	3MLDA extracellular transport via diffusion		3A0000000	2	185	PMID:11411609		SAB
3MOBt2im	Transport, mitochondrial	3-methyl-2-oxobutanoate mitochondrial transport via proton symport		3A0000000	4	185	PMID:8428987		MM
3MOPt2im	Transport, mitochondrial	3-Methyl-2-oxopentanoate mitochondrial transport via proton symport		3A0000000	4	185	PMID:8428987		MM
3MOX4HOXPGALDOX	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase		3A0000304	2	176		1.2.1.5	SAB
3MOX4HOXPGALDOX_NADP_	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase		3A0000304	2	176		1.2.1.5	SAB
3MOXTYROX	Tyrosine metabolism	3-Methoxytyramine:oxygen oxidoreductase (deaminating)		3A0000269	4	176	PMID:10867119	1.4.3.4	SAB
3NTD7l	Purine catabolism	3'-nucleotidase (AMP), lysosome		3A0000269	4	176		3.1.3.2	MKA AMF IT
3SALAASPm	Transport, mitochondrial	cysteinesulfinate-aspartate mitochondrial shuttle		3A0000304	2	185	PMID:14598172		PMID:486467  MM
3SALACBOXL	Taurine and hypotaurine metabolism	3-Sulfino-L-alanine carboxy-lyase		3A0000269	4	176		4.1.1.15	SAB
3SALAOX	Taurine and hypotaurine metabolism	cysteinesulfinic acid oxidase		3A0000000	2	176			as described in Bender (Nutritional biochmeistry of the vitamins, 2nd edition)  MM
3SALATAi	Methionine and cysteine metabolism	3-sulfino-alanine transaminase (irreversible)		3A0000304	2	176	PMID:3346220	2.6.1.1	MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain
3SALATAim	Methionine and cysteine metabolism	3-sulfino-alanine transaminase (irreversible), mitochondrial		3A0000304	2	176	PMID:3346220	2.6.1.1	MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain
3SPYRSP	Methionine and cysteine metabolism	3-sulfinopyruvate hydrolase (spotaneous reaction)		3A0000000	2	176	PMID:3346220		MM
3SPYRSPm	Methionine and cysteine metabolism	3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial		3A0000000	2	176	PMID:3346220		MM
41R1H2MAE12BOOX	Tyrosine metabolism	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
41R2A1H12BOOX	Tyrosine metabolism	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
42A12BOOX	Tyrosine metabolism	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.6	SAB
4ABUTtm	Transport, mitochondrial	4-aminobutanoate mitochondrial transport via diffusion		3A0000000	2	185	PMID:10407778		NCD
4HBZCOAFm	Ubiquinone synthesis	4-hydroxybenzoyl-CoA formation		3A0000000	2	176	PMID:11583838,PMID:12232327		IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.
4HBZFm	Ubiquinone synthesis	4-hydroxybenzoate formation		3A0000000	2	176	PMID:11583838,PMID:12232327		IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.
4HDEBRISOQUINEte	Transport, extracellular	xenobiotic transport		3A0000000	2	185			unknown mechanism, related cyp P450 metabolism reactions NJ
4HGLSDm	Arginine and Proline Metabolism	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial		3A0000212	1	176	PMID:15849464	1.5.1.12	NCD
4HOXPACDOX_NADP_	Tyrosine metabolism	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase		3A0000304	2	176	PMID:3753983	1.2.1.5	SAB
4MOPt2im	Transport, mitochondrial	4-methyl-2-oxopentanoate mitochondrial transport  via proton symport		3A0000000	4	185	PMID:8428987		MM
4MPTNLte	Transport, extracellular	4-methylpentanal transport		3A0000000	2	185	PMID:8428987		
4MPTNLtm	Transport, mitochondrial	4-methylpentanal transport (mitochondria)		3A0000000	2	185	PMID:8428987		
4MPTNLtr	Transport, endoplasmic reticular	4-methylpentanal transport (ER)		3A0000000	2	185	PMID:8428987		
4MTOLBUTAMIDEte	Transport, extracellular	xenobiotic transport		3A0000000	2	185			unknown mechanism, related cyp P450 metabolism reactions NJ
4NPHSFte	Transport, extracellular	xenobiotic transport		3A0000000	2	185	PMID:9344226		unknown mechanism, related cyp P450 metabolism reactions NJ. Biochemical, Rat
4NPHSULT	Cytochrome metabolism	4-Nitrophenol Sulfotransferase		3A0000269	4	176	PMID:11535246,PMID:15293241	2.8.2.1	RS/TV (6/14/05)
4NPHte	Transport, extracellular	xenobiotic transport		3A0000000	2	185	PMID:8385949,PMID:9219629		unknown mechanism, related cyp P450 metabolism reactions NJ. Physiological, Rat
4PYRDX	Transport, extracellular	4-Pyridoxal secretion		3A0000000	2	185	PMID:6380540		IT Reaction correct??? (active transport)
5ADTSTSTERONEGLCte	Transport, extracellular	glucuronidated compound transport		3A0000304	2	185			presumed MDR transporter NJ. Physiological
5ADTSTSTERONEGLCtr	Transport, endoplasmic reticular	glucuronidated compound transport		3A0000000	2	185			unknown mechanism, however glucuronidated metabolites need to get out of the cell NJ
5ADTSTSTERONESte	Transport, extracellular	sulfonated testosterone transport		3A0000000	1	185			unknown mechanism - presumed excretion of sulfonated testosterone NJ
5ADTSTSTERONESULT	Steroid metabolism	5alpha-Dihydrotestosterone sulfotransferase		3A0000269	4	176	PMID:1588921,PMID:16399349	2.8.2.2	NJ
5ADTSTSTERONEte	Transport, extracellular	5 alpha dihydrotesterone transport		3A0000000	1	185			specific mechanism not known, proton dependence for trans-mit transport has been suggested, however directionality and stoichiometry has not yet been elucidated. see PMID: 12770731 and others NJ
5ADTSTSTERONEtr	Transport, endoplasmic reticular	5 alpha dihydrotesterone intracellular transport		3A0000000	2	185			specific mechanism not known, proton dependence for trans-mit transport has been suggested, however directionality and stoichiometry has not yet been elucidated. see PMID: 12770731 and others NJ
5AOPtm	Heme synthesis	5-Aminolevulinate mitochondrial transport		3A0000134	2	185	PMID:10558864		NCD. Delta-aminolevulinic acid is produced in mitochondria then converted to PBG in the cytoplasm.  Could not find anything on the transporter itself.
5DHFtl	Transport, lysosomal	5-glutamyl-DHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
5FTHFt2	Transport, extracellular	5-formyltetrahydrofolate transport via anion exchange		3A0000269	4	185	PMID:11375437,PMID:14770311		IT
5HLTDL	Tryptophan metabolism	5-Hydroxy-L-tryptophan decarboxy-lyase		3A0000269	4	176	PMID:1540578	4.1.1.28	SAB
5HOMEPRAZOLEte	Transport, extracellular	xenobiotic transport		3A0000000	2	185			unknown mechanism, related cyp P450 metabolism reactions NJ
5HOXINDACTO2OX	Tryptophan metabolism	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase		3A0000304	2	176	PMID:11306106	1.2.3.1	SAB questionable--balanced, but h2o2 production is based on an obscure comment in entrez
5HOXINDACTOXm	Tryptophan metabolism	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)		3A0000304	2	176	PMID:11306106	1.5.1.12	SAB
5HOXINOXDA	Tryptophan metabolism	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4	176	PMID:11134050,PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
5HTRPDOX	Tryptophan metabolism	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)		3A0000134	1	176	PMID:10564724	1.13.11.52	SAB. The E.C. number 1.13.11.42 has been deleted in 2006. Instead, replaced with E.C. 1.13.11.11 - tryptophan 2,3-dioxygenase. However, E.C. 1.13.11.11 is for the reaction L-tryptophan + O2 = N-formyl-L-kynurenine. For the reaction 5-Hydroxy-L-tryptophan (Cytosol) + O2 (Cytosol) &lt;=&gt; 5-Hydroxy-N-formylkynurenine, E.C. should be 1.13.11.52. Conclusion: Change E.C. to 1.13.11.52 (source: KEGG).
5HTRPVESSEC	Transport, extracellular	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)		3A0000269	4	185	PMID:12827358,PMID:15383652		SAB This reaction represents the ATP driven secretion of 5htrp from the cell.  It leaves out the vesicle because that is not a compartment.  ATP:H ratio is assumed as 1:3 for vacuolar ATPase and substrate:h ratio is 1:2.  This gives a 3:2 ratio for substrate:ATP
5HXKYNDCL	Tryptophan metabolism	5-Hydroxykynurenamine decarboxy-lyase		3A0000212	1	176		4.1.1.28	SAB
5HXKYNOXDA	Tryptophan metabolism	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000212	1	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
5MTHFt	Transport, extracellular	5-Methyltetrahydrofolate transport via receptor binding and protolysis		3A0000269	4	185	PMID:15094208		IT
5MTHFt2	Transport, extracellular	5-methyltetrahydrofolate transport via anion exchange		3A0000269	4	185	PMID:11375437,PMID:14770311		IT
5THFtl	Transport, lysosomal	5-glutamyl-THF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
5THFtm	Transport, mitochondrial	5-glutamyl-THF transport,m mitochondrial		3A0000000	2	185	PMID:11375437		unknown mechanism. IT
6DHFtl	Transport, lysosomal	6-glutamyl-DHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
6DHFtm	Transport, mitochondrial	6-glutamyl-DHF transport,m mitochondrial		3A0000000	2	185	PMID:11375437		unknown mechanism. IT
6HTSTSTERONEte	Transport, extracellular	hydroxylated testosterone transport		3A0000000	2	185			unknown mechanism, inactivated testosterone needs to be exported NJ
6HTSTSTERONEtr	Transport, endoplasmic reticular	hydroxylated testosterone transport		3A0000000	2	185			unknown mechanism, inactivated testosterone transport to get out of cell NJ
6THFtl	Transport, lysosomal	6-glutamyl-THF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
6THFtm	Transport, mitochondrial	6-glutamyl-THF transport,m mitochondrial		3A0000000	2	185	PMID:11375437		unknown mechanism. IT
7DHCHSTEROLtr	Transport, endoplasmic reticular	cholesterol precursor intracellular transport		3A0000000	2	185			specific mechanism not known, proton dependence for trans-mit transport has been suggested, however directionality and stoichiometry has not yet been elucidated. see PMID: 12770731 and others NJ
7DHFtl	Transport, lysosomal	7-glutamyl-DHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
7DHFtm	Transport, mitochondrial	7-glutamyl-DHF transport,m mitochondrial		3A0000000	2	185	PMID:11375437		unknown mechanism. IT
7THFtl	Transport, lysosomal	7-glutamyl-THF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
7THFtm	Transport, mitochondrial	7-glutamyl-THF transport,m mitochondrial		3A0000000	2	185	PMID:11375437		unknown mechanism. IT
A_MANASE	N-glycan degradation	alpha-mannosidase		3A0000000	0	176		3.2.1.24	NCD
A_MANASEly	N-glycan degradation	alpha-mannosidase, lysosomal		3A0000000	0	176	PMID:8910458	3.2.1.24	NCD
A4GALTc	Sphingolipid metabolism	Lactosylceramide 4-alpha-galactosyltransferase		3A0000269	4	176	PMID:10748143	2.4.1.228	EC: 2.4.1.228 NJ
A4GALTg	Sphingolipid metabolism	Lactosylceramide 4-alpha-galactosyltransferase		3A0000269	4	176	PMID:10747952,PMID:10748143	2.4.1.228	EC: 2.4.1.228 NJ
A4GNT1g	O-glycan synthesis	alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus		3A0000000	0	176	PMID:10430883		EC 2.4.1.- NCD
A4GNT2g	O-glycan synthesis	alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus		3A0000000	0	176	PMID:10430883		EC 2.4.1.- NCD
AACOAT	Propanoate metabolism	Acetoacetyl-CoA:acetate CoA-transferase		3A0000269	4	176	PMID:12623130	6.2.1.16	also EC 2.8.3.8 NCD
AACTOOR	Glycine, serine, alanine and threonine metabolism	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4	176	PMID:10328770,PMID:12878330	1.4.3.6	
AACTtm	Transport, mitochondrial	Aminoacetone transport (mitochondrial)		3A0000000	1	185			MM
AASAD3m	Lysine metabolism	L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial		3A0000000	2	176	PMID:15865210		MM. Found under reaction synonym name: 2-aminoadipic 6-semialdehyde dehydrogenase; Evidence was from mouse with identification of good human ortholog for U26 in the mouse that catalyzes this reaction.  There was NOT evidence here specific to mitochondria, though.  (Nathan Price)
AATAi	Lysine metabolism	2-aminoadipate transaminase, irreversible		3A0000269	4	176	PMID:12126930	2.6.1.39	MM
ABO1g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO2g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO3g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO4g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO5g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO6g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO7g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO8g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABO9g	Blood group synthesis	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		3A0000269	4	176	PMID:11421346,PMID:12198488,PMID:2121736		NJ
ABTArm	Glutamate metabolism	4-aminobutyrate transaminase, reversible (mitochondrial)		3A0000269	4	176	PMID:10407778,PMID:7721088	2.6.19.4	kh 1/6/03
ABTD	Pentose phosphate pathway	L-arabinitol 4-dehydrogenase		3A0000000	2	176	PMID:12359133,PMID:13922173,PMID:15234337	1.1.1.12	NCD
ABTti	Transport, extracellular	L-arabinitol transport via passive diffusion		3A0000000	2	185	PMID:15234337		NCD
