metabolite_id,metabolite_no_compartment,compartment,metabolite_name,degree,kegg_id,hmdb_id
o2[x],o2,[x],O2,108,C00007,HMDB01377
leu_L[c],leu_L,[c],L-leucine,108,C00123,HMDB00687
h[l],h,[l],proton,106,C00282,HMDB01362
cys_L[c],cys_L,[c],L-cysteine,104,C00097,HMDB00574
o2[r],o2,[r],O2,104,C00007,HMDB01377
pro_L[c],pro_L,[c],L-proline,104,C00148,HMDB00162
met_L[c],met_L,[c],L-methionine,102,C00073,HMDB00696
tyr_L[c],tyr_L,[c],L-tyrosine,101,C00082,HMDB00158
nadh[x],nadh,[x],Nicotinamide adenine dinucleotide - reduced,100,C00004,HMDB01487
nad[x],nad,[x],Nicotinamide adenine dinucleotide,99,C00003,HMDB00902
asn_L[c],asn_L,[c],L-asparagine,98,C00152,HMDB00168
thr_L[c],thr_L,[c],L-threonine,98,C00188,HMDB00167
val_L[c],val_L,[c],L-valine,98,C00183,HMDB00883
co2[c],co2,[c],carbon dioxide,97,C00011,HMDB01967
trp_L[c],trp_L,[c],L-tryptophan,97,C00078,HMDB00929
h2o2[x],h2o2,[x],Hydrogen peroxide,96,C00027,HMDB03125
ile_L[c],ile_L,[c],L-isoleucine,96,C00407,HMDB00172
glu_L[c],glu_L,[c],L-glutamate(1-),95,C00025,HMDB00148
arg_L[c],arg_L,[c],L-argininium(1+),95,C00062,HMDB00517
gthrd[c],gthrd,[c],Reduced glutathione,94,C00051,HMDB00125
his_L[c],his_L,[c],L-histidine,92,C00135,HMDB00177
lys_L[c],lys_L,[c],L-lysinium(1+),91,C00047,HMDB00182
atp[m],atp,[m],ATP,87,C00002,HMDB00538
accoa[x],accoa,[x],Acetyl-CoA,82,C00024,HMDB01206
so4[l],so4,[l],sulfate,75,C00059,HMDB01448
adp[m],adp,[m],ADP,71,C00008,HMDB01341
leu_L[e],leu_L,[e],L-leucine,69,C00123,HMDB00687
phe_L[e],phe_L,[e],L-phenylalanine,69,C00079,HMDB00159
nh4[c],nh4,[c],Ammonium,68,C00014,HMDB00051
h2o2[c],h2o2,[c],Hydrogen peroxide,66,C00027,HMDB03125
gly[e],gly,[e],Glycine,65,C00037,HMDB00123
o2[m],o2,[m],O2,64,C00007,HMDB01377
ala_L[e],ala_L,[e],L-alanine,63,C00041,HMDB00161
gln_L[e],gln_L,[e],L-glutamine,63,C00064,HMDB00641
ile_L[e],ile_L,[e],L-isoleucine,63,C00407,HMDB00172
cys_L[e],cys_L,[e],L-cysteine,62,C00097,HMDB00574
ser_L[e],ser_L,[e],L-serine,62,C00065,HMDB00187
pro_L[e],pro_L,[e],L-proline,62,C00148,HMDB00162
asn_L[e],asn_L,[e],L-asparagine,61,C00152,HMDB00168
val_L[e],val_L,[e],L-valine,61,C00183,HMDB00883
thr_L[e],thr_L,[e],L-threonine,60,C00188,HMDB00167
met_L[e],met_L,[e],L-methionine,60,C00073,HMDB00696
tyr_L[e],tyr_L,[e],L-tyrosine,60,C00082,HMDB00158
trp_L[e],trp_L,[e],L-tryptophan,59,C00078,HMDB00929
coa[r],coa,[r],Coenzyme A,58,C00010,HMDB01423
hom_L[e],hom_L,[e],L-homoserine,58,C00263,HMDB00719
crn[m],crn,[m],L-Carnitine,57,C15025,HMDB00062
hom_L[c],hom_L,[c],L-homoserine,57,C00263,HMDB00719
HC02199[e],HC02199,[e],glutathionyl-leuc4,56,NA,NA
HC02200[e],HC02200,[e],S-glutathionyl-2-4-dinitrobenzene,56,NA,NA
HC02201[e],HC02201,[e],S-glutathionyl-ethacrynic-acid,56,NA,NA
udpgal[g],udpgal,[g],UDP-D-galactose(2-),55,C00052,HMDB00302
gthrd[e],gthrd,[e],Reduced glutathione,55,C00051,HMDB00125
HC02199[c],HC02199,[c],glutathionyl-leuc4,55,NA,NA
HC02200[c],HC02200,[c],S-glutathionyl-2-4-dinitrobenzene,55,NA,NA
HC02201[c],HC02201,[c],S-glutathionyl-ethacrynic-acid,55,NA,NA
h[n],h,[n],proton,54,C00282,HMDB01362
akg[c],akg,[c],2-Oxoglutarate,52,C00026,HMDB00208
citr_L[c],citr_L,[c],L-citrulline,52,C00327,HMDB00904
asp_L[c],asp_L,[c],L-aspartate(1-),51,C00049,HMDB00191
udp[c],udp,[c],UDP,51,C00015,HMDB00295
orn[c],orn,[c],Ornithine,51,C00077,HMDB00214
pi[m],pi,[m],hydrogenphosphate,49,C00009,HMDB00973
acgam[l],acgam,[l],N-acetyl-D-glucosamine,48,C00140,HMDB00215
arg_L[e],arg_L,[e],L-argininium(1+),47,C00062,HMDB00517
uacgam[g],uacgam,[g],UDP-N-acetyl-alpha-D-glucosamine(2-),45,C00043,HMDB00290
his_L[e],his_L,[e],L-histidine,44,C00135,HMDB00177
paps[g],paps,[g],"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",44,C00053,HMDB01134
pap[g],pap,[g],"adenosine 3',5'-bismonophosphate(4-)",44,C00054,HMDB00061
glu_L[m],glu_L,[m],L-glutamate(1-),42,C00025,HMDB00148
akg[m],akg,[m],2-Oxoglutarate,41,C00026,HMDB00208
co2[m],co2,[m],carbon dioxide,41,C00011,HMDB01967
amet[c],amet,[c],S-Adenosyl-L-methionine,41,C00019,HMDB01185
ahcys[c],ahcys,[c],S-Adenosyl-L-homocysteine,41,C00021,HMDB00939
lys_L[e],lys_L,[e],L-lysinium(1+),41,C00047,HMDB00182
atp[r],atp,[r],ATP,40,C00002,HMDB00538
h2o[g],h2o,[g],Water,40,C00001,HMDB02111
pyr[c],pyr,[c],pyruvate,39,C00022,HMDB00243
h2o[n],h2o,[n],Water,38,C00001,HMDB02111
cl[e],cl,[e],Chloride,38,C00698,HMDB00492
orn[e],orn,[e],Ornithine,38,C00077,HMDB00214
udp[r],udp,[r],UDP,38,C00015,HMDB00295
citr_L[e],citr_L,[e],L-citrulline,38,C00327,HMDB00904
cl[c],cl,[c],Chloride,37,C00698,HMDB00492
cmp[g],cmp,[g],CMP,35,C00055,HMDB00095
udpglcur[r],udpglcur,[r],UDP-D-glucuronate,35,C00167,HMDB00935
accoa[c],accoa,[c],Acetyl-CoA,34,C00024,HMDB01206
atp[n],atp,[n],ATP,34,C00002,HMDB00538
cmpacna[g],cmpacna,[g],CMP-N-acetyl-beta-neuraminate(2-),34,C00128,HMDB01176
malcoa[c],malcoa,[c],Malonyl-CoA,32,C00083,HMDB01175
ac[c],ac,[c],acetate,32,C00033,HMDB00042
ppi[r],ppi,[r],Diphosphate,31,C00013,HMDB00250
adp[n],adp,[n],ADP,31,C00008,HMDB01341
ascb_L[c],ascb_L,[c],L-ascorbate,30,C00072,HMDB00044
pi[e],pi,[e],hydrogenphosphate,29,C00009,HMDB00973
chsterol[r],chsterol,[r],cholesterol,29,C00187,HMDB00067
gal[l],gal,[l],D-Galactose,29,C00984,HMDB00143
udpglcur[c],udpglcur,[c],UDP-D-glucuronate,29,C00167,HMDB00935
dadp[c],dadp,[c],dADP,28,C00206,HMDB01508
arachd[c],arachd,[c],arachidonate,27,C00219,HMDB01043
co2[r],co2,[r],carbon dioxide,27,C00011,HMDB01967
dcdp[c],dcdp,[c],dCDP,27,C00705,HMDB01245
ump[c],ump,[c],UMP,27,C00105,HMDB00288
gdp[c],gdp,[c],GDP,26,C00035,HMDB01201
amp[r],amp,[r],AMP,26,C00020,HMDB00045
nad[r],nad,[r],Nicotinamide adenine dinucleotide,26,C00003,HMDB00902
nadh[r],nadh,[r],Nicotinamide adenine dinucleotide - reduced,26,C00004,HMDB01487
nadph[x],nadph,[x],Nicotinamide adenine dinucleotide phosphate - reduced,26,C00005,HMDB00221
nadp[x],nadp,[x],Nicotinamide adenine dinucleotide phosphate,26,C00006,HMDB00217
for[c],for,[c],Formate,25,C00058,HMDB00142
gdpfuc[g],gdpfuc,[g],GDP-L-fucose(2-),25,C00325,HMDB01095
gdp[g],gdp,[g],GDP,25,C00035,HMDB01201
atp[x],atp,[x],ATP,24,C00002,HMDB00538
dgdp[c],dgdp,[c],dGDP,24,C00361,HMDB00960
so4[c],so4,[c],sulfate,24,C00059,HMDB01448
ppi[m],ppi,[m],Diphosphate,23,C00013,HMDB00250
ACP[c],ACP,[c],acyl carrier protein,23,NA,NA
glc_D[e],glc_D,[e],D-glucose,23,C00031,HMDB00122
h2o2[m],h2o2,[m],Hydrogen peroxide,23,C00027,HMDB03125
pi[r],pi,[r],hydrogenphosphate,23,C00009,HMDB00973
crn[x],crn,[x],L-Carnitine,23,C15025,HMDB00062
pi[l],pi,[l],hydrogenphosphate,22,C00009,HMDB00973
q10[m],q10,[m],ubiquinone-10,22,C11378,HMDB01072
crn[r],crn,[r],L-Carnitine,22,C15025,HMDB00062
datp[c],datp,[c],dATP,21,C00131,HMDB01532
o2s[c],o2s,[c],superoxide,21,C00704,HMDB02168
dhdascb[c],dhdascb,[c],dehydroascorbide(1-),21,C00425,HMDB01264
glc_D[c],glc_D,[c],D-glucose,21,C00031,HMDB00122
ctp[c],ctp,[c],CTP,21,C00063,HMDB00082
q10h2[m],q10h2,[m],Ubiquinol-10,21,C00390,HMDB13111
dudp[c],dudp,[c],dUDP,21,C01346,HMDB01000
glu_L[l],glu_L,[l],L-glutamate(1-),21,C00025,HMDB00148
gthrd[m],gthrd,[m],Reduced glutathione,21,C00051,HMDB00125
retn[c],retn,[c],all-trans-retinoate,21,C00777,HMDB01852
paps[c],paps,[c],"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",20,C00053,HMDB01134
pap[c],pap,[c],"adenosine 3',5'-bismonophosphate(4-)",20,C00054,HMDB00061
cmp[c],cmp,[c],CMP,20,C00055,HMDB00095
dolp_L[r],dolp_L,[r],dolichyl phosphate(2-),20,NA,NA
dadp[m],dadp,[m],dADP,20,C00206,HMDB01508
ppi[x],ppi,[x],Diphosphate,20,C00013,HMDB00250
occoa[m],occoa,[m],Octanoyl-CoA (n-C8:0CoA),20,C01944,HMDB01070
ppcoa[m],ppcoa,[m],Propanoyl-CoA,19,C00100,HMDB01275
amp[m],amp,[m],AMP,19,C00020,HMDB00045
gtp[c],gtp,[c],GTP,19,C00044,HMDB01273
glu_L[e],glu_L,[e],L-glutamate(1-),19,C00025,HMDB00148
dgdp[m],dgdp,[m],dGDP,19,C00361,HMDB00960
dtdp[c],dtdp,[c],dTDP,19,C00363,HMDB01274
lac_L[c],lac_L,[c],(S)-lactate,19,C00186,HMDB00190
acgal[l],acgal,[l],N-acetyl-D-galactosamine,18,C01132,HMDB00212
gly[m],gly,[m],Glycine,18,C00037,HMDB00123
amp[x],amp,[x],AMP,18,C00020,HMDB00045
succ[c],succ,[c],Succinate,18,C00042,HMDB00254
dolp_U[r],dolp_U,[r],dolichyl phosphate(2-),18,NA,NA
dtdp[m],dtdp,[m],dTDP,18,C00363,HMDB01274
glyc3p[c],glyc3p,[c],Glycerol 3-phosphate,18,C00093,HMDB00126
succ[m],succ,[m],Succinate,18,C00042,HMDB00254
dopa[c],dopa,[c],dopaminium(1+),17,C03758,HMDB00073
cit[c],cit,[c],Citrate,17,C00158,HMDB00094
icit[m],icit,[m],Isocitrate,17,C00311,HMDB00193
pmtcoa[c],pmtcoa,[c],Palmitoyl-CoA (n-C16:0CoA),17,C00154,HMDB01338
utp[c],utp,[c],UTP,17,C00075,HMDB00285
dgtp[c],dgtp,[c],dGTP,17,C00286,HMDB01440
dudp[m],dudp,[m],dUDP,17,C01346,HMDB01000
man[g],man,[g],D-Mannose,17,C00159,HMDB00169
malcoa[r],malcoa,[r],Malonyl-CoA,17,C00083,HMDB01175
pyr[m],pyr,[m],pyruvate,16,C00022,HMDB00243
acac[c],acac,[c],acetoacetate,16,C00164,HMDB00060
udpacgal[g],udpacgal,[g],UDP-N-acetyl-D-galactosamine(2-),16,C00203,HMDB00304
ppa[c],ppa,[c],propionate,16,C00163,HMDB00237
mal_L[c],mal_L,[c],(S)-malate(2-),16,C00149,HMDB00156
Rtotalcoa[c],Rtotalcoa,[c],R total Coenzyme A,16,NA,NA
R2coa_hs[c],R2coa_hs,[c],R group 2 Coenzyme A,16,NA,NA
stcoa[c],stcoa,[c],Stearoyl-CoA (n-C18:0CoA),16,C00412,HMDB01114
dcdp[m],dcdp,[m],dCDP,16,C00705,HMDB01245
pe_hs[r],pe_hs,[r],phosphatidylethanolamine,16,NA,NA
ac[e],ac,[e],acetate,15,C00033,HMDB00042
icit[c],icit,[c],Isocitrate,15,C00311,HMDB00193
nh4[e],nh4,[e],Ammonium,15,C00014,HMDB00051
thf[c],thf,[c],"5,6,7,8-Tetrahydrofolate",15,C00101,HMDB01846
mal_L[m],mal_L,[m],(S)-malate(2-),15,C00149,HMDB00156
odecoa[c],odecoa,[c],Octadecenoyl-CoA (n-C18:1CoA),15,C00510,HMDB01322
adp[r],adp,[r],ADP,15,C00008,HMDB01341
gdpmann[c],gdpmann,[c],GDP-alpha-D-mannose(2-),15,C00096,HMDB01163
pchol_hs[c],pchol_hs,[c],Phosphatidylcholine,15,NA,NA
cdp[c],cdp,[c],CDP,15,C00112,HMDB01546
fad[c],fad,[c],Flavin adenine dinucleotide oxidized,15,C00016,HMDB01248
gchola[e],gchola,[e],glycocholate,15,C01921,HMDB00138
h2o2[e],h2o2,[e],Hydrogen peroxide,15,C00027,HMDB03125
tchola[e],tchola,[e],taurocholate,15,NA,HMDB00036
gthrd[r],gthrd,[r],Reduced glutathione,15,C00051,HMDB00125
taur[c],taur,[c],Taurine,15,C00245,HMDB00251
ppcoa[c],ppcoa,[c],Propanoyl-CoA,14,C00100,HMDB01275
pep[c],pep,[c],Phosphoenolpyruvate,14,C00074,HMDB00263
cit[m],cit,[m],Citrate,14,C00158,HMDB00094
adn[c],adn,[c],Adenosine,14,C00212,HMDB00050
fald[c],fald,[c],formaldehyde,14,C00067,HMDB01426
dhap[c],dhap,[c],Dihydroxyacetone phosphate,14,C00111,HMDB01473
lys_L[m],lys_L,[m],L-lysinium(1+),14,C00047,HMDB00182
dolmanp_L[r],dolmanp_L,[r],"Dolichyl phosphate D-mannose, human liver homolog",14,NA,NA
dag_hs[c],dag_hs,[c],diglyceride,14,NA,NA
oxa[c],oxa,[c],oxalate(2-),14,C00209,HMDB02329
f6p[c],f6p,[c],D-Fructose 6-phosphate,14,C00085,HMDB00124
glcur[l],glcur,[l],D-glucuronate,14,C00191,HMDB00127
gthrd[x],gthrd,[x],Reduced glutathione,14,C00051,HMDB00125
CE0328[c],CE0328,[c],docosahexaenoate,14,C06429,HMDB02183
nrpphr[c],nrpphr,[c],Norepinephrine,13,C00547,HMDB00216
acald[c],acald,[c],acetaldehyde,13,C00084,HMDB00990
akg[e],akg,[e],2-Oxoglutarate,13,C00026,HMDB00208
arachd[r],arachd,[r],arachidonate,13,C00219,HMDB01043
arg_L[m],arg_L,[m],L-argininium(1+),13,C00062,HMDB00517
orn[m],orn,[m],Ornithine,13,C00077,HMDB00214
chol[c],chol,[c],Choline,13,C00114,HMDB00097
chsterol[c],chsterol,[c],cholesterol,13,C00187,HMDB00067
ppcoa[x],ppcoa,[x],Propanoyl-CoA,13,C00100,HMDB01275
dctp[c],dctp,[c],dCTP,13,C00458,HMDB00998
nh4[x],nh4,[x],Ammonium,13,C00014,HMDB00051
datp[m],datp,[m],dATP,13,C00131,HMDB01532
dttp[c],dttp,[c],dTTP,13,C00459,HMDB01342
lac_L[e],lac_L,[e],(S)-lactate,13,C00186,HMDB00190
o2[e],o2,[e],O2,13,C00007,HMDB01377
udpg[c],udpg,[c],UDPglucose,13,C00029,HMDB00286
o2[n],o2,[n],O2,13,C00007,HMDB01377
pi[n],pi,[n],hydrogenphosphate,13,C00009,HMDB00973
trdrd[c],trdrd,[c],Reduced thioredoxin,13,C00342,NA
HC00342[m],HC00342,[m],cis-aconitate(3-),13,NA,NA
his_L[l],his_L,[l],L-histidine,13,C00135,HMDB00177
2hb[c],2hb,[c],2-Hydroxybutyrate,12,C05984,HMDB00008
2hb[e],2hb,[e],2-Hydroxybutyrate,12,C05984,HMDB00008
srtn[c],srtn,[c],serotonin(1+),12,C00780,HMDB00259
acac[e],acac,[e],acetoacetate,12,C00164,HMDB00060
ala_L[l],ala_L,[l],L-alanine,12,C00041,HMDB00161
k[c],k,[c],potassium,12,C00238,HMDB00586
k[e],k,[e],potassium,12,C00238,HMDB00586
bhb[e],bhb,[e],(R)-3-hydroxybutyrate,12,C01089,HMDB00011
bhb[c],bhb,[c],(R)-3-hydroxybutyrate,12,C01089,HMDB00011
dolmanp_U[r],dolmanp_U,[r],"Dolichyl phosphate D-mannose, human uterine homolog",12,NA,NA
but[c],but,[c],butyrate,12,C00246,HMDB00039
but[e],but,[e],butyrate,12,C00246,HMDB00039
for[e],for,[e],Formate,12,C00058,HMDB00142
udp[n],udp,[n],UDP,12,C00015,HMDB00295
dag_hs[r],dag_hs,[r],diglyceride,12,NA,NA
dutp[c],dutp,[c],dUTP,12,C00460,HMDB01191
ppa[e],ppa,[e],propionate,12,C00163,HMDB00237
pyr[e],pyr,[e],pyruvate,12,C00022,HMDB00243
retn[e],retn,[e],all-trans-retinoate,12,C00777,HMDB01852
fru[c],fru,[c],D-Fructose,12,C02336,HMDB00660
gchola[c],gchola,[c],glycocholate,12,C01921,HMDB00138
gmp[c],gmp,[c],GMP,12,C00144,HMDB01397
uacgam[c],uacgam,[c],UDP-N-acetyl-alpha-D-glucosamine(2-),12,C00043,HMDB00290
gly[l],gly,[l],Glycine,12,C00037,HMDB00123
leuktrB4[c],leuktrB4,[c],leukotriene B4(1-),12,C02165,HMDB01085
pro_L[l],pro_L,[l],L-proline,12,C00148,HMDB00162
spmd[c],spmd,[c],Spermidine,12,C00315,HMDB01257
adp[l],adp,[l],ADP,12,C00008,HMDB01341
atp[l],atp,[l],ATP,12,C00002,HMDB00538
thr_L[l],thr_L,[l],L-threonine,12,C00188,HMDB00167
arg_L[l],arg_L,[l],L-argininium(1+),12,C00062,HMDB00517
asn_L[l],asn_L,[l],L-asparagine,12,C00152,HMDB00168
asp_L[l],asp_L,[l],L-aspartate(1-),12,C00049,HMDB00191
gln_L[l],gln_L,[l],L-glutamine,12,C00064,HMDB00641
leu_L[l],leu_L,[l],L-leucine,12,C00123,HMDB00687
lys_L[l],lys_L,[l],L-lysinium(1+),12,C00047,HMDB00182
met_L[l],met_L,[l],L-methionine,12,C00073,HMDB00696
phe_L[l],phe_L,[l],L-phenylalanine,12,C00079,HMDB00159
ser_L[l],ser_L,[l],L-serine,12,C00065,HMDB00187
trp_L[l],trp_L,[l],L-tryptophan,12,C00078,HMDB00929
tyr_L[l],tyr_L,[l],L-tyrosine,12,C00082,HMDB00158
his_L[m],his_L,[m],L-histidine,12,C00135,HMDB00177
val_L[l],val_L,[l],L-valine,12,C00183,HMDB00883
mthgxl[c],mthgxl,[c],methylglyoxal,11,C00546,HMDB01167
fum[c],fum,[c],Fumarate,11,C00122,HMDB00134
pmtcoa[m],pmtcoa,[m],Palmitoyl-CoA (n-C16:0CoA),11,C00154,HMDB01338
nh4[m],nh4,[m],Ammonium,11,C00014,HMDB00051
prostge2[c],prostge2,[c],prostaglandin E2(1-),11,C00584,HMDB01220
pail_hs[c],pail_hs,[c],1-phosphatidyl-1D-myo-inositol(1-),11,NA,NA
citr_L[m],citr_L,[m],L-citrulline,11,C00327,HMDB00904
uri[c],uri,[c],Uridine,11,C00299,HMDB00296
dcmp[c],dcmp,[c],dCMP,11,C00239,HMDB01202
fadh2[c],fadh2,[c],Flavin adenine dinucleotide reduced,11,C01352,HMDB01197
dgtp[m],dgtp,[m],dGTP,11,C00286,HMDB01440
dttp[m],dttp,[m],dTTP,11,C00459,HMDB01342
ipdp[c],ipdp,[c],Isopentenyl diphosphate,11,C00129,HMDB01347
hdca[c],hdca,[c],Hexadecanoate (n-C16:0),11,C00249,HMDB00220
g6p[c],g6p,[c],D-Glucose 6-phosphate,11,C00092,HMDB01401
udpglcur[g],udpglcur,[g],UDP-D-glucuronate,11,C00167,HMDB00935
retinol[c],retinol,[c],retinol,11,C00473,HMDB00305
tchola[c],tchola,[c],taurocholate,11,NA,HMDB00036
ile_L[l],ile_L,[l],L-isoleucine,11,C00407,HMDB00172
cys_L[l],cys_L,[l],L-cysteine,11,C00097,HMDB00574
HC00342[c],HC00342,[c],cis-aconitate(3-),11,NA,NA
so3[c],so3,[c],Sulfite,10,C00094,HMDB00240
4abut[c],4abut,[c],4-Aminobutanoate,10,C00334,HMDB00112
man[c],man,[c],D-Mannose,10,C00159,HMDB00169
udpgal[c],udpgal,[c],UDP-D-galactose(2-),10,C00052,HMDB00302
btcoa[m],btcoa,[m],Butanoyl-CoA,10,C00136,HMDB01088
fadh2[x],fadh2,[x],Flavin adenine dinucleotide reduced,10,C01352,HMDB01197
fad[x],fad,[x],Flavin adenine dinucleotide oxidized,10,C00016,HMDB01248
ins[c],ins,[c],Inosine,10,C00294,HMDB00195
imp[c],imp,[c],IMP,10,C00130,HMDB00175
Rtotal2[c],Rtotal2,[c],R total 2 position,10,NA,NA
pa_hs[c],pa_hs,[c],phosphatidate(2-),10,NA,NA
lnlccoa[c],lnlccoa,[c],linoleic coenzyme A,10,C02050,HMDB01064
ala_B[c],ala_B,[c],beta-alanine,10,C00099,HMDB00056
btn[c],btn,[c],Biotin,10,C00120,HMDB00030
bilirub[c],bilirub,[c],bilirubin(2-),10,C00486,HMDB00054
prostge1[c],prostge1,[c],prostaglandin E1(1-),10,C04741,HMDB01442
inost[c],inost,[c],myo-inositol,10,C00137,HMDB00211
pe_hs[c],pe_hs,[c],phosphatidylethanolamine,10,NA,NA
cholate[c],cholate,[c],Cholate,10,C00695,HMDB00619
cytd[c],cytd,[c],Cytidine,10,C00475,HMDB00089
cdp[n],cdp,[n],CDP,10,C00112,HMDB01546
dcdp[n],dcdp,[n],dCDP,10,C00705,HMDB01245
thbpt[c],thbpt,[c],"5,6,7,8-tetrahydrobiopterin",10,C00272,HMDB00027
dutp[m],dutp,[m],dUTP,10,C00460,HMDB01191
13_cis_retn[c],13_cis_retn,[c],13-cis-retinoate,10,D00348,HMDB06219
prostgh2[c],prostgh2,[c],prostaglandin H2(1-),10,C00427,HMDB01381
trdox[c],trdox,[c],Oxidized thioredoxin,10,C00343,NA
so4[r],so4,[r],sulfate,10,C00059,HMDB01448
occoa[x],occoa,[x],Octanoyl-CoA (n-C8:0CoA),9,C01944,HMDB01070
pmtcoa[x],pmtcoa,[x],Palmitoyl-CoA (n-C16:0CoA),9,C00154,HMDB01338
itp[c],itp,[c],ITP(3-),9,C00081,HMDB00189
gdp[m],gdp,[m],GDP,9,C00035,HMDB01201
g1p[c],g1p,[c],D-Glucose 1-phosphate,9,C00103,HMDB01586
leuktrA4[c],leuktrA4,[c],leukotriene A4(1-),9,C00909,HMDB01337
arachdcoa[c],arachdcoa,[c],arachidonoyl-CoA(4-),9,C02249,HMDB06523
bildglcur[e],bildglcur,[e],bis(beta-glucosyluronate)bilirubin,9,C05787,HMDB03325
glc_D[r],glc_D,[r],D-glucose,9,C00031,HMDB00122
crm_hs[c],crm_hs,[c],N-acylsphingosine,9,NA,NA
chsterol[l],chsterol,[l],cholesterol,9,C00187,HMDB00067
co2[x],co2,[x],carbon dioxide,9,C00011,HMDB01967
dcmp[n],dcmp,[n],dCMP,9,C00239,HMDB01202
datp[n],datp,[n],dATP,9,C00131,HMDB01532
dump[c],dump,[c],dUMP,9,C00365,HMDB01409
dctp[m],dctp,[m],dCTP,9,C00458,HMDB00998
g3p[c],g3p,[c],Glyceraldehyde 3-phosphate,9,C00661,HMDB01112
estrone[r],estrone,[r],estrone,9,C00468,HMDB00145
Rtotal2[e],Rtotal2,[e],R total 2 position,9,NA,NA
tdchola[e],tdchola,[e],taurochenodeoxycholate,9,C05465,HMDB00951
ocdcea[c],ocdcea,[c],octadecenoate (n-C18:1),9,C00712,HMDB00207
thf[m],thf,[m],"5,6,7,8-Tetrahydrofolate",9,C00101,HMDB01846
fum[m],fum,[m],Fumarate,9,C00122,HMDB00134
lpam[m],lpam,[m],lipoamide,9,C00248,HMDB00962
dhlam[m],dhlam,[m],dihydrolipoamide,9,C00579,HMDB00985
glyc[c],glyc,[c],Glycerol,9,C00116,HMDB00131
hdca[r],hdca,[r],Hexadecanoate (n-C16:0),9,C00249,HMDB00220
hista[c],hista,[c],histamium,9,C00388,HMDB00870
triodthy[c],triodthy,[c],"3,3',5-triiodo-L-thyronine",9,C02465,HMDB00265
