reaction_no_direction,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4
2HBt2,2-hydroxybutyrate cotransport with proton,"1.00 * 2-Hydroxybutyrate [e] + 1.00 * proton [e] --> 1.00 * proton [c] + 1.00 * 2-Hydroxybutyrate [c]
SLC16A1; SLC16A3; SLC16A7",SLC16A1; SLC16A3; SLC16A7,"Transport, extracellular",N/A,4
2HCO3_NAt,bicarbonate transport (Na/HCO3 1:2 cotransport),"2.00 * Bicarbonate [e] + 1.00 * Sodium [e] --> 2.00 * Bicarbonate [c] + 1.00 * Sodium [c]
SLC4A4; SLC4A5",SLC4A4; SLC4A5,"Transport, extracellular",N/A,4
2MCITt,2-methylcitrate transport via diffusion,"1.00 * 2-methylcitrate(3-) [c] --> 1.00 * 2-methylcitrate(3-) [e]
No genes",NA,"Transport, extracellular",N/A,2
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),"1.00 * 2-oxoadipate(2-) [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] --> 1.00 * carbon dioxide [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m]
DLD; DLST; OGDH; PDHX",DLD; DLST; OGDH; PDHX,Lysine metabolism,2.3.1.61,2
2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),"1.00 * 2-Oxoglutarate [m] + 1.00 * 2-oxoadipate(2-) [c] --> 1.00 * 2-Oxoglutarate [c] + 1.00 * 2-oxoadipate(2-) [m]
SLC25A21",SLC25A21,Tryptophan metabolism,N/A,4
34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,Tyrosine metabolism,1.1.1.1,4
34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)","1.00 * 3,4-Dihydroxyphenylethyleneglycol [c] --> 1.00 * 3,4-Dihydroxyphenylethyleneglycol [e]
No genes",NA,"Transport, extracellular",N/A,2
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase","1.00 * (3,4-dihydroxyphenyl)acetate [c] + 1.00 * S-Adenosyl-L-methionine [c] --> 1.00 * proton [c] + 1.00 * S-Adenosyl-L-homocysteine [c] + 1.00 * Homovanillate [c]
COMT",COMT,Tyrosine metabolism,2.1.1.6,1
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport","1.00 * L-dopa [e] --> 1.00 * L-dopa [c]
SLC16A10",SLC16A10,"Transport, extracellular",N/A,4
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",ALDH1A3; ALDH3A1; ALDH3B1,Tyrosine metabolism,1.2.1.5,4
34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,4
34HPLFM,3-(4-hydroxyphenyl-)lactate formation,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [m] --> 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 3-(4-hydroxyphenyl)lactate [m]
No genes",NA,Ubiquinone synthesis,N/A,2
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",HPD,Tyrosine metabolism,1.13.11.27,4
35CGMPtn,35cGMP nuclear transport,"1.00 * 3',5'-cyclic GMP(1-) [c] --> 1.00 * 3',5'-cyclic GMP(1-) [n]
No genes",NA,"Transport, nuclear",N/A,2
3AIBt,3-amino-isobutyrate transport,"1.00 * (S)-3-aminoisobutyric acid [c] --> 1.00 * (S)-3-aminoisobutyric acid [e]
No genes",NA,"Transport, extracellular",N/A,2
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial","1.00 * 2-methyl-3-oxopropanoate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * 2-Oxoglutarate [m] + 1.00 * (S)-3-aminoisobutyric acid [m]
ABAT",ABAT,"Valine, leucine, and isoleucine metabolism",2.6.19.4,2
3AIBtm,"3-amino-isobutyrate transport, mitochondrial","1.00 * (S)-3-aminoisobutyric acid [m] --> 1.00 * (S)-3-aminoisobutyric acid [c]
ABAT",ABAT,"Transport, mitochondrial",N/A,2
3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH),"1.00 * proton [m] + 1.00 * O2 [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 3-Decaprenyl-4-hydroxybenzoate [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 3-Decaprenyl-4,5-dihdydroxybenzoate [m]
No genes",NA,Ubiquinone synthesis,N/A,2
3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 3-Decaprenyl-4-hydroxybenzoate [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 3-Decaprenyl-4,5-dihdydroxybenzoate [m]
No genes",NA,Ubiquinone synthesis,N/A,2
3DSPHR,3-Dehydrosphinganine reductase,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",KDSR,Sphingolipid metabolism,1.1.1.102,4
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",HAAO,Tryptophan metabolism,1.13.11.6,4
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial","1.00 * Water [m] + 1.00 * crotonoyl-CoA(4-) [m] --> 1.00 * (R)-3-hydroxybutanoyl-CoA(4-) [m]
ECHDC2",ECHDC2,Butanoate metabolism,4.2.1.55,2
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","1.00 * Water [m] + 1.00 * (S)-3-Hydroxyisobutyryl-CoA [m] --> 1.00 * proton [m] + 1.00 * Coenzyme A [m] + 1.00 * 3-hydroxy-2-methylpropanoate [m]
No genes",NA,"Valine, leucine, and isoleucine metabolism",3.1.2.4,2
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,"1.00 * 2-Oxoglutarate [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate [c] + 1.00 * L-glutamate(1-) [c]
AADAT; KYAT1",AADAT; KYAT1,Tryptophan metabolism,2.6.1.7,2
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",DDC,Tyrosine metabolism,4.1.1.28,4
3HPCOAHYD,3-hydroxyisobutyryl-Coenzyme A hydrolase,"1.00 * Water [c] + 1.00 * 3-hydroxypropanoyl-CoA(4-) [c] --> 1.00 * proton [c] + 1.00 * 3-hydroxypropionate [c] + 1.00 * Coenzyme A [c]
HIBCH",HIBCH,beta-Alanine metabolism,3.1.2.4,4
3HPPD,3-hydroxypropionate dehydrogenase,"1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-hydroxypropionate [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-oxopropanoate [c]
No genes",NA,Propanoate metabolism,1.1.1.59,2
3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,"1.00 * proton [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * carbon dioxide [c] + 1.00 * 3-Hydroxykynurenamine [c]
DDC",DDC,Tryptophan metabolism,N/A,1
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),"1.00 * O2 [c] + 1.00 * 3-Hydroxykynurenamine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * quinoline-4,8-diol [c]
MAOA; MAOB",MAOA; MAOB,Tryptophan metabolism,1.4.3.4,1
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * Homovanillate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,1
3MLDAt,3MLDA extracellular transport via diffusion,"1.00 * 3-Methylimidazoleacetic acid [c] --> 1.00 * 3-Methylimidazoleacetic acid [e]
No genes",NA,"Transport, extracellular",N/A,2
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,"1.00 * proton [c] + 1.00 * 3-methyl-2-oxobutanoate [c] --> 1.00 * proton [m] + 1.00 * 3-methyl-2-oxobutanoate [m]
No genes",NA,"Transport, mitochondrial",N/A,4
3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,"1.00 * proton [c] + 1.00 * 3-methyl-2-oxopentanoate [c] --> 1.00 * proton [m] + 1.00 * 3-methyl-2-oxopentanoate [m]
No genes",NA,"Transport, mitochondrial",N/A,4
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,2
3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,Tyrosine metabolism,1.2.1.5,2
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * 3-Methoxytyramine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c]
MAOA; MAOB",MAOA; MAOB,Tyrosine metabolism,1.4.3.4,4
3NTD7l,"3'-nucleotidase (AMP), lysosome","1.00 * 3'-AMP(2-) [l] + 1.00 * Water [l] --> 1.00 * Adenosine [l] + 1.00 * hydrogenphosphate [l]
ACP2; ACP5; ACP6; ACPP",ACP2; ACP5; ACP6; ACPP,Purine catabolism,3.1.3.2,4
3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle,"1.00 * 3-Sulfino-L-alanine [m] + 1.00 * L-aspartate(1-) [c] --> 1.00 * 3-Sulfino-L-alanine [c] + 1.00 * L-aspartate(1-) [m]
SLC25A12; SLC25A13",SLC25A12; SLC25A13,"Transport, mitochondrial",N/A,2
3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",CSAD; GAD1; GAD2,Taurine and hypotaurine metabolism,4.1.1.15,4
3SALAOX,cysteinesulfinic acid oxidase,"1.00 * O2 [c] + 2.00 * proton [c] + 2.00 * 3-Sulfino-L-alanine [c] --> 2.00 * L-cysteate(1-) [c]
No genes",NA,Taurine and hypotaurine metabolism,N/A,2
3SALATAi,3-sulfino-alanine transaminase (irreversible),"1.00 * proton [c] + 1.00 * 2-Oxoglutarate [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 3-Sulfinopyruvate [c]
GOT1",GOT1,Methionine and cysteine metabolism,2.6.1.1,2
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial","1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * 3-Sulfino-L-alanine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * 3-Sulfinopyruvate [m]
GOT2",GOT2,Methionine and cysteine metabolism,2.6.1.1,2
3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),"1.00 * Water [c] + 1.00 * 3-Sulfinopyruvate [c] --> 1.00 * proton [c] + 1.00 * pyruvate [c] + 1.00 * Sulfite [c]
No genes",NA,Methionine and cysteine metabolism,N/A,2
