ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR00103,Carnitine O-Palmitoyltransferase,L-carnitine[c] + (2E)-hexadecenoyl-CoA[c] <=> CoA[c] + hexadecenoylcarnitine(9)[c],2.3.1.21,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,,,,,bigg.reaction/C161CPT12;vmhreaction/C161CPT12;metanetx.reaction/MNXR96388;sbo/SBO:0000176,Fatty acid oxidation,,,,0
MAR00104,C161 Transport into the Mitochondria,CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m],2.3.1.21,ENSG00000157184,,,,,bigg.reaction/C161CPT22;vmhreaction/C161CPT22;metanetx.reaction/MNXR96388;sbo/SBO:0000176,Fatty acid oxidation,,,,0
MAR00105,C161 Transport into the Mitochondria,hexadecenoylcarnitine(9)[c] <=> hexadecenoylcarnitine(9)[m],2.3.1.21,ENSG00000178537,,,,,bigg.reaction/C161CRN2t;vmhreaction/C161CRN2t;metanetx.reaction/MNXR96389;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00106,C161 Transport into the Mitochondria,palmitoleoyl-carnitine[c] <=> palmitoleoyl-carnitine[m],2.3.1.21,ENSG00000178537,,,,,bigg.reaction/C161CRNt;vmhreaction/C161CRNt;metanetx.reaction/MNXR96390;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00107,C180 Transport into the Mitochondria,stearoylcarnitine[c] <=> stearoylcarnitine[m],,ENSG00000178537,,,,,bigg.reaction/C180CRNt;vmhreaction/C180CRNt;metanetx.reaction/MNXR96394;sbo/SBO:0000185,Fatty acid oxidation,,,PMID:14598172,0
MAR00108,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,L-carnitine[c] + oleoyl-CoA[c] <=> CoA[c] + octadecenoylcarnitine(5)[c],2.3.1.21,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,,,,,bigg.reaction/C181CPT1;vmhreaction/C181CPT1;metanetx.reaction/MNXR96396;sbo/SBO:0000176,Fatty acid oxidation,,,PMID:1988962,0
MAR00109,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,CoA[m] + octadecenoylcarnitine(5)[m] <=> L-carnitine[m] + oleoyl-CoA[m],2.3.1.21,ENSG00000157184,,,,,bigg.reaction/C181CPT2;vmhreaction/C181CPT2;metanetx.reaction/MNXR96396;sbo/SBO:0000176,Fatty acid oxidation,,,PMID:1528846;PMID:1988962,0
MAR00110,C181 Transport into the Mitochondria,octadecenoylcarnitine(5)[c] <=> octadecenoylcarnitine(5)[m],2.3.1.21,ENSG00000178537,,,,,bigg.reaction/C181CRNt;vmhreaction/C181CRNt;metanetx.reaction/MNXR96397;sbo/SBO:0000185,Fatty acid oxidation,,,PMID:14598172,0
MAR00111,Arachidonic Acid Transport into the Mitochondria,arachidonyl-carnitine[c] <=> arachidonyl-carnitine[m],,ENSG00000178537,,,,,bigg.reaction/C204CRNt;vmhreaction/C204CRNt;metanetx.reaction/MNXR96401;sbo/SBO:0000185,Fatty acid oxidation,,,PMID:14598172,0
MAR00119,Ca ATPase,ATP[c] + Ca2+[c] + H2O[c] => ADP[c] + Ca2+[e] + H+[e] + Pi[c],3.6.3.6,ENSG00000058668 or ENSG00000067842 or ENSG00000070961 or ENSG00000157087,,,,,bigg.reaction/CAATPS;vmhreaction/CAATPS;metanetx.reaction/MNXR96438;sbo/SBO:0000185,Transport reactions,,,PMID:7876199;PMID:8396145,0
MAR00121,Phosphatidate Cytidylyltransferase,CTP[c] + H+[c] + phosphatidate-LD-PI pool[c] => CDP-diacylglycerol-LD-PI pool[c] + PPi[c],2.7.7.41,ENSG00000101290 or ENSG00000163624,,,,,kegg.reaction/R01799;bigg.reaction/CDS;vmhreaction/CDS;vmhreaction/HMR_0607;metanetx.reaction/MNXR96563;rhea/16229;sbo/SBO:0000176,Glycerophospholipid metabolism,,,PMID:1330695;PMID:9370329,0
MAR00122,Phosphatidate Cytidylyltransferase,CTP[m] + H+[m] + phosphatidate-LD-PI pool[m] => PPi[m] + CDP-diacylglycerol-LD-PI pool[m],2.7.7.41,ENSG00000101290 or ENSG00000163624,,,,,bigg.reaction/CDSm;vmhreaction/CDSm;metanetx.reaction/MNXR96563;sbo/SBO:0000176,Glycerophospholipid metabolism,,,,0
MAR00124,Citrulline Mitochondrial Transport via Proton Antiport,citrulline[m] <=> citrulline[c],3.2.1.14,ENSG00000102743 or ENSG00000120329,,,,,bigg.reaction/CITRtm;vmhreaction/CITRtm;metanetx.reaction/MNXR96735;sbo/SBO:0000185,Transport reactions,,,PMID:14598172,0
MAR00125,"Citrate Transport, Mitochondrial",citrate[c] + malate[m] <=> citrate[m] + malate[c],4.2.1.56,ENSG00000100075,,,,,bigg.reaction/CITtam;vmhreaction/CITtam;metanetx.reaction/MNXR96753;sbo/SBO:0000185,Transport reactions,,,PMID:14598172,0
MAR00126,Chloride Transport via Hydroxide Antiport (2:1),2 chloride[e] + H2O[c] => 2 chloride[c] + H2O[e],2.7.3.2,ENSG00000225697,,,,,bigg.reaction/CLOHtex2;vmhreaction/CLOHtex2;metanetx.reaction/MNXR96768;sbo/SBO:0000185,Transport reactions,,,PMID:12759755,0
MAR00128,Transport into the Mitochondria (Carnitine),"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c] <=> (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m]",,ENSG00000178537,,,,,bigg.reaction/CLPNDCRNt;vmhreaction/CLPNDCRNt;metanetx.reaction/MNXR96772;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00129,Cardiolipin Synthase (Homo Sapiens),PG-CL pool[c] + CDP-diacylglycerol-CL pool[c] => CL pool[c] + CMP[c] + H+[c],2.3.1.21,ENSG00000088766,,,,,bigg.reaction/CLS_hs;vmhreaction/CLS_hs;metanetx.reaction/MNXR96795;sbo/SBO:0000176,Glycerophospholipid metabolism,,,PMID:10799718,0
MAR00131,Methyltransferase Coq3,"SAM[m] + 2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone[m] => H+[m] + SAH[m] + ubiquinone[m]",,ENSG00000132423,,,,,bigg.reaction/COQ3m;vmhreaction/COQ3m;metanetx.reaction/MNXR96850;sbo/SBO:0000176,Ubiquinone synthesis,,,PMID:10777520;PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00133,Ubiquinone Biosynthesis Monooxgenase Coq6,"2-methoxy-6-(all-trans-decaprenyl)phenol[m] + O2[m] => H2O[m] + 2-Decaprenyl-6-Methoxy-1,4-Benzoquinone[m]",,ENSG00000119723,,,,,bigg.reaction/COQ6m;vmhreaction/COQ6m;metanetx.reaction/MNXR96852;sbo/SBO:0000176,Ubiquinone synthesis,,,PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00134,Ubiquinone Biosynthesis Coq7,"H+[m] + NADPH[m] + O2[m] + 2-Decaprenyl-6-Methoxy-3-Methyl-1,4-Benzoquinone[m] => H2O[m] + NADP+[m] + 2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone[m]",3.1.1.1,ENSG00000167186,,,,,bigg.reaction/COQ7m;vmhreaction/COQ7m;metanetx.reaction/MNXR96853;sbo/SBO:0000176,Ubiquinone synthesis,,,PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00137,L-Carnitine Outward Transport (H+ Antiport),H+[e] + L-carnitine[c] => H+[c] + L-carnitine[e],,ENSG00000197208,,,,,bigg.reaction/CRNtHa;vmhreaction/CRNtHa;metanetx.reaction/MNXR96910;sbo/SBO:0000185,Transport reactions,,,PMID:12883891,0
MAR00143,Transport into the Mitochondria (Carnitine),"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[c] <=> (4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m]",3.5.4.12,ENSG00000178537,,,,,bigg.reaction/DCSPTN1CRNt;vmhreaction/DCSPTN1CRNt;metanetx.reaction/MNXR97197;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00144,Palmitoyl Coenzyme A Desaturase (N-C16:0CoA -> N-C16:1CoA),H+[c] + NADH[c] + O2[c] + palmitoyl-CoA[c] => 2 H2O[c] + NAD+[c] + palmitoleoyl-CoA[c],1.14.19.1,ENSG00000099194,,,,,bigg.reaction/DESAT16_2;vmhreaction/DESAT16_2;metanetx.reaction/MNXR97239;sbo/SBO:0000176,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00145,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),"H+[c] + linolenoyl-CoA[c] + NADH[c] + O2[c] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.19.1,ENSG00000134824,,,,,bigg.reaction/DESAT18_10;vmhreaction/DESAT18_10;metanetx.reaction/MNXR97241;sbo/SBO:0000176,Fatty acid biosynthesis,,,,0
MAR00146,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => 2 H2O[c] + NAD+[c] + oleoyl-CoA[c],1.14.19.1,ENSG00000099194,,,,,bigg.reaction/DESAT18_3;vmhreaction/DESAT18_3;metanetx.reaction/MNXR97243;sbo/SBO:0000176,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00147,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => 2 H2O[c] + NAD+[c] + 11-Octadecenoyl Coenzyme A[c],1.14.19.1,ENSG00000099194,,,,,bigg.reaction/DESAT18_4;vmhreaction/DESAT18_4;metanetx.reaction/MNXR97244;sbo/SBO:0000176,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00148,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => (2E)-octadecenoyl-CoA[c] + 2 H2O[c] + NAD+[c],1.14.19.1,ENSG00000099194,,,,,bigg.reaction/DESAT18_5;vmhreaction/DESAT18_5;metanetx.reaction/MNXR97245;sbo/SBO:0000176,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00149,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"H+[c] + NADH[c] + O2[c] + oleoyl-CoA[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.99.25,ENSG00000134824,,,,,bigg.reaction/DESAT18_6;vmhreaction/DESAT18_6;metanetx.reaction/MNXR97246;sbo/SBO:0000176,Fatty acid biosynthesis,,,,0
MAR00150,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"H+[c] + NADH[c] + O2[c] + 11-Octadecenoyl Coenzyme A[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.19.1,ENSG00000134824,,,,,bigg.reaction/DESAT18_7;vmhreaction/DESAT18_7;metanetx.reaction/MNXR97247;sbo/SBO:0000176,Fatty acid biosynthesis,,,,0
MAR00151,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"(2E)-octadecenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.99.25,ENSG00000134824,,,,,bigg.reaction/DESAT18_8;vmhreaction/DESAT18_8;metanetx.reaction/MNXR97248;sbo/SBO:0000176,Fatty acid biosynthesis,,,,0
MAR00152,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),H+[c] + linoleoyl-CoA[c] + NADH[c] + O2[c] => gamma-linolenoyl-CoA[c] + 2 H2O[c] + NAD+[c],1.14.99.25,ENSG00000134824 or ENSG00000149485,,,,,bigg.reaction/DESAT18_9;vmhreaction/DESAT18_9;metanetx.reaction/MNXR97249;sbo/SBO:0000176,Fatty acid biosynthesis,,,,0
MAR00153,Propanoate:CoA ligase (AMP-forming),ATP[c] + CoA[c] + propanoate[c] => AMP[c] + PPi[c] + propanoyl-CoA[c],6.2.1.17;6.2.1.1;3.1.2.2,ENSG00000111058 or ENSG00000131069 or ENSG00000154930,,,,,kegg.reaction/R00925;bigg.reaction/ACS2;vmhreaction/ACS2;metanetx.reaction/MNXR106753;metanetx.reaction/MNXR95222;rhea/20374;rhea/20373;sbo/SBO:0000176,Propanoate metabolism,,,PMID:11013297;PMID:11013297;PMID:10843999;PMID:11150295;PMID:1924964;PMID:2009071;PMID:7341659,0
