ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE_ASSOCIATION (SYMBOL),LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]",2.7.1.11,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,PFKP or PFKL or PFKM,,,,,kegg.reaction/R00756;bigg.reaction/PFK;vmhreaction/PFK;metanetx.reaction/MNXR102507;metanetx.reaction/MNXR106666;rhea/16109;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12049998;PMID:5667967,0
MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,"fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]",2.7.1.11,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,PFKP or PFKL or PFKM,,,,,kegg.reaction/R00769;vmhreaction/r0191;metanetx.reaction/MNXR105312;metanetx.reaction/MNXR106676;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:11945275;PMID:4276999,0
MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]",4.1.2.13,ENSG00000109107 or ENSG00000136872,ALDOC or ALDOB,,,,,kegg.reaction/R01829;vmhreaction/r0407;metanetx.reaction/MNXR105337;metanetx.reaction/MNXR99461;rhea/30167;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10214945;PMID:2198022;PMID:4052378;PMID:4084320;PMID:6952783,0
MAR04358,ATP:pyruvate 2-O-phosphotransferase,ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c],2.7.1.40,ENSG00000067225 or ENSG00000143627,PKM or PKLR,,,,,kegg.reaction/R00200;bigg.reaction/PYK;vmhreaction/PYK;metanetx.reaction/MNXR103371;rhea/18159;rhea/18157;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:1009117;PMID:7154942,0
MAR04360,2-Oxopropanal:NADP+ oxidoreductase,H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c],1.2.1.49,ENSG00000180011,ZADH2,,,,,kegg.reaction/R00205;vmhreaction/r0055;metanetx.reaction/MNXR95787;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:20958;PMID:4383524;PMID:4391087;PMID:6014;PMID:7107625;PMID:7107626;PMID:7144586;PMID:7763257;PMID:7993370,0
MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c],4.2.1.11,ENSG00000074800 or ENSG00000108515 or ENSG00000111674,ENO1 or ENO3 or ENO2,,,,,kegg.reaction/R00658;bigg.reaction/ENO;vmhreaction/ENO;metanetx.reaction/MNXR97932;rhea/10164;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:3536714;PMID:7357031,0
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c],5.4.2.11,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,PGAM2 or PGAM1 or BPGM or PGAM4,,,,,kegg.reaction/R01518;bigg.reaction/PGM;vmhreaction/PGM;metanetx.reaction/MNXR102547;rhea/15901;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:2840859;PMID:6322090;PMID:9688259,0
MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]",2.7.2.3,ENSG00000096006 or ENSG00000102144 or ENSG00000170950,CRISP3 or PGK1 or PGK2,,,,,kegg.reaction/R01512;bigg.reaction/PGK;vmhreaction/PGK;metanetx.reaction/MNXR102538;rhea/14801;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:367367;PMID:4203909,0
MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,"1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]",3.6.1.7,ENSG00000119640 or ENSG00000170634,ACYP1 or ACYP2,,,,,kegg.reaction/R01515;bigg.reaction/ACYP;vmhreaction/ACYP;metanetx.reaction/MNXR95410;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase","1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]",5.4.2.1;5.4.2.4,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,PGAM2 or PGAM1 or BPGM or PGAM4,,,,,kegg.reaction/R01662;vmhreaction/DPGM;metanetx.reaction/MNXR107112;rhea/17765;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase","2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]",3.1.3.13,ENSG00000119640 or ENSG00000170634,ACYP1 or ACYP2,,,,,kegg.reaction/R01516;vmhreaction/DPGase;metanetx.reaction/MNXR107035;rhea/21904;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> D-glyceraldehyde 3-phosphate[c] + NAD+[c] + Pi[c]",1.2.1.12,ENSG00000105679 or ENSG00000111640,GAPDHS or GAPDH,,,,,kegg.reaction/R01061;bigg.reaction/GAPD;vmhreaction/GAPD;metanetx.reaction/MNXR100040;rhea/10300;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12027953;PMID:14993695;PMID:3370218;PMID:7144574,0
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","DHAP[c] + D-glyceraldehyde 3-phosphate[c] <=> fructose-1,6-bisphosphate[c]",4.1.2.13,ENSG00000109107 or ENSG00000136872 or ENSG00000149925,ALDOC or ALDOB or ALDOA,,,,,kegg.reaction/R01068;bigg.reaction/FBA;vmhreaction/FBA;metanetx.reaction/MNXR99459;rhea/14729;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10641038;PMID:10797566;PMID:12417303;PMID:12676688;PMID:1392515;PMID:2752067,0
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase","fructose-1,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]",3.1.3.11,ENSG00000130957 or ENSG00000165140,FBP2 or FBP1,,,,,kegg.reaction/R00762;bigg.reaction/FBP;vmhreaction/FBP;metanetx.reaction/MNXR106670;metanetx.reaction/MNXR99465;rhea/11064;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:15295071;PMID:214743;PMID:3032541,0
MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,fructose-6-phosphate[c] <=> glucose-6-phosphate[c],5.3.1.9,ENSG00000105220,GPI,,,,,kegg.reaction/R00771;bigg.reaction/PGI;vmhreaction/PGI;metanetx.reaction/MNXR102535;metanetx.reaction/MNXR106678;rhea/11816;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:2272676;PMID:2843500,0
MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,DHAP[c] <=> D-glyceraldehyde 3-phosphate[c],5.3.1.1,ENSG00000111669,TPI1,,,,,kegg.reaction/R01015;bigg.reaction/TPI;vmhreaction/TPI;metanetx.reaction/MNXR104918;rhea/18585;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:1168838;PMID:15262334;PMID:15522269;PMID:1959537;PMID:2339591,0
MAR04394,ATP:D-glucose 6-phosphotransferase,ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c],2.7.1.1;2.7.1.2;2.7.1.147,ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,GCK or HKDC1 or HK1 or HK2 or HK3,,,,,kegg.reaction/R00299;bigg.reaction/HEX1;vmhreaction/HEX1;metanetx.reaction/MNXR100612;rhea/17825;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:16906315;PMID:7061426;PMID:7150652;PMID:8717435,0
MAR04396,"alpha-D-glucose 1,6-phosphomutase",glucose-1-phosphate[c] <=> glucose-6-phosphate[c],5.4.2.2;5.4.2.5;5.4.2.6;5.2.2.2,ENSG00000079739 or ENSG00000169299,PGM1 or PGM2,,,,,kegg.reaction/R08639;bigg.reaction/PGMT;vmhreaction/PGMT;metanetx.reaction/MNXR102528;metanetx.reaction/MNXR102548;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:600270,0
MAR04521,D-Glucose-6-phosphate phosphohydrolase,glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r],3.1.3.9,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,G6PC or G6PC3 or G6PC2,,,,,kegg.reaction/R00303;bigg.reaction/G6PPer;bigg.reaction/G6PP;bigg.reaction/R_G6PP;bigg.reaction/R_G6PPer;vmhreaction/G6PPer;metanetx.reaction/MNXR99912;metanetx.reaction/MNXR195425;rhea/16689;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12101013;PMID:12485600;PMID:1662952;PMID:6291517;PMID:6321405;PMID:6935637,0
MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m],2.3.1.12,ENSG00000110435 and ENSG00000150768,PDHX and DLAT,,,,,kegg.reaction/R02569;vmhreaction/r0555;metanetx.reaction/MNXR102430;metanetx.reaction/MNXR107584;rhea/17017;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12108679;PMID:14741190,0
MAR07745,D-glucose 1-epimerase,beta-D-glucose[c] <=> glucose[c],5.1.3.3,ENSG00000143891,GALM,,,,,kegg.reaction/R01602;vmhreaction/HMR_7745;metanetx.reaction/MNXR107082;rhea/10267;rhea/10264;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR07747,ADP:D-glucose 6-phosphotransferase,ADP[c] + glucose[c] => AMP[c] + glucose-6-phosphate[c] + H+[c],2.7.1.147,ENSG00000159322,ADPGK,,,,,kegg.reaction/R09086;vmhreaction/HMR_7747;metanetx.reaction/MNXR112530;rhea/11460;rhea/11461;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR08360,,ethanol[x] + H2O2[x] => acetaldehyde[x] + 2 H2O[x],1.11.1.6,ENSG00000121691,CAT,,,,,bigg.reaction/CAt7r;vmhreaction/CAT2p;metanetx.reaction/MNXR96461;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR08652,,carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r],3.1.3.9,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,G6PC or G6PC3 or G6PC2,,,,,bigg.reaction/CBPS;vmhreaction/CBPPer;metanetx.reaction/MNXR96485;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR08757,,ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c],,ENSG00000130649,CYP2E1,,,,,bigg.reaction/ETOHtx;vmhreaction/ETOHMO;metanetx.reaction/MNXR97980;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR03989,maltose glucohydrolase,H2O[e] + maltose[e] => 2 glucose[e],3.2.1.20,ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,CAPN3 or GAA or GANC or MGAM,,,,,kegg.reaction/R00028;bigg.reaction/MALTe;vmhreaction/MALTe;metanetx.reaction/MNXR101350;rhea/68796;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:1885588;PMID:2141837;PMID:3128290;PMID:6362728;PMID:7358666,0
MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c],1.1.1.22,ENSG00000109814,UGDH,,,,,kegg.reaction/R00286;bigg.reaction/UDPGD;vmhreaction/UDPGD;metanetx.reaction/MNXR105063;rhea/23596;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:9737970;PMID:9850599,0
MAR04837,"alpha,alpha-trehalose glucohydrolase",H2O[e] + trehalose[e] => 2 glucose[e],3.2.1.28,ENSG00000118094 or ENSG00000142102,TREH or PGGHG,,,,,kegg.reaction/R00010;bigg.reaction/TREHe;vmhreaction/TREHe;metanetx.reaction/MNXR95163;rhea/32675;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:5125320;PMID:8222277;PMID:8773341;PMID:9427547,0
MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c],2.4.1.186,ENSG00000056998 or ENSG00000163754,GYG2 or GYG1,,,,,kegg.reaction/R03681;vmhreaction/HMR_5395;vmhreaction/GGNG;rhea/23360;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR05396,,glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c],2.4.1.11,ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754,GYG2 or GYS1 or GYS2 or GYG1,,,,,bigg.reaction/GLGNS1;vmhreaction/GLGNS1;metanetx.reaction/MNXR100244;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR09727,,UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c],2.4.1.11,ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281,GYS1 or GYS2 or PPP1R3C or PPP1R3B,,,,,vmhreaction/HMR_9727;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR05397,,glycogenin G11[c] => glycogenin G4G7[c],2.4.1.18,ENSG00000114480,GBE1,,,,,bigg.reaction/GLBRAN;vmhreaction/GLBRAN;metanetx.reaction/MNXR100154;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR05398,,glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c],2.4.1.1,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,PYGM or PYGL or PYGB,,,,,bigg.reaction/GLPASE1;vmhreaction/GLPASE1;metanetx.reaction/MNXR100265;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR05399,,glycogenin G4G4[c] => glycogenin G7G1[c],2.4.1.25,ENSG00000162688,AGL,,,,,vmhreaction/r1391;metanetx.reaction/MNXR105467;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR05400,,glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c],3.2.1.33,ENSG00000162688,AGL,,,,,vmhreaction/r1392;metanetx.reaction/MNXR105468;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR05401,,glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c],2.4.1.1,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,PYGM or PYGL or PYGB,,,,,vmhreaction/r1393;sbo/SBO:0000176,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR08568,,H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/RE0958C;metanetx.reaction/MNXR103496;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08569,,H2O[e] + maltodecaose[e] => glucose[e] + maltononaose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/RE0958E;metanetx.reaction/MNXR103497;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08570,,2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8570;metanetx.reaction/MNXR158862;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08571,,2 H2O[e] + maltononaose[e] => 2 glucose[e] + maltoheptaose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8571;metanetx.reaction/MNXR158863;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08572,,H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8572;vmhreaction/RE0944C;metanetx.reaction/MNXR103495;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08573,,H2O[e] + maltoheptaose[e] => glucose[e] + maltohexaose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8573;vmhreaction/RE0944E;metanetx.reaction/MNXR145626;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08574,,H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8574;vmhreaction/RE0935C;metanetx.reaction/MNXR103491;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08575,,H2O[e] + maltohexaose[e] => glucose[e] + maltopentaose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8575;vmhreaction/RE0935E;metanetx.reaction/MNXR101622;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08576,,H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8576;vmhreaction/RE0926C;metanetx.reaction/MNXR103488;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08577,,H2O[e] + maltopentaose[e] => glucose[e] + maltotetraose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8577;vmhreaction/RE0926E;metanetx.reaction/MNXR101621;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08578,,H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8578;vmhreaction/RE0915C;metanetx.reaction/MNXR103479;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08579,,H2O[e] + maltotetraose[e] => glucose[e] + maltotriose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/HMR_8579;vmhreaction/RE0915E;metanetx.reaction/MNXR101620;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08581,,H2O[e] + maltotriose[e] => glucose[e] + maltose[e],3.2.1.1,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,LYZL1 or AMY1B or AMY1C or AMY1A or AMY2B or AMY2A,,,,,vmhreaction/MLTG1e;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08591,,H2O[c] + maltotriose[c] => glucose[c] + maltose[c],3.2.1.20,ENSG00000214013 or ENSG00000257335,GANC or MGAM,,,,,bigg.reaction/MLTG1;vmhreaction/MLTG1;metanetx.reaction/MNXR101619;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR08592,,H2O[l] + maltotriose[l] => glucose[l] + maltose[l],3.2.1.20,ENSG00000171298,GAA,,,,,bigg.reaction/MLTG1ly;vmhreaction/MLTG1ly;metanetx.reaction/MNXR101619;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
