id	name	formula	charge	chebiId	keggID	pubChemID	inchiString	hepatoNetID	ehmnId	hmdbId
10fthf[m]	10-Formyltetrahydrofolate	C20H21N7O7	-2	15637	C00234	122347	InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1	HC00212	C00234	HMDB00972
11docrtsl[c]	11-deoxycortisol	C21H30O4	0	28324	C05488		InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1		C05488	HMDB00015
11docrtsl[m]	11-deoxycortisol	C21H30O4	0	28324	C05488		InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1		C05488	HMDB00015
11docrtsl[r]	11-deoxycortisol	C21H30O4	0	28324	C05488		InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1		C05488	HMDB00015
11docrtstrn[c]	11-deoxycorticosterone	C21H30O3	0	16973	C03205	6166	InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1		C03205	HMDB00016
11docrtstrn[m]	11-deoxycorticosterone	C21H30O3	0	16973	C03205	6166	InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1		C03205	HMDB00016
11docrtstrn[r]	11-deoxycorticosterone	C21H30O3	0	16973	C03205	6166	InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1		C03205	HMDB00016
13dampp[c]	trimethylenediaminium	C3H12N2	2	15725	C00986	428	InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2		C00986	HMDB00002
h2o[c]	Water	H2O	0	15377	C00001	962	InChI=1S/H2O/h1H2			HMDB02111
o2[c]	O2	O2	0	15379	C00007	977	InChI=1S/O2/c1-2	HC00017	C00007	HMDB01377
bamppald[c]	beta-Aminopropion aldehyde	C3H8NO	1	18090	C05665	75	InChI=1/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2		C05665	HMDB01106
h2o2[c]	Hydrogen peroxide	H2O2	0	16240	C00027	784	InChI=1S/H2O2/c1-2/h1-2H	HC00036	C00027	HMDB03125
nh4[c]	Ammonium	H4N	1	28938	C00014	223	InChI=1S/H3N/h1H3/p+1	HC00765	C01342	HMDB00051
2425dhvitd2[m]	24R,25-Dihyoxyvitamin D2	C28H44O3	0							
h[m]	proton	H	1	15378	C00282	1038	InChI=1S/p+1/i/hH	HC00083	C00080	HMDB01362
nadph[m]	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	57783	C00005	22833512	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00015	C00005	HMDB00221
o2[m]	O2	O2	0	15379	C00007	977	InChI=1S/O2/c1-2	HC00017	C00007	HMDB01377
1a2425thvitd2[m]	1-alpha,24R,25-Trihydroxyvitamin D2	C28H44O4	0				InChI=1/C28H44O4/c1-18(13-15-28(6,32)26(3,4)31)23-11-12-24-20(8-7-14-27(23,24)5)9-10-21-16-22(29)17-25(30)19(21)2/h9-10,13,15,18,22-25,29-32H,2,7-8,11-12,14,16-17H2,1,3-6H3/b15-13+,20-9+,21-10-/t18-,22-,23-,24+,25+,27-,28-/m1/s1			HMDB06227
h2o[m]	Water	H2O	0	15377	C00001	962	InChI=1S/H2O/h1H2	HC00011	C00001	HMDB02111
nadp[m]	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	18009	C00006	5886	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00016	C00006	HMDB00217
2425dhvitd3[m]	(24R)-24,25-dihydroxycalciol	C27H44O3	0	28818			InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1		CE1337	
1a2425thvitd3[m]	calcitetrol	C27H44O4	0	47799	C18231		InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1			HMDB06228
1a25dhvitd2[m]	1-alpha,25-Dihydroxyvitamin D2	C28H44O3	0				InChI=1/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1			HMDB06225
1a25dhvitd3[m]	calcitriol	C27H44O3	0	17823	C01673	5280453	InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1		C01673	HMDB01903
1mncam[c]	1-methylnicotinamide	C7H9N2O	1	16797	C02918	457	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1		C02918	HMDB00699
atp[c]	ATP	C10H12N5O13P3	-4	15422	C00002	5957	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1			HMDB00538
1mncam[e]	1-methylnicotinamide	C7H9N2O	1	16797	C02918	457	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1		C02918	HMDB00699
adp[c]	ADP	C10H12N5O10P2	-3	16761	C00008	6022	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1			HMDB01341
h[c]	proton	H	1	15378	C00282	1038	InChI=1S/p+1/i/hH			HMDB01362
pi[c]	hydrogenphosphate	HO4P	-2	43474	C00009	1004	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2			HMDB00973
1pipdn2c[x]	1-piperideine-2-carboxylate	C6H9NO2	0	30912	C04092		InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)		C04092	HMDB01084
h[x]	proton	H	1	15378	C00282	1038	InChI=1S/p+1/i/hH	HC00083	C00080	HMDB01362
nadh[x]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	16908	C00004	439153	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00014	C00004	HMDB01487
Lpipecol[x]	L-pipecolic acid	C6H11NO2	0	30913	C00408	439227	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1		C00408	HMDB00716
nad[x]	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	15846	C00003	5893	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00013	C00003	HMDB00902
2425dhvitd2[c]	24R,25-Dihyoxyvitamin D2	C28H44O3	0							
2425dhvitd2[e]	24R,25-Dihyoxyvitamin D2	C28H44O3	0							
2425dhvitd3[c]	(24R)-24,25-dihydroxycalciol	C27H44O3	0	28818			InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1		CE1337	
2425dhvitd3[e]	(24R)-24,25-dihydroxycalciol	C27H44O3	0	28818			InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1		CE1337	
25hvitd2[m]	25-Hydroxyvitamin D2	C28H44O2	0				InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1			HMDB01438
25hvitd3[m]	calcidiol	C27H44O2	0	17933	C01561		InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1		C01561	HMDB03550
24nph[e]	2-hydroxy-4-nitrophenolate	C6H5NO4	0	16318	C02235		InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H			HMDB02916
24nph[c]	2-hydroxy-4-nitrophenolate	C6H5NO4	0	16318	C02235		InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H			HMDB02916
25hvitd2[c]	25-Hydroxyvitamin D2	C28H44O2	0				InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1			HMDB01438
25hvitd2[e]	25-Hydroxyvitamin D2	C28H44O2	0				InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1			HMDB01438
25hvitd3[c]	calcidiol	C27H44O2	0	17933	C01561		InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1			HMDB03550
25hvitd3[e]	calcidiol	C27H44O2	0	17933	C01561		InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1			HMDB03550
2amac[c]	2-aminoacrylic acid	C3H5NO2	0	17123	C02218		InChI=1S/C3H5NO2/c1-2(4)3(5)6/h1,4H2,(H,5,6)	HC00906	C02218	HMDB03609
pyr[c]	pyruvate	C3H3O3	-1	32816	C00022	1060	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1			HMDB00243
nadph[c]	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	57783	C00005	22833512	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00015	C00005	HMDB00221
paps[c]	(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate	C10H11N5O13P2S	-4	17980	C00053	10214	InChI=1S/C10H15N5O13P2S/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(27-29(17,18)19)4(26-10)1-25-30(20,21)28-31(22,23)24/h2-4,6-7,10,16H,1H2,(H,20,21)(H2,11,12,13)(H2,17,18,19)(H,22,23,24)/p-4/t4-,6-,7-,10-/m1/s1	HC00058	C00053	HMDB01134
Lcyst[c]	L-cysteate(1-)	C3H6NO5S	-1	17285	C57006	72886	InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1		C00506	HMDB02757
nadp[c]	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	18009	C00006	5886	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00016	C00006	HMDB00217
pap[c]	adenosine 3',5'-bismonophosphate(4-)	C10H11N5O10P2	-4	17985	C00054	159296	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/p-4/t4-,6-,7-,10-/m1/s1	HC00059	C00054	HMDB00061
L2aadp[c]	L-2-aminoadipate(1-)	C6H10NO4	-1	37023	C00956	92136	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1	HC00599	C00956	HMDB00510
akg[m]	2-Oxoglutarate	C5H4O5	-2	30915	C00026	51	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2	HC00035	C00026	HMDB00208
L2aadp[m]	L-2-aminoadipate(1-)	C6H10NO4	-1	37023	C00956	92136	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1	HC00599	C00956	HMDB00510
akg[c]	2-Oxoglutarate	C5H4O5	-2	30915	C00026	51	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2	HC00035	C00026	HMDB00208
2dr1p[c]	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	28542	C00672	5460448	InChI=1S/C5H11O7P/c6-2-4-3(7)1-5(11-4)12-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)/p-2/t3-,4+,5?/m0/s1	HC00489	C00672	HMDB01351
drib[c]	2-deoxy-D-ribose	C5H10O4	0	28816	C01801	22833604	InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1		C01801	HMDB03224
2hb[c]	2-Hydroxybutyrate	C4H7O3	-1	1148	C05984		InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	HC01669	C05984	HMDB00008
nad[c]	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	15846	C00003	5893	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00013	C00003	HMDB00902
2obut[c]	2-Oxobutanoate	C4H5O3	-1	30831	C00109	58	InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1	HC00108	C00109	HMDB00005
nadh[c]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	16908	C00004	439153	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00014	C00004	HMDB01487
2hb[e]	2-Hydroxybutyrate	C4H7O3	-1	1148	C05984		InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	HC01669	C05984	HMDB00008
h[e]	proton	H	1	15378	C00282	1038	InChI=1S/p+1/i/hH			HMDB01362
hco3[e]	Bicarbonate	CHO3	-1	17544	C00288	769	InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1	HC00253	C00288	HMDB00595
na1[e]	Sodium	Na	1	29101	C01330	923	InChI=1S/Na/q+1			HMDB00588
hco3[c]	Bicarbonate	CHO3	-1	17544	C00288	769	InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1	HC00253	C00288	HMDB00595
na1[c]	Sodium	Na	1	29101	C01330	923	InChI=1S/Na/q+1			HMDB00588
2mcit[c]	2-methylcitrate(3-)	C7H7O7	-3	30835			InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-3			HMDB00379
2mcit[e]	2-methylcitrate(3-)	C7H7O7	-3	30835			InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-3			HMDB00379
2oxoadp[m]	2-oxoadipate(2-)	C6H6O5	-2	15753	C00322		InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)/p-2	HC00273	C00322	HMDB00225
coa[m]	Coenzyme A	C21H32N7O16P3S	-4	15346	C00010	6816	InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/p-4/t11-,14-,15-,16+,20-/m1/s1	HC00020	C00010	HMDB01423
nad[m]	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	15846	C00003	5893	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00013	C00003	HMDB00902
co2[m]	carbon dioxide	CO2	0	16526	C00011	280	InChI=1S/CO2/c2-1-3	HC00021	C00011	HMDB01967
glutcoa[m]	glutaryl-CoA(5-)	C26H37N7O19P3S	-5	15524	C00527	439252	InChI=1S/C26H42N7O19P3S/c1-26(2,21(39)24(40)29-7-6-15(34)28-8-9-56-17(37)5-3-4-16(35)36)11-49-55(46,47)52-54(44,45)48-10-14-20(51-53(41,42)43)19(38)25(50-14)33-13-32-18-22(27)30-12-31-23(18)33/h12-14,19-21,25,38-39H,3-11H2,1-2H3,(H,28,34)(H,29,40)(H,35,36)(H,44,45)(H,46,47)(H2,27,30,31)(H2,41,42,43)/p-5/t14-,19-,20-,21+,25-/m1/s1	HC00411	C00527	HMDB01339
nadh[m]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	16908	C00004	439153	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	HC00014	C00004	HMDB01487
