rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
11DOCRTSTRNtm,11-deoxycorticosterone intracellular transport,"Transport, mitochondrial",11,N/A,,"1.00 * 11-deoxycorticosterone [c] --> 1.00 * 11-deoxycorticosterone [m]
No genes",1
11DOCRTSTRNtr,11-deoxycorticosterone intracellular transport,"Transport, endoplasmic reticular",12,N/A,,"1.00 * 11-deoxycorticosterone [c] --> 1.00 * 11-deoxycorticosterone [r]
No genes",1
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",beta-Alanine metabolism,13,1.4.3.6,AOC1; AOC2; AOC3,"1.00 * trimethylenediaminium [c] + 1.00 * Water [c] + 1.00 * O2 [c] --> 1.00 * beta-Aminopropion aldehyde [c] + 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c]
AOC1; AOC2; AOC3",1
1a_24_25VITD2Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D2)",Vitamin D metabolism,14,N/A,,"1.00 * 24R,25-Dihyoxyvitamin D2 [m] + 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] --> 1.00 * 1-alpha,24R,25-Trihydroxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
No genes",2
1a_24_25VITD3Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D3)",Vitamin D metabolism,15,N/A,,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * (24R)-24,25-dihydroxycalciol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitetrol [m]
No genes",2
1a_25VITD2Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D2)",Vitamin D metabolism,16,N/A,,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 1-alpha,25-Dihydroxyvitamin D2 [m] --> 1.00 * 1-alpha,24R,25-Trihydroxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
No genes",4
1a_25VITD3Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D3)",Vitamin D metabolism,17,N/A,,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcitriol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitetrol [m]
No genes",4
1MNCAMti,N1-Methylnicotinamide transport,"Transport, extracellular",18,N/A,,"1.00 * Water [c] + 1.00 * 1-methylnicotinamide [c] + 1.00 * ATP [c] --> 1.00 * 1-methylnicotinamide [e] + 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c]
No genes",2
1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal",Lysine metabolism,19,N/A,,"1.00 * 1-piperideine-2-carboxylate [x] + 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] --> 1.00 * L-pipecolic acid [x] + 1.00 * Nicotinamide adenine dinucleotide [x]
No genes",2
24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm","Transport, extracellular",20,N/A,,"1.00 * 24R,25-Dihyoxyvitamin D2 [c] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [e]
No genes",2
24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria","Transport, mitochondrial",21,N/A,,"1.00 * 24R,25-Dihyoxyvitamin D2 [m] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [c]
No genes",2
24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm","Transport, extracellular",22,N/A,,"1.00 * (24R)-24,25-dihydroxycalciol [c] --> 1.00 * (24R)-24,25-dihydroxycalciol [e]
No genes",2
24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria","Transport, mitochondrial",23,N/A,,"1.00 * (24R)-24,25-dihydroxycalciol [m] --> 1.00 * (24R)-24,25-dihydroxycalciol [c]
No genes",2
24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),Vitamin D metabolism,24,N/A,CYP24A1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
CYP24A1",4
24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),Vitamin D metabolism,25,N/A,CYP24A1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * (24R)-24,25-dihydroxycalciol [m]
CYP24A1",4
24NPHte,xenobiotic transport,"Transport, extracellular",26,N/A,,"1.00 * 2-hydroxy-4-nitrophenolate [e] --> 1.00 * 2-hydroxy-4-nitrophenolate [c]
No genes",2
25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm,"Transport, extracellular",27,N/A,,"1.00 * 25-Hydroxyvitamin D2 [c] --> 1.00 * 25-Hydroxyvitamin D2 [e]
No genes",2
25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm,"Transport, extracellular",28,N/A,,"1.00 * 25-Hydroxyvitamin D2 [e] --> 1.00 * 25-Hydroxyvitamin D2 [c]
No genes",2
25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria,"Transport, mitochondrial",29,N/A,,"1.00 * 25-Hydroxyvitamin D2 [c] --> 1.00 * 25-Hydroxyvitamin D2 [m]
No genes",2
25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria,"Transport, mitochondrial",30,N/A,,"1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * 25-Hydroxyvitamin D2 [c]
No genes",2
25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm,"Transport, extracellular",31,N/A,,"1.00 * calcidiol [c] --> 1.00 * calcidiol [e]
No genes",2
25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm,"Transport, extracellular",32,N/A,CUBN; GC; LRP2,"1.00 * calcidiol [e] --> 1.00 * calcidiol [c]
CUBN; GC; LRP2",2
25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria,"Transport, mitochondrial",33,N/A,,"1.00 * calcidiol [c] --> 1.00 * calcidiol [m]
No genes",2
25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria,"Transport, mitochondrial",34,N/A,,"1.00 * calcidiol [m] --> 1.00 * calcidiol [c]
No genes",2
25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),Vitamin D metabolism,35,N/A,CYP27B1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 1-alpha,25-Dihydroxyvitamin D2 [m]
CYP27B1",4
25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),Vitamin D metabolism,36,N/A,CYP27B1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitriol [m]
CYP27B1",4
2AMACHYD,2-Aminoacrylate hydrolysis,"Glycine, serine, alanine and threonine metabolism",37,N/A,SDS,"1.00 * Water [c] + 1.00 * 2-aminoacrylic acid [c] --> 1.00 * Ammonium [c] + 1.00 * pyruvate [c]
SDS",4
2AMACSULT,2-Aminoacrylate sulfotransferase,Methionine and cysteine metabolism,38,N/A,SULT1A1,"1.00 * 2-aminoacrylic acid [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] --> 1.00 * L-cysteate(1-) [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c]
SULT1A1",2
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),Lysine metabolism,39,N/A,SLC25A21,"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [m] --> 1.00 * L-2-aminoadipate(1-) [m] + 1.00 * 2-Oxoglutarate [c]
SLC25A21",4
2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,Pyrimidine catabolism,40,3.1.3.10,,"1.00 * Water [c] + 1.00 * 2-Deoxy-D-ribose 1-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-deoxy-D-ribose [c]
No genes",2
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Propanoate metabolism,41,1.1.1.27,LDHA; LDHAL6B; LDHB; LDHC; UEVLD,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",4
2HBt2,2-hydroxybutyrate cotransport with proton,"Transport, extracellular",42,N/A,SLC16A1; SLC16A3; SLC16A7,"1.00 * 2-Hydroxybutyrate [e] + 1.00 * proton [e] --> 1.00 * proton [c] + 1.00 * 2-Hydroxybutyrate [c]
SLC16A1; SLC16A3; SLC16A7",4
2HCO3_NAt,bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, extracellular",43,N/A,SLC4A4; SLC4A5,"2.00 * Bicarbonate [e] + 1.00 * Sodium [e] --> 2.00 * Bicarbonate [c] + 1.00 * Sodium [c]
SLC4A4; SLC4A5",4
2MCITt,2-methylcitrate transport via diffusion,"Transport, extracellular",44,N/A,,"1.00 * 2-methylcitrate(3-) [c] --> 1.00 * 2-methylcitrate(3-) [e]
No genes",2
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),Lysine metabolism,45,2.3.1.61,DLD; DLST; OGDH; PDHX,"1.00 * 2-oxoadipate(2-) [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] --> 1.00 * carbon dioxide [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m]
DLD; DLST; OGDH; PDHX",2
2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),Tryptophan metabolism,46,N/A,SLC25A21,"1.00 * 2-Oxoglutarate [m] + 1.00 * 2-oxoadipate(2-) [c] --> 1.00 * 2-Oxoglutarate [c] + 1.00 * 2-oxoadipate(2-) [m]
SLC25A21",4
34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",Tyrosine metabolism,47,1.1.1.1,ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",4
34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)","Transport, extracellular",48,N/A,,"1.00 * 3,4-Dihydroxyphenylethyleneglycol [c] --> 1.00 * 3,4-Dihydroxyphenylethyleneglycol [e]
No genes",2
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",Tyrosine metabolism,49,2.1.1.6,COMT,"1.00 * (3,4-dihydroxyphenyl)acetate [c] + 1.00 * S-Adenosyl-L-methionine [c] --> 1.00 * proton [c] + 1.00 * S-Adenosyl-L-homocysteine [c] + 1.00 * Homovanillate [c]
COMT",1
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport","Transport, extracellular",50,N/A,SLC16A10,"1.00 * L-dopa [e] --> 1.00 * L-dopa [c]
SLC16A10",4
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,51,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",4
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,52,1.2.1.5,ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",4
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,53,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",4
34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,54,1.2.1.5,ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",4
34HPLFM,3-(4-hydroxyphenyl-)lactate formation,Ubiquinone synthesis,55,N/A,,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [m] --> 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 3-(4-hydroxyphenyl)lactate [m]
No genes",2
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,Tyrosine metabolism,56,1.13.11.27,HPD,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",4
35CGMPtn,35cGMP nuclear transport,"Transport, nuclear",57,N/A,,"1.00 * 3',5'-cyclic GMP(1-) [c] --> 1.00 * 3',5'-cyclic GMP(1-) [n]
No genes",2
3AIBt,3-amino-isobutyrate transport,"Transport, extracellular",58,N/A,,"1.00 * (S)-3-aminoisobutyric acid [c] --> 1.00 * (S)-3-aminoisobutyric acid [e]
No genes",2
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial","Valine, leucine, and isoleucine metabolism",59,2.6.19.4,ABAT,"1.00 * 2-methyl-3-oxopropanoate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * 2-Oxoglutarate [m] + 1.00 * (S)-3-aminoisobutyric acid [m]
ABAT",2
3AIBtm,"3-amino-isobutyrate transport, mitochondrial","Transport, mitochondrial",60,N/A,ABAT,"1.00 * (S)-3-aminoisobutyric acid [m] --> 1.00 * (S)-3-aminoisobutyric acid [c]
ABAT",2
3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH),Ubiquinone synthesis,61,N/A,,"1.00 * proton [m] + 1.00 * O2 [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 3-Decaprenyl-4-hydroxybenzoate [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 3-Decaprenyl-4,5-dihdydroxybenzoate [m]
No genes",2
3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH),Ubiquinone synthesis,62,N/A,,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 3-Decaprenyl-4-hydroxybenzoate [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 3-Decaprenyl-4,5-dihdydroxybenzoate [m]
No genes",2
3DSPHR,3-Dehydrosphinganine reductase,Sphingolipid metabolism,63,1.1.1.102,KDSR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",4
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",Tryptophan metabolism,64,1.13.11.6,HAAO,"1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",4
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",Butanoate metabolism,65,4.2.1.55,ECHDC2,"1.00 * Water [m] + 1.00 * crotonoyl-CoA(4-) [m] --> 1.00 * (R)-3-hydroxybutanoyl-CoA(4-) [m]
ECHDC2",2
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, leucine, and isoleucine metabolism",66,3.1.2.4,,"1.00 * Water [m] + 1.00 * (S)-3-Hydroxyisobutyryl-CoA [m] --> 1.00 * proton [m] + 1.00 * Coenzyme A [m] + 1.00 * 3-hydroxy-2-methylpropanoate [m]
No genes",2
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,Tryptophan metabolism,67,2.6.1.7,AADAT; KYAT1,"1.00 * 2-Oxoglutarate [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate [c] + 1.00 * L-glutamate(1-) [c]
AADAT; KYAT1",2
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,68,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",4
3HPCOAHYD,3-hydroxyisobutyryl-Coenzyme A hydrolase,beta-Alanine metabolism,69,3.1.2.4,HIBCH,"1.00 * Water [c] + 1.00 * 3-hydroxypropanoyl-CoA(4-) [c] --> 1.00 * proton [c] + 1.00 * 3-hydroxypropionate [c] + 1.00 * Coenzyme A [c]
HIBCH",4
3HPPD,3-hydroxypropionate dehydrogenase,Propanoate metabolism,70,1.1.1.59,,"1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-hydroxypropionate [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-oxopropanoate [c]
No genes",2
3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,Tryptophan metabolism,71,N/A,DDC,"1.00 * proton [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * carbon dioxide [c] + 1.00 * 3-Hydroxykynurenamine [c]
DDC",1
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism,72,1.4.3.4,MAOA; MAOB,"1.00 * O2 [c] + 1.00 * 3-Hydroxykynurenamine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * quinoline-4,8-diol [c]
MAOA; MAOB",1
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,Tyrosine metabolism,73,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * Homovanillate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",1
3MLDAt,3MLDA extracellular transport via diffusion,"Transport, extracellular",74,N/A,,"1.00 * 3-Methylimidazoleacetic acid [c] --> 1.00 * 3-Methylimidazoleacetic acid [e]
No genes",2
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,"Transport, mitochondrial",75,N/A,,"1.00 * proton [c] + 1.00 * 3-methyl-2-oxobutanoate [c] --> 1.00 * proton [m] + 1.00 * 3-methyl-2-oxobutanoate [m]
No genes",4
3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,"Transport, mitochondrial",76,N/A,,"1.00 * proton [c] + 1.00 * 3-methyl-2-oxopentanoate [c] --> 1.00 * proton [m] + 1.00 * 3-methyl-2-oxopentanoate [m]
No genes",4
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,Tyrosine metabolism,77,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2
3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,78,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),Tyrosine metabolism,79,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * 3-Methoxytyramine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * (4-hydroxy-3-methoxyphenyl)acetaldehyde [c]
MAOA; MAOB",4
3NTD7l,"3'-nucleotidase (AMP), lysosome",Purine catabolism,80,3.1.3.2,ACP2; ACP5; ACP6; ACPP,"1.00 * 3'-AMP(2-) [l] + 1.00 * Water [l] --> 1.00 * Adenosine [l] + 1.00 * hydrogenphosphate [l]
ACP2; ACP5; ACP6; ACPP",4
3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle,"Transport, mitochondrial",81,N/A,SLC25A12; SLC25A13,"1.00 * 3-Sulfino-L-alanine [m] + 1.00 * L-aspartate(1-) [c] --> 1.00 * 3-Sulfino-L-alanine [c] + 1.00 * L-aspartate(1-) [m]
SLC25A12; SLC25A13",2
3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,Taurine and hypotaurine metabolism,82,4.1.1.15,CSAD; GAD1; GAD2,"2.00 * proton [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * Hypotaurine [c]
CSAD; GAD1; GAD2",4
3SALAOX,cysteinesulfinic acid oxidase,Taurine and hypotaurine metabolism,83,N/A,,"1.00 * O2 [c] + 2.00 * proton [c] + 2.00 * 3-Sulfino-L-alanine [c] --> 2.00 * L-cysteate(1-) [c]
No genes",2
3SALATAi,3-sulfino-alanine transaminase (irreversible),Methionine and cysteine metabolism,84,2.6.1.1,GOT1,"1.00 * proton [c] + 1.00 * 2-Oxoglutarate [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 3-Sulfinopyruvate [c]
GOT1",2
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",Methionine and cysteine metabolism,85,2.6.1.1,GOT2,"1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * 3-Sulfino-L-alanine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * 3-Sulfinopyruvate [m]
GOT2",2
