ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR00031,,"0.19 1,2-diacylglycerol-LD-TAG pool[c] + 0.0014 1-acyl-PE pool[c] + 0.0024 1-radyl-2-acyl-sn-glycero-3-phosphocholine[c] + 0.0006 2-lysolecithin pool[c] + 0.005 cholesterol[c] + 0.34 cholesterol-ester pool[c] + 0.0008 O-1-alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine[c] + 0.0092 PC-LD pool[c] + 0.0034 PE-LD pool[c] + 0.0016 PI pool[c] + 0.0002 PS-LD pool[c] + 0.0004 SM pool[c] + 0.44 TAG-LD pool[c] + 0.005 fatty acid pool[c] => lipid droplet[c]",,Bscl2 or Fitm1 or Fitm2 or Plin1 or Plin2 or Plin3 or Plin4,,,,,,Pool reactions,,,,0
MAR00043,3-Hydroxyisobutyryl-Coenzyme A Hydrolase,3-hydroxypropionyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + hydracrylate[c],3.1.2.4,Hibch,,,,,,Beta-alanine metabolism,,,PMID:8824301,0
MAR00050,5-Formyltetrahydrofolate Transport via Anion Antiport,5-formyl-THF[e] + H2O[c] <=> 5-formyl-THF[c] + H2O[e],,Slc19a1,,,,,,Transport reactions,,,PMID:11375437;PMID:14770311,0
MAR00051,"5-Hydroxyindoleacetaldehyde:NAD+ Oxidoreductase, Mitochondrial",5-hydroxyindoleacetaldehyde[m] + H2O[m] + NAD+[m] => 5-hydroxyindoleacetate[m] + 2 H+[m] + NADH[m],1.5.1.12,Aldh1b1 or Aldh2,,,,,,Tryptophan metabolism,,,PMID:11306106,0
MAR00052,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),5-hydroxy-L-tryptophan[c] + ATP[c] + H2O[c] => 5-hydroxy-L-tryptophan[e] + ADP[c] + H+[c] + Pi[c],1.13.11.52,Slc18a1 or Slc18a2,,,,,,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00053,5-Methyltetrahydrofolate Transport via Anion Antiport,5-methyl-THF[e] + H2O[c] <=> 5-methyl-THF[c] + H2O[e],,Slc19a1,,,,,,Transport reactions,,,PMID:11375437;PMID:14770311,0
MAR00055,Alpha-Mannosidase,"(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine[c] + 2 H2O[c] => beta-1,4-mannose-N-acetylglucosamine[c] + 2 mannose[c]",3.2.1.24,Man2c1,,,,,,N-glycan metabolism,,,,0
MAR00058,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),acetylcholine[c] + ATP[c] + H2O[c] => acetylcholine[e] + ADP[c] + H+[c] + Pi[c],,Slc18a3,,,,,,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00060,O-Acetylcarnintine Transport into Mitochondria via Diffusion,O-acetylcarnitine[c] <=> O-acetylcarnitine[m],3.1.3.2,Slc25a20,,,,,,Transport reactions,,,PMID:14598172;PMID:977593,0
MAR00062,"ADPribose Diphosphatase, Mitochondrial",ADP-ribose[m] + H2O[m] => AMP[m] + 2 H+[m] + ribose-5-phosphate[m],3.6.1.13,Nudt9,,,,,,Nucleotide metabolism,,,PMID:12427752;PMID:12948489;PMID:15347676,0
MAR00064,Transport into the Mitochondria (Carnitine),ocosatetraenoylcarnitine[c] <=> ocosatetraenoylcarnitine[m],,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00065,Adrenaline Secretion via Secretory Vesicle (ATP Driven),adrenaline[c] + ATP[c] + H2O[c] => ADP[c] + adrenaline[e] + H+[c] + Pi[c],,Slc18a1 or Slc18a2,,,,,,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00067,"Aldehyde Dehydrogenase (Pristanal, NAD)",2(S)-pristanal[c] + H2O[c] + NAD+[c] => 2 H+[c] + NADH[c] + pristanic acid[c],,Aldh3a2,,,,,,Fatty acid oxidation,,,PMID:11591435;PMID:8528251,0
MAR00068,Alkaline Phosphatase,DHAP[c] + H2O[c] => glycerone[c] + Pi[c],3.1.3.1,Akp3 or Alpi or Alpl,,,,,,Glycerophospholipid metabolism,,,PMID:3042787,0
MAR00072,"Alpha-Amylase, Extracellular (Glygn2 -> Glygn4)","glycogenin G4G7[e] + 8 H2O[e] => 8 glucose[e] + Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})[e]",3.2.1.1,(Slc3a1 and Slc7a9) or Amy1 or Slc3a2,,,,,,Starch and sucrose metabolism,,,,0
MAR00076,Transport into the Mitochondria (Carnitine),eicosanoylcarnitine[c] <=> eicosanoylcarnitine[m],,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00079,Arginine Mitochondrial Transport via Ornithine Carrier,arginine[c] + H+[m] <=> arginine[m] + H+[c],4.3.2.1,Slc25a15 or Slc25a2,,,,,,Transport reactions,,,PMID:14598172;PMID:8132483,0
MAR00086,"Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase, Mitochondrial",ATP[m] + biotin[m] + H+[m] => biotinyl-5-AMP[m] + PPi[m],6.3.4.15,Hlcs,,,,,,Biotin metabolism,,,PMID:12459313;PMID:7842009,0
MAR00087,B-Alanine Secretion via Secretory Vesicle (ATP Driven),ATP[c] + beta-alanine[c] + H2O[c] => ADP[c] + beta-alanine[e] + H+[c] + Pi[c],2.3.1.65,Slc32a1,,,,,,Transport reactions,,,PMID:12750892;PMID:15383652,0
MAR00088,"Beta-Aminopropion Aldehyde:NAD+ Oxidoreductase, Mitochondrial",3-amino-propanal[m] + H2O[m] + NAD+[m] => beta-alanine[m] + 2 H+[m] + NADH[m],1.5.1.12,Aldh1b1 or Aldh2 or Aldh4a1,,,,,,Beta-alanine metabolism,,,,0
MAR00091,"Biotinidase (Biotin), Mitochondrial",biocytin[m] + H2O[m] => biotin[m] + lysine[m],3.5.1.12,Btd,,,,,,Biotin metabolism,,,PMID:12459313;PMID:15059618,0
MAR00092,"Holocarboxylase Synthestase (Biotin Protein Ligase), Mitochondrial",apoC-lys[m] + biotinyl-5-AMP[m] => AMP[m] + apoC-lys_btn[m] + H+[m],3.5.1.12,Hlcs,,,,,,Biotin metabolism,,,,0
MAR00093,"Biotin Reversible Transport via Proton Symport, Mitochondria",biotin[c] + H+[c] <=> biotin[m] + H+[m],3.5.1.12,Slc16a1,,,,,,Transport reactions,,,PMID:12949353;PMID:15121743;PMID:16011464,0
MAR00094,Biotin Transport via Sodium Symport,ATP[c] + biotin[e] + H2O[c] + Na+[e] => ADP[c] + biotin[c] + H+[c] + Na+[c] + Pi[c],,Slc5a6,,,,,,Transport reactions,,,PMID:10329687;PMID:10334869;PMID:12646417;PMID:15561972;PMID:9516450,0
MAR00095,Biotin Uptake (Antiport),biotin[e] + H+[c] => biotin[c] + H+[e],,Slc19a3,,,,,,Transport reactions,,,PMID:14770311;PMID:15623830,0
MAR00097,"Butyrate Mitochondrial Transport via Proton Symport, Reversible",butyrate[c] + H+[c] <=> butyrate[m] + H+[m],,Slc16a1,,,,,,Transport reactions,,,,0
MAR00102,C160 Transport into the Mitochondria,L-palmitoylcarnitine[c] <=> L-palmitoylcarnitine[m],,Slc25a20,,,,,,Fatty acid oxidation,,,PMID:14598172,0
MAR00103,Carnitine O-Palmitoyltransferase,(2E)-hexadecenoyl-CoA[c] + L-carnitine[c] <=> CoA[c] + hexadecenoylcarnitine(9)[c],2.3.1.21,Cpt1a or Cpt1b or Cpt1c,,,,,,Fatty acid oxidation,,,,0
MAR00104,C161 Transport into the Mitochondria,CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m],2.3.1.21,Cpt2,,,,,,Fatty acid oxidation,,,,0
MAR00105,C161 Transport into the Mitochondria,hexadecenoylcarnitine(9)[c] <=> hexadecenoylcarnitine(9)[m],2.3.1.21,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00106,C161 Transport into the Mitochondria,palmitoleoyl-carnitine[c] <=> palmitoleoyl-carnitine[m],2.3.1.21,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00107,C180 Transport into the Mitochondria,stearoylcarnitine[c] <=> stearoylcarnitine[m],,Slc25a20,,,,,,Fatty acid oxidation,,,PMID:14598172,0
MAR00108,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,L-carnitine[c] + oleoyl-CoA[c] <=> CoA[c] + octadecenoylcarnitine(5)[c],2.3.1.21,Cpt1a or Cpt1b or Cpt1c,,,,,,Fatty acid oxidation,,,PMID:1988962,0
MAR00109,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,CoA[m] + octadecenoylcarnitine(5)[m] <=> L-carnitine[m] + oleoyl-CoA[m],2.3.1.21,Cpt2,,,,,,Fatty acid oxidation,,,PMID:1528846;PMID:1988962,0
MAR00110,C181 Transport into the Mitochondria,octadecenoylcarnitine(5)[c] <=> octadecenoylcarnitine(5)[m],2.3.1.21,Slc25a20,,,,,,Fatty acid oxidation,,,PMID:14598172,0
MAR00111,Arachidonic Acid Transport into the Mitochondria,arachidonyl-carnitine[c] <=> arachidonyl-carnitine[m],,Slc25a20,,,,,,Fatty acid oxidation,,,PMID:14598172,0
MAR00119,Ca ATPase,ATP[c] + Ca2+[c] + H2O[c] => ADP[c] + Ca2+[e] + H+[e] + Pi[c],3.6.3.6,Atp2b1 or Atp2b2 or Atp2b3 or Atp2b4,,,,,,Transport reactions,,,PMID:7876199;PMID:8396145,0
MAR00121,Phosphatidate Cytidylyltransferase,CTP[c] + H+[c] + phosphatidate-LD-PI pool[c] => CDP-diacylglycerol-LD-PI pool[c] + PPi[c],2.7.7.41,Cds1 or Cds2,,,,,,Glycerophospholipid metabolism,,,PMID:1330695;PMID:9370329,0
MAR00122,Phosphatidate Cytidylyltransferase,CTP[m] + H+[m] + phosphatidate-LD-PI pool[m] => CDP-diacylglycerol-LD-PI pool[m] + PPi[m],2.7.7.41,Cds1 or Cds2,,,,,,Glycerophospholipid metabolism,,,,0
MAR00124,Citrulline Mitochondrial Transport via Proton Antiport,citrulline[m] <=> citrulline[c],3.2.1.14,Slc25a15 or Slc25a2,,,,,,Transport reactions,,,PMID:14598172,0
MAR00125,"Citrate Transport, Mitochondrial",citrate[c] + malate[m] <=> citrate[m] + malate[c],4.2.1.56,Slc25a1,,,,,,Transport reactions,,,PMID:14598172,0
MAR00126,Chloride Transport via Hydroxide Antiport (2:1),2 chloride[e] + H2O[c] => 2 chloride[c] + H2O[e],2.7.3.2,Slc26a6,,,,,,Transport reactions,,,PMID:12759755,0
MAR00128,Transport into the Mitochondria (Carnitine),"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c] <=> (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m]",,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00129,Cardiolipin Synthase (Homo Sapiens),CDP-diacylglycerol-CL pool[c] + PG-CL pool[c] => CL pool[c] + CMP[c] + H+[c],2.3.1.21,Crls1,,,,,,Glycerophospholipid metabolism,,,PMID:10799718,0
MAR00131,Methyltransferase Coq3,"SAM[m] + 2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone[m] => H+[m] + SAH[m] + ubiquinone[m]",,Coq3,,,,,,Ubiquinone synthesis,,,PMID:10777520;PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00133,Ubiquinone Biosynthesis Monooxgenase Coq6,"2-methoxy-6-(all-trans-decaprenyl)phenol[m] + O2[m] => H2O[m] + 2-Decaprenyl-6-Methoxy-1,4-Benzoquinone[m]",,Coq6,,,,,,Ubiquinone synthesis,,,PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00134,Ubiquinone Biosynthesis Coq7,"H+[m] + NADPH[m] + O2[m] + 2-Decaprenyl-6-Methoxy-3-Methyl-1,4-Benzoquinone[m] => H2O[m] + NADP+[m] + 2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone[m]",3.1.1.1,Coq7,,,,,,Ubiquinone synthesis,,,PMID:11051212;PMID:1965190;PMID:7380842,0
MAR00137,L-Carnitine Outward Transport (H+ Antiport),H+[e] + L-carnitine[c] => H+[c] + L-carnitine[e],,Slc22a4,,,,,,Transport reactions,,,PMID:12883891,0
MAR00143,Transport into the Mitochondria (Carnitine),"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[c] <=> (4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m]",3.5.4.12,Slc25a20,,,,,,Fatty acid oxidation,,,,0
MAR00144,Palmitoyl Coenzyme A Desaturase (N-C16:0CoA -> N-C16:1CoA),H+[c] + NADH[c] + O2[c] + palmitoyl-CoA[c] => 2 H2O[c] + NAD+[c] + palmitoleoyl-CoA[c],1.14.19.1,Scd1 or Scd2 or Scd3,,,,,,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00145,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),"H+[c] + linolenoyl-CoA[c] + NADH[c] + O2[c] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.19.1,Fads2,,,,,,Fatty acid biosynthesis,,,,0
MAR00146,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => 2 H2O[c] + NAD+[c] + oleoyl-CoA[c],1.14.19.1,Scd1 or Scd2 or Scd3,,,,,,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00147,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => 2 H2O[c] + NAD+[c] + 11-Octadecenoyl Coenzyme A[c],1.14.19.1,Scd1 or Scd2 or Scd3,,,,,,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00148,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => (2E)-octadecenoyl-CoA[c] + 2 H2O[c] + NAD+[c],1.14.19.1,Scd1 or Scd2 or Scd3,,,,,,Fatty acid biosynthesis,,,PMID:14967823,0
MAR00149,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"H+[c] + NADH[c] + O2[c] + oleoyl-CoA[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.99.25,Fads2,,,,,,Fatty acid biosynthesis,,,,0
MAR00150,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"H+[c] + NADH[c] + O2[c] + 11-Octadecenoyl Coenzyme A[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.19.1,Fads2,,,,,,Fatty acid biosynthesis,,,,0
MAR00151,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),"(2E)-octadecenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.99.25,Fads2,,,,,,Fatty acid biosynthesis,,,,0
MAR00152,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),H+[c] + linoleoyl-CoA[c] + NADH[c] + O2[c] => gamma-linolenoyl-CoA[c] + 2 H2O[c] + NAD+[c],1.14.99.25,Fads1 or Fads2,,,,,,Fatty acid biosynthesis,,,,0
MAR00153,Propanoate:CoA ligase (AMP-forming),ATP[c] + CoA[c] + propanoate[c] => AMP[c] + PPi[c] + propanoyl-CoA[c],6.2.1.17;6.2.1.1;3.1.2.2,Acss1 or Acss2 or Acss3,,,,,,Propanoate metabolism,,,PMID:11013297;PMID:11013297;PMID:10843999;PMID:11150295;PMID:1924964;PMID:2009071;PMID:7341659,0
MAR00154,Propanoyl-CoA hydrolase,H2O[c] + propanoyl-CoA[c] => CoA[c] + H+[c] + propanoate[c],3.1.2.2,Acot7,,,,,,Acyl-CoA hydrolysis,,,PMID:11013297;PMID:11013297,0
MAR00155,,butyrate[e] <=> butyrate[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00156,Butanoate:CoA ligase (AMP-forming),ATP[c] + butyrate[c] + CoA[c] => AMP[c] + butyryl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00158,,butyryl-CoA[m] + L-carnitine[c] <=> butyryl-CoA[c] + L-carnitine[m],,Agpat3 or Agpat4 or Egfr or Elovl2 or Elovl5 or Elovl6 or Esco1 or Esco2 or Hyal3 or Lpcat3 or Lpcat4 or Lpgat1 or Mboat2 or Mboat7 or Oxsm or Pnpla3 or Slc33a1,,,,,,Transport reactions,,,PMID:14598172;PMID:6361812;PMID:8132483,0
MAR00159,,butyryl-CoA[c] + L-carnitine[c] <=> CoA[c] + O-butanoylcarnitine[c],2.3.1.21,Cpt1a or Cpt1b or Cpt1c,,,,,,Carnitine shuttle (cytosolic),,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR00160,,L-carnitine[c] + O-butanoylcarnitine[m] <=> L-carnitine[m] + O-butanoylcarnitine[c],,Slc25a20,,,,,,Carnitine shuttle (mitochondrial),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
MAR00161,,CoA[m] + O-butanoylcarnitine[m] <=> butyryl-CoA[m] + L-carnitine[m],2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,PMID:12133002;PMID:4475632;PMID:5810070,0
MAR00162,,L-carnitine[m] + L-octanoylcarnitine[c] <=> L-carnitine[c] + L-octanoylcarnitine[m],,Slc25a20,,,,,,Carnitine shuttle (mitochondrial),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
MAR00163,Octanoyl-CoA:L-carnitine O-octanoyltransferase,CoA[m] + L-octanoylcarnitine[m] <=> L-carnitine[m] + octanoyl-CoA[m],2.3.1.137,Crot,,,,,,Carnitine shuttle (mitochondrial),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
MAR00164,,valeric acid[e] <=> valeric acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00165,,ATP[c] + CoA[c] + valeric acid[c] => AMP[c] + pentanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00167,,hexanoic acid[e] <=> hexanoic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00168,,ATP[c] + CoA[c] + hexanoic acid[c] => AMP[c] + hexanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00169,,hexanoyl-CoA[c] <=> hexanoyl-CoA[m],,Dbi,,,,,,Transport reactions,,,,0
MAR00170,,heptylic acid[e] <=> heptylic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00171,,ATP[c] + CoA[c] + heptylic acid[c] => AMP[c] + heptanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00173,,octanoic acid[e] <=> octanoic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00174,,ATP[c] + CoA[c] + octanoic acid[c] => AMP[c] + octanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00176,,nonanoic acid[e] <=> nonanoic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00177,,ATP[c] + CoA[c] + nonanoic acid[c] => AMP[c] + nonanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00179,,decanoic acid[e] <=> decanoic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,PMID:12856180;PMID:12883891;PMID:11023036;PMID:1554704;PMID:18021224;PMID:4553030;PMID:793184;PMID:8725559;PMID:8781017;PMID:12739169,0
MAR00180,,ATP[c] + CoA[c] + decanoic acid[c] => AMP[c] + decanoyl-CoA[c] + PPi[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00181,Fatty Acyl Coenzyme A Desaturase (N-C20:3CoA -> N-C20:4CoA),dihomo-gamma-linolenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => arachidonyl-CoA[c] + 2 H2O[c] + NAD+[c],1.14.19.1,Fads1,,,,,,Fatty acid biosynthesis,,,,0
MAR00183,,undecylic acid[e] <=> undecylic acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,,0
MAR00184,,ATP[c] + CoA[c] + undecylic acid[c] => AMP[c] + PPi[c] + undecanoyl-CoA[c],6.2.1.2,Acsm1 or Acsm2 or Acsm3 or Acsm4 or Acsm5,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00186,Fatty Acyl Coenzyme A Desaturase (N-C20:4CoA -> N-C20:5CoA),"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + 2 H2O[c] + NAD+[c]",1.14.19.1,Fads1,,,,,,Fatty acid biosynthesis,,,,0
MAR00187,,lauric acid[e] => lauric acid[c],,Cd36 or Fabp1 or Fabp12 or Fabp2 or Fabp3 or Fabp4 or Fabp5 or Fabp6 or Fabp7 or Fabp9 or Slc27a1 or Slc27a3 or Slc27a4 or Slc27a6,,,,,,Transport reactions,,,PMID:12856180;PMID:12883891;PMID:11023036;PMID:1554704;PMID:18021224;PMID:4553030;PMID:793184;PMID:8725559;PMID:8781017;PMID:12739169,0
MAR00188,,ATP[c] + CoA[c] + lauric acid[c] => AMP[c] + lauroyl-CoA[c] + PPi[c],6.2.1.3,Acsbg1 or Acsbg2 or Acsl1 or Acsl3 or Acsl4 or Acsl5 or Acsl6 or Slc27a2,,,,,,Fatty acid activation (cytosolic),,,,0
MAR00189,Lauroyl-CoA hydrolase,H2O[c] + lauroyl-CoA[c] => CoA[c] + H+[c] + lauric acid[c],3.1.2.2,Acot1 or Acot13 or Acot7 or Baat,,,,,,Acyl-CoA hydrolysis,,,,0
MAR00190,,ATP[c] + H2O[c] + lauric acid[c] => ADP[c] + H+[c] + lauric acid[e] + Pi[c],,Abca1 or Ap1g1 or Car1 or Car12 or Car13 or Car14 or Car2 or Car3 or Car4 or Car5a or Car5b or Car6 or Car7 or Car9 or Nae1,,,,,,Transport reactions,,,PMID:16858612,0
