id,name,compartment
MAM00167c,(R)-mevalonate,c
MAM00168c,(R)-S-lactoylglutathione,c
MAM00168m,(R)-S-lactoylglutathione,m
MAM00169c,(S)-2-aminobutanoate,c
MAM00170m,(S)-3-hydroxy-11-cis-octadecenoyl-CoA,m
MAM00171m,(S)-3-hydroxy-2-methylbutyryl-CoA,m
MAM00172m,(S)-3-hydroxy-7-hexadecenoyl-CoA,m
MAM00173m,(S)-3-hydroxybutyryl-CoA,m
MAM00174m,(S)-3-hydroxydodecanoyl-CoA,m
MAM00175m,(S)-3-hydroxyhexadecanoyl-CoA,m
MAM00176m,(S)-3-hydroxyoleyleoyl-CoA,m
MAM00177m,(S)-3-hydroxypalmitoleoyl-CoA,m
MAM00178m,(S)-3-hydroxytetradecanoyl-CoA,m
MAM00179c,(S)-3-sulfolactate,c
MAM00179m,(S)-3-sulfolactate,m
MAM00179e,(S)-3-sulfolactate,e
MAM00180c,(S)-dihydroorotate,c
MAM00181m,(S)-hydroxydecanoyl-CoA,m
MAM00182m,(S)-hydroxyhexanoyl-CoA,m
MAM00183m,(S)-hydroxyoctanoyl-CoA,m
MAM00184c,[ACP],c
MAM00185c,[apocarboxylase],c
MAM00186c,[apotransferin],c
MAM00186e,[apotransferin],e
MAM00187c,[beta-adrenergic-receptor],c
MAM00188c,[methionine synthase]-cob(II)alamin,c
MAM00189c,[methionine synthase]-methylcob(I)alamin,c
MAM00190c,[myosin light chain],c
MAM00191c,[myosin light chain]-phosphate,c
MAM00192c,[phosphorylase A],c
MAM00193c,[phosphorylase B],c
MAM00194c,[protein C terminal]-S-farnesyl-L-cysteine,c
MAM00195c,[protein C terminal]-S-farnesyl-L-cysteine-methyl ester,c
MAM00196c,[protein],c
MAM00197c,[protein]-L-arginine,c
MAM00198c,[protein]-L-asparagine,c
MAM00199c,[protein]-L-citrulline,c
MAM00200c,[protein]-L-cysteine,c
MAM00201c,[protein]-L-glutamine,c
MAM00202c,[protein]-L-isoaspartate,c
MAM00203c,[protein]-L-isoaspartate-methyl ester,c
MAM00204c,[protein]-L-lysine,c
MAM00204e,[protein]-L-lysine,e
MAM00205c,[protein]-L-serine,c
MAM00206c,[protein]-L-tyrosine,c
MAM00207c,[protein]-N5-alkylglutamine,c
MAM00208c,[protein]-N6-(dihydrolipoyl)lysine,c
MAM00209c,[protein]-N6-(lipoyl)lysine,c
MAM00210c,[protein]-N6-(octanoyl)lysine,c
MAM00211c,"[protein]-N6,N6,N6-trimethyl-L-lysine",c
MAM00212c,"[protein]-N6,N6-dimethyl-L-lysine",c
MAM00213c,[protein]-N6-methyl-L-lysine,c
MAM00214c,[protein]-N-ubiquityllysine,c
MAM00215c,[protein]-omega-N-(ADP-D-ribosyl)-L-arginine,c
MAM00216c,[protein]-S-methyl-L-cysteine,c
MAM00217c,[protein]-tyrosine-O-sulfate,c
MAM00219c,[pyruvate dehydrogenase (acetyl transferring)],c
MAM00220c,[pyruvate dehydrogenase (acetyl transferring)]-phosphate,c
MAM00221c,"1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",c
MAM00222c,1-(1-alkenyl)-sn-glycero-3-phosphate,c
MAM00223c,1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine,c
MAM00224c,1-(1-alkenyl)-sn-glycerol,c
MAM00225c,"1-(3-pyridinyl)-1,4-butanediol",c
MAM00226c,"1-(methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol",c
MAM00227c,"1,1-dichloroethylene epoxide",c
MAM00228c,"1,1-dichloroethylene",c
MAM00228e,"1,1-dichloroethylene",e
MAM00229c,"1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal",c
MAM00230c,"1,2,3,4-tetrahydro-beta-carboline",c
MAM00231c,"1,2-dehydrosalsolinol",c
MAM00232c,"1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen",c
MAM00233c,"1,2-diacylglycerol-bile-PC pool",c
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e
MAM00235c,"1,2-diacylglycerol-LD-PC pool",c
MAM00236c,"1,2-diacylglycerol-LD-PE pool",c
MAM00237c,"1,2-diacylglycerol-LD-PI pool",c
MAM00238c,"1,2-diacylglycerol-LD-PS pool",c
MAM00239c,"1,2-diacylglycerol-LD-SM pool",c
MAM00240c,"1,2-diacylglycerol-LD-TAG pool",c
MAM00241e,"1,2-diacylglycerol-VLDL pool",e
MAM00242c,"1,2-dibromoethane",c
MAM00242e,"1,2-dibromoethane",e
MAM00243c,"1,2-dihydronaphthalene-1,2-diol",c
MAM00244c,"1,2-dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene",c
MAM00245c,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one",c
MAM00246c,"1,2-naphthoquinone",c
MAM00247c,"1,3-bisphospho-D-glycerate",c
MAM00248c,"1,3-diaminopropane",c
MAM00249c,"1,4-benzothiazine-O-quinonimine",c
MAM00250c,"1,4-dihydroxynaphthalene",c
MAM00251c,"1,4-naphthoquinone",c
MAM00252c,"10,11-dihydro-12-epi-LTB4",c
MAM00252m,"10,11-dihydro-12-epi-LTB4",m
MAM00253c,"10,11-dihydro-12-oxo-LTB4",c
MAM00253m,"10,11-dihydro-12-oxo-LTB4",m
MAM00254c,"10,11-dihydro-12R-hydroxy-LTC4",c
MAM00254m,"10,11-dihydro-12R-hydroxy-LTC4",m
MAM00255c,"10,11-dihydro-20-dihydroxy-LTB4",c
MAM00256c,"10,11-dihydro-20-trihydroxy-LTB4",c
MAM00257c,"10,11-dihydro-LTB4",c
MAM00257m,"10,11-dihydro-LTB4",m
MAM00258c,"10,11-dihydro-LTB4-CoA",c
MAM00258m,"10,11-dihydro-LTB4-CoA",m
MAM00259c,"10,11-epoxy-(4Z,7Z)-hexadecadienoic acid",c
MAM00260c,"10,13,16,19-docosatetraenoic acid",c
MAM00260e,"10,13,16,19-docosatetraenoic acid",e
MAM00261c,"10,13,16,19-docosatetraenoylcarnitine",c
MAM00261m,"10,13,16,19-docosatetraenoylcarnitine",m
MAM00262c,"10,13,16,19-docosatetraenoyl-CoA",c
MAM00262m,"10,13,16,19-docosatetraenoyl-CoA",m
MAM00263c,"10,13,16-docosatrienoylcarnitine",c
MAM00263m,"10,13,16-docosatrienoylcarnitine",m
MAM00264c,"10,13,16-docosatrienoyl-CoA",c
MAM00264m,"10,13,16-docosatrienoyl-CoA",m
MAM00265c,"10,13,16-docosatriynoic acid",c
MAM00265e,"10,13,16-docosatriynoic acid",e
MAM00266c,10-formyl-THF,c
MAM00266m,10-formyl-THF,m
MAM00266e,10-formyl-THF,e
MAM00267c,10-formyl-THF-glu(5),c
MAM00267m,10-formyl-THF-glu(5),m
MAM00267e,10-formyl-THF-glu(5),e
MAM00268c,10-formyl-THF-glu(6),c
MAM00268m,10-formyl-THF-glu(6),m
MAM00268e,10-formyl-THF-glu(6),e
MAM00269c,10-formyl-THF-glu(7),c
MAM00269m,10-formyl-THF-glu(7),m
MAM00269e,10-formyl-THF-glu(7),e
MAM00270c,10-HETE,c
MAM00271c,10-hydroperoxy-H4-neuroprostane,c
MAM00272c,10-hydroxy-D4-neuroprostane,c
MAM00273c,10-hydroxy-E4-neuroprostane,c
MAM00274c,10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide,c
MAM00275c,10-peroxy-docosahexaenoate,c
MAM00276c,"11,12,15-THETA",c
MAM00277c,"11,12-DHET",c
MAM00278c,"11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate",c
MAM00279c,"11,12-EET",c
MAM00280c,"11,14,15-THETA",c
MAM00281c,"11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-(5Z,9E)-eicosadienoate",c
MAM00282c,"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid",c
MAM00283c,"11beta,17alpha,21-trihydroxypregnenolone",c
MAM00284c,"11beta-hydroxyandrost-4-ene-3,17-dione",c
MAM00284m,"11beta-hydroxyandrost-4-ene-3,17-dione",m
MAM00285c,11beta-hydroxyprogesterone,c
MAM00286m,11-carboxy-alpha-chromanol,m
MAM00287m,11-carboxy-alpha-tocotrienol,m
MAM00288m,11-carboxy-gamma-chromanol,m
MAM00289m,11-carboxy-gamma-tocotrienol,m
MAM00290c,11-cis-retinal,c
MAM00291c,11-cis-retinol,c
MAM00292c,11-cis-retinyl-palmitate,c
MAM00293c,11-dehydro-thromboxane B2,c
MAM00294c,11-deoxycorticosterone,c
MAM00294m,11-deoxycorticosterone,m
MAM00295c,11-deoxycortisol,c
MAM00295m,11-deoxycortisol,m
MAM00296c,"11h-14,15-EETA",c
MAM00297c,11-HETE,c
MAM00298c,11-HpODE,c
MAM00299c,11-hydroperoxy-H4-neuroprostane,c
MAM00300c,11-hydroxy-D4-neuroprostane,c
MAM00301c,11-hydroxy-E4-neuroprostane,c
MAM00302c,"11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate",c
MAM00303c,11-peroxy-docosahexaenoate,c
MAM00304c,11-trans-LTE4,c
MAM00305c,12(13)-EpOME,c
MAM00306c,12(R)-HPETE,c
MAM00307c,12(S)-HETE,c
MAM00308c,12(S)-HHT,c
MAM00309c,12(S)-HPETE,c
MAM00309e,12(S)-HPETE,e
MAM00310c,"12,13-epoxy-(6Z,9Z)-octadecadienoic acid",c
MAM00311c,"12,13-epoxy-9-alkoxy-(10E)-octadecenoate",c
MAM00312c,"12,13-epoxy-9-hydroperoxy-(10E)-octadecenoate",c
MAM00313c,"12,13-epoxylinoleic acid-radical",c
MAM00314c,"12,13-hydroxyoctadec-9(z)-enoate",c
MAM00315c,"12,15,18,21-tetracosatetraenoic acid",c
MAM00315e,"12,15,18,21-tetracosatetraenoic acid",e
MAM00316c,"12,15,18,21-tetracosatetraenoylcarnitine",c
MAM00317c,"12,15,18,21-tetracosatetraenoyl-CoA",c
MAM00318c,"12,20-diHETE",c
MAM00319c,"12,20-dioxo-LTB4",c
MAM00320c,12-epi-LTB4,c
MAM00321c,12-hetre,c
MAM00322c,12-hydroperoxyeicosatetraenoate-glyceryl-ester,c
MAM00323c,12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate,c
MAM00325c,12-hydroxydodecanoic acid,c
MAM00325e,12-hydroxydodecanoic acid,e
MAM00326c,12-keto-LTB4,c
MAM00326m,12-keto-LTB4,m
MAM00327c,12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate,c
MAM00328c,"12-oxo-10,11-dihydro-20-COOH-LTB4",c
MAM00329c,12-oxo-20-carboxy-LTB4,c
MAM00330c,12-oxo-20-dihydroxy-LTB4,c
MAM00331c,12-oxo-20-hydroxy-LTB4,c
MAM00332c,12-oxo-20-trihydroxy-LTB4,c
MAM00333c,12-oxo-c-LTB3,c
MAM00333m,12-oxo-c-LTB3,m
MAM00334c,12-oxoETE,c
MAM00335c,"12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate",c
MAM00336c,13(S)-HODE,c
MAM00337c,13(S)-HPODE,c
MAM00338c,"13,14-dihydro-15-keto-PGD2",c
MAM00339c,"13,14-dihydro-15-oxo-lipoxin A4",c
MAM00340c,"13,14-dihydro-lipoxin A4",c
MAM00341c,"13,16,19-docosatrienoic acid",c
MAM00341e,"13,16,19-docosatrienoic acid",e
MAM00342c,"13,16,19-docosatrienoylcarnitine",c
MAM00342m,"13,16,19-docosatrienoylcarnitine",m
MAM00343c,"13,16,19-docosatrienoyl-CoA",c
MAM00343m,"13,16,19-docosatrienoyl-CoA",m
MAM00344c,13-carboxy-alpha-tocopherol,c
MAM00344m,13-carboxy-alpha-tocopherol,m
MAM00345c,13-carboxy-alpha-tocotrienol,c
MAM00345m,13-carboxy-alpha-tocotrienol,m
MAM00346c,13-carboxy-gamma-tocopherol,c
MAM00346m,13-carboxy-gamma-tocopherol,m
MAM00347c,13-carboxy-gamma-tocotrienol,c
MAM00347m,13-carboxy-gamma-tocotrienol,m
MAM00348c,13-cis-oxo-retinoate,c
MAM00349c,13-cis-retinal,c
MAM00350c,13-cis-retinoate,c
MAM00351c,13-cis-retinol,c
MAM00353c,13-cis-retinoyl-glucuronide,c
MAM00353e,13-cis-retinoyl-glucuronide,e
MAM00354c,13-HETE,c
MAM00355c,13-hydroperoxy-H4-neuroprostane,c
MAM00356c,13-hydroxy-alpha-tocopherol,c
MAM00357c,13-hydroxy-alpha-tocotrienol,c
MAM00358c,13-hydroxy-D4-neuroprostane,c
MAM00359c,13-hydroxy-E4-neuroprostane,c
MAM00360c,13-hydroxy-gamma-tocopherol,c
MAM00361c,13-hydroxy-gamma-tocotrienol,c
MAM00362c,"13-oxo-(9Z,11E)-tridecadienoate",c
MAM00363c,13-oxy-radical-octadecadienoate,c
MAM00364c,"14,15-DHET",c
MAM00365c,"14,15-DiHETE",c
MAM00366c,"14,15-EET",c
MAM00367c,14-demethyllanosterol,c
MAM00368c,14-hydroperoxy-H4-neuroprostane,c
MAM00369c,14-hydroxy-D4-neuroprostane,c
MAM00370c,14-hydroxy-E4-neuroprostane,c
MAM00371c,14-hydroxytetradecanoic acid,c
MAM00371e,14-hydroxytetradecanoic acid,e
MAM00372c,14-peroxy-docosahexaenoate,c
MAM00373c,15(R)-HEPE,c
MAM00374c,15(R)-HETE,c
MAM00375c,15(R)-HpEPE,c
MAM00376c,15(S)-HEPE,c
MAM00377c,15(S)-HETE,c
MAM00378c,15(S)-HETrE,c
MAM00379c,15(S)-HpEPE,c
MAM00380c,15(S)-HPETE,c
MAM00381c,15-dehydro-prostaglandin D2,c
MAM00382c,"15-deoxy-delta-12,14-PGD2",c
MAM00383c,"15-deoxy-delta-12,14-PGJ2",c
MAM00384c,15-deoxy-PGD2,c
MAM00385c,15-deoxy-prostaglandin J2,c
MAM00386c,15-epi-lipoxin A4,c
MAM00387c,15-epi-lipoxin A5,c
MAM00388c,15-epi-lipoxin B4,c
MAM00389c,15-epi-lipoxin B5,c
MAM00390c,"15H-11,12-EETA",c
MAM00391c,15-HpETrE,c
MAM00392c,15-keto-prostaglandin F2alpha,c
MAM00393c,15-oxoETE,c
MAM00394c,15-oxo-lipoxin A4,c
MAM00395c,15-oxo-prostaglandin E2-glyceryl ester,c
MAM00396c,16(R)-HETE,c
MAM00400c,16alpha-hydroxyestrone,c
MAM00402c,16-glucuronide-estriol,c
MAM00402e,16-glucuronide-estriol,e
MAM00403c,16-hydroxyhexadecanoic acid,c
MAM00403e,16-hydroxyhexadecanoic acid,e
MAM00404c,16-peroxy-docosahexaenoate,c
MAM00405c,"17alpha,20alpha-dihydroxycholesterol",c
MAM00406c,"17alpha,21-dihydroxypregnenolone",c
MAM00407c,17alpha-hydroxypregnenolone sulfate,c
MAM00408c,17alpha-hydroxypregnenolone,c
MAM00409c,17alpha-hydroxyprogesterone,c
MAM00410c,"17beta-estradiol-2,3-quinone",c
