ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR00012,,"fatty acid-uptake pool[e] => 0.0001 (10Z)-heptadecenoic acid[e] + 0.0001 (11Z,14Z)-eicosadienoic acid[e] + 0.0001 (11Z,14Z,17Z)-eicosatrienoic acid[e] + 0.0001 (13Z)-eicosenoic acid[e] + 0.0001 (13Z)-octadecenoic acid[e] + 0.0001 (13Z,16Z)-docosadienoic acid[e] + 0.0001 (4Z,7Z,10Z,13Z,16Z)-DPA[e] + 0.0001 (6Z,9Z)-octadecadienoic acid[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z)-TPA[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z,21Z)-THA[e] + 0.0001 (7Z)-octadecenoic acid[e] + 0.0001 (7Z)-tetradecenoic acid[e] + 0.0001 (9E)-tetradecenoic acid[e] + 0.0001 (9Z,12Z,15Z,18Z)-TTA[e] + 0.0001 (9Z,12Z,15Z,18Z,21Z)-TPA[e] + 0.0001 10,13,16,19-docosatetraenoic acid[e] + 0.0001 10,13,16-docosatriynoic acid[e] + 0.0001 12,15,18,21-tetracosatetraenoic acid[e] + 0.0001 13,16,19-docosatrienoic acid[e] + 0.0001 7-palmitoleic acid[e] + 0.0001 8,11-eicosadienoic acid[e] + 0.0001 9-eicosenoic acid[e] + 0.0001 9-heptadecylenic acid[e] + 0.0001 adrenic acid[e] + 0.0082 arachidonate[e] + 0.0001 behenic acid[e] + 0.0001 cerotic acid[e] + 0.0001 cis-cetoleic acid[e] + 0.0001 cis-erucic acid[e] + 0.0001 cis-gondoic acid[e] + 0.0001 cis-vaccenic acid[e] + 0.0041 DHA[e] + 0.002 dihomo-gamma-linolenate[e] + 0.0001 DPA[e] + 0.0001 eicosanoate[e] + 0.0001 elaidate[e] + 0.001 EPA[e] + 0.0001 gamma-linolenate[e] + 0.0001 heneicosanoic acid[e] + 0.0001 lauric acid[e] + 0.0001 lignocerate[e] + 0.1535 linoleate[e] + 0.0092 linolenate[e] + 0.0001 margaric acid[e] + 0.0001 mead acid[e] + 0.0338 myristic acid[e] + 0.0001 nervonic acid[e] + 0.0001 nonadecylic acid[e] + 0.3837 oleate[e] + 0.0001 omega-3-arachidonic acid[e] + 0.3015 palmitate[e] + 0.0522 palmitolate[e] + 0.0001 pentadecylic acid[e] + 0.0001 physeteric acid[e] + 0.046 stearate[e] + 0.0001 stearidonic acid[e] + 0.0001 tricosanoic acid[e] + 0.0001 tridecylic acid[e] + 0.0001 ximenic acid[e]",,,,,,,,Pool reactions,,,,0
MAR00013,,HDL[e] => 20 cholesterol[e] + 160 cholesterol-ester pool[e] + HDL remnant[e],3.1.1.34,Lpl,,,,,,Pool reactions,,,,0
MAR00014,,LDL[e] => 680 cholesterol[e] + 1515 cholesterol-ester pool[e] + LDL remnant[e],3.1.1.34,Lpl,,,,,,Pool reactions,,,,0
MAR00015,,"NEFA blood pool in[e] => 0.0048 (10Z)-heptadecenoic acid[e] + 0.0016 (11Z,14Z)-eicosadienoic acid[e] + 0.0016 (11Z,14Z,17Z)-eicosatrienoic acid[e] + 0.0001 (13Z)-eicosenoic acid[e] + 0.0001 (13Z)-octadecenoic acid[e] + 0.0001 (13Z,16Z)-docosadienoic acid[e] + 0.0001 (4Z,7Z,10Z,13Z,16Z)-DPA[e] + 0.0001 (6Z,9Z)-octadecadienoic acid[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z)-TPA[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z,21Z)-THA[e] + 0.0001 (7Z)-octadecenoic acid[e] + 0.0001 (7Z)-tetradecenoic acid[e] + 0.0001 (9E)-tetradecenoic acid[e] + 0.0001 (9Z,12Z,15Z,18Z)-TTA[e] + 0.0001 (9Z,12Z,15Z,18Z,21Z)-TPA[e] + 0.0001 10,13,16,19-docosatetraenoic acid[e] + 0.0001 10,13,16-docosatriynoic acid[e] + 0.0001 12,15,18,21-tetracosatetraenoic acid[e] + 0.0001 13,16,19-docosatrienoic acid[e] + 0.0001 7-palmitoleic acid[e] + 0.0001 8,11-eicosadienoic acid[e] + 0.0001 9-eicosenoic acid[e] + 0.0001 9-heptadecylenic acid[e] + 0.0017 adrenic acid[e] + 0.0137 arachidonate[e] + 0.0007 behenic acid[e] + 0.0005 cerotic acid[e] + 0.0001 cis-cetoleic acid[e] + 0.0002 cis-erucic acid[e] + 0.0001 cis-gondoic acid[e] + 0.0001 cis-vaccenic acid[e] + 0.0046 DHA[e] + 0.0025 dihomo-gamma-linolenate[e] + 0.0019 DPA[e] + 0.0011 eicosanoate[e] + 0.0001 elaidate[e] + 0.002 EPA[e] + 0.0048 gamma-linolenate[e] + 0.0001 heneicosanoic acid[e] + 0.0034 lauric acid[e] + 0.0012 lignocerate[e] + 0.071 linoleate[e] + 0.0005 linolenate[e] + 0.0056 margaric acid[e] + 0.0005 mead acid[e] + 0.0283 myristic acid[e] + 0.0003 nervonic acid[e] + 0.0001 nonadecylic acid[e] + 0.3746 oleate[e] + 0.0001 omega-3-arachidonic acid[e] + 0.2949 palmitate[e] + 0.0686 palmitolate[e] + 0.003 pentadecylic acid[e] + 0.0001 physeteric acid[e] + 0.1031 stearate[e] + 0.0001 stearidonic acid[e] + 0.0002 tricosanoic acid[e] + 0.0001 tridecylic acid[e] + 0.0001 ximenic acid[e]",,,,,,,,Transport reactions,,,,0
MAR00016,,"0.0001 (10Z)-heptadecenoic acid[e] + 0.0023 (11Z,14Z)-eicosadienoic acid[e] + 0.0003 (11Z,14Z,17Z)-eicosatrienoic acid[e] + 0.0002 (13Z)-eicosenoic acid[e] + 0.003 (13Z)-octadecenoic acid[e] + 0.0001 (13Z,16Z)-docosadienoic acid[e] + 0.0001 (4Z,7Z,10Z,13Z,16Z)-DPA[e] + 0.0001 (6Z,9Z)-octadecadienoic acid[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z)-TPA[e] + 0.0001 (6Z,9Z,12Z,15Z,18Z,21Z)-THA[e] + 0.0001 (7Z)-octadecenoic acid[e] + 0.0004 (7Z)-tetradecenoic acid[e] + 0.0023 (9E)-tetradecenoic acid[e] + 0.0001 (9Z,12Z,15Z,18Z)-TTA[e] + 0.0001 (9Z,12Z,15Z,18Z,21Z)-TPA[e] + 0.0001 10,13,16,19-docosatetraenoic acid[e] + 0.0001 10,13,16-docosatriynoic acid[e] + 0.0001 12,15,18,21-tetracosatetraenoic acid[e] + 0.0001 13,16,19-docosatrienoic acid[e] + 0.0045 7-palmitoleic acid[e] + 0.0002 8,11-eicosadienoic acid[e] + 0.001 9-eicosenoic acid[e] + 0.0037 9-heptadecylenic acid[e] + 0.0008 adrenic acid[e] + 0.0051 arachidonate[e] + 0.0002 behenic acid[e] + 0.0001 cerotic acid[e] + 0.0001 cis-cetoleic acid[e] + 0.0002 cis-erucic acid[e] + 0.0046 cis-gondoic acid[e] + 0.0204 cis-vaccenic acid[e] + 0.0012 DHA[e] + 0.0021 dihomo-gamma-linolenate[e] + 0.0009 DPA[e] + 0.0009 eicosanoate[e] + 0.0001 elaidate[e] + 0.0009 EPA[e] + 0.0005 gamma-linolenate[e] + 0.0001 heneicosanoic acid[e] + 0.0061 lauric acid[e] + 0.0001 lignocerate[e] + 0.1573 linoleate[e] + 0.0073 linolenate[e] + 0.0001 margaric acid[e] + 0.0001 mead acid[e] + 0.035 myristic acid[e] + 0.0001 nervonic acid[e] + 0.0001 nonadecylic acid[e] + 0.383 oleate[e] + 0.0004 omega-3-arachidonic acid[e] + 0.2478 palmitate[e] + 0.0395 palmitolate[e] + 0.0039 pentadecylic acid[e] + 0.0001 physeteric acid[e] + 0.0613 stearate[e] + 0.0001 stearidonic acid[e] + 0.0001 tricosanoic acid[e] + 0.0001 tridecylic acid[e] + 0.0001 ximenic acid[e] => NEFA blood pool out[e]",,,,,,,,Transport reactions,,,,0
MAR00017,,SMCFA-blood-pool[e] => 0.125 butyrate[e] + 0.125 decanoic acid[e] + 0.125 heptylic acid[e] + 0.125 hexanoic acid[e] + 0.125 nonanoic acid[e] + 0.125 octanoic acid[e] + 0.125 undecylic acid[e] + 0.125 valeric acid[e],,,,,,,,Transport reactions,,,,0
MAR00018,,cholesterol[c] <=> cholesterol[e],,Npc1l1,,,,,,Transport reactions,,,,0
MAR00019,,cholesterol-ester pool[e] => cholesterol-ester pool[l],,Scarb1,,,,,,Transport reactions,,,,0
MAR00020,,cholesterol-ester pool[c] <=> cholesterol-ester pool[r],,,,,,,,Transport reactions,,,,0
MAR00021,,alanine[c] + arginine[c] + asparagine[c] + aspartate[c] + cholesterol[c] + cholesterol-ester pool[r] + CL pool[c] + cofactors and vitamins[c] + cysteine[c] + DNA[n] + DNA-5-methylcytosine[n] + glutamate[c] + glutamine[c] + glycine[c] + histidine[c] + isoleucine[c] + leucine[c] + lipid droplet[c] + lysine[c] + methionine[c] + phenylalanine[c] + phosphatidate-LD-TAG pool[c] + PI pool[c] + proline[c] + RNA[c] + serine[c] + SM pool[c] + threonine[c] + tryptophan[c] + tyrosine[c] + valine[c] + glycogen[c] => biomass[c],,,,,1.0,,,Artificial reactions,,,,0
MAR00022,,[protein]-N6-(lipoyl)lysine[c] + biotin[c] + CoA[c] + cobamide-coenzyme[m] + cytochrome-C[m] + FADH2[c] + L-carnitine[c] + NADH[c] + NADPH[c] + riboflavin[c] + tetrahydrobiopterin[c] + THF[c] + ubiquinol[m] + 0.1 vitamin A derivatives[c] + 0.1 vitamin D derivatives[c] + 0.1 vitamin E derivatives[c] => cofactors and vitamins[c],,,,,,,,Artificial reactions,,,,0
MAR00023,,"11-cis-retinol[c] + 18-hydroxy-all-trans-retinoate[c] + 18-hydroxy-all-trans-retinoate[r] + 4-hydroxyvitamin A1[c] + 4-hydroxyvitamin A1[r] + 4-OH-13-cis-retinal[c] + 4-OH-13-cis-retinal[r] + 4-OH-retinal[c] + 4-OH-retinal[r] + 4-oxo-13-cis-retinoate[r] + 4-oxo-9-cis-retinal[c] + 4-oxo-9-cis-retinal[r] + 4-oxo-9-cis-retinoyl-beta-glucuronide[c] + 4-oxo-9-cis-retinoyl-beta-glucuronide[r] + 4-oxo-all-trans-retinoate[c] + 4-oxo-all-trans-retinoate[r] + 4-oxoretinol[c] + 5,8-epoxy-13-cis-retinoate[c] + 9-cis-retinol[c] + N-retinylidene-N-retinylethanolamine[c] => vitamin A derivatives[c]",,,,,,,,Artificial reactions,,,,0
MAR00031,,"0.19 1,2-diacylglycerol-LD-TAG pool[c] + 0.0014 1-acyl-PE pool[c] + 0.0024 1-radyl-2-acyl-sn-glycero-3-phosphocholine[c] + 0.0006 2-lysolecithin pool[c] + 0.005 cholesterol[c] + 0.34 cholesterol-ester pool[c] + 0.0008 O-1-alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine[c] + 0.0092 PC-LD pool[c] + 0.0034 PE-LD pool[c] + 0.0016 PI pool[c] + 0.0002 PS-LD pool[c] + 0.0004 SM pool[c] + 0.44 TAG-LD pool[c] + 0.005 fatty acid pool[c] => lipid droplet[c]",,Bscl2 or Fitm1 or Fitm2 or Plin1 or Plin2 or Plin3 or Plin4,,,,,,Pool reactions,,,,0
MAR00033,,"24-oxo-1alpha,23,25-trihydroxyvitamin D3[c] + 24-oxo-1alpha,23,25-trihydroxyvitamin D3[m] + 25-hydroxyvitamin D3-26,23-lactone[c] + 25-hydroxyvitamin D3-26,23-lactone[m] => vitamin D derivatives[c]",,,,,,,,Artificial reactions,,,,0
MAR00034,,3-carboxy-alpha-chromanol[c] + gamma-CEHC-glucuronide[c] => vitamin E derivatives[c],,,,,,,,Artificial reactions,,,,0
MAR00035,,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol[c] + (1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene[c] + (1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene[c] + 1,2-dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene[c] + 1,2-naphthoquinone[c] + 1,4-naphthoquinone[c] + 1-naphthylamine[c] + 1-nitro-5,6-dihydroxy-dihydronaphthalene[c] + 1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene[c] + 1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene[c] + 1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene[c] + 1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene[c] + 2,2-dichloro-1,1-ethanediol[c] + 2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene[c] + 2-bromophenol[c] + 3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene[c] + 3-succinoylpyridine[c] + 4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone[c] + 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide[c] + 4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol[c] + 4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene[c] + 4-bromo-3,5-cyclohexadiene-1,2-dione[c] + 6-[2,3-dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione[c] + 7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene[c] + 7-hydroxymethyl-12-methylbenz[a]anthracene sulfate[c] + 9-hydroxybenzo[a]pyrene-4,5-oxide[c] + aflatoxin B1-endo-8,9-epoxide[c] + aflatoxin B1-exo-8,9-epoxide-GSH[c] + aflatoxin M1-8,9-epoxide[c] + aflatoxin Q1[c] + benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide[c] + dichloroacetate[c] + gamma-hydroxy-3-pyridinebutanoate[c] + 2 hydrobromic acid[c] + hydrochloride[c] + nitrogen[c] + NNAL-N-glucuronide[c] + N-nitrosomethanamine[c] + S-(1,2-dichlorovinyl)glutathione[c] + S-(2,2-dichloro-1-hydroxy)ethyl glutathione[c] + S-(2-hydroxyethyl)glutathione[c] + trans-5,6-dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene[c] + trichloroethanol glucuronide[c] => xenobiotics[e]",,,,,,,,Artificial reactions,,,,0
MAR00036,,"(11R)-HPETE[c] + (13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c] + (13E)-tetranor-16-carboxy-LTE4[x] + (18R)-HEPE[c] + 10,11-dihydro-12R-hydroxy-LTC4[c] + 10,11-dihydro-12R-hydroxy-LTC4[m] + 10,11-dihydro-12R-hydroxy-LTC4[x] + 10-HETE[c] + 10-HETE[r] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[c] + 10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[r] + 11,12,15-THETA[c] + 11,12-DHET[c] + 11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate[c] + 11,14,15-THETA[c] + 11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[c] + 11beta-hydroxyandrost-4-ene-3,17-dione[m] + 11beta-hydroxyandrost-4-ene-3,17-dione[r] + 11-dehydro-thromboxane B2[c] + 11-HETE[c] + 11-HpODE[c] + 11-trans-LTE4[c] + 12(R)-HPETE[c] + 12(S)-HHT[c] + 12,20-diHETE[c] + 12,20-diHETE[r] + 12,20-dioxo-LTB4[c] + 12-epi-LTB4[c] + 12-hetre[c] + 12-hydroperoxyeicosatetraenoate-glyceryl-ester[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[c] + 12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[r] + 12-hydroxy-arachidonate[r] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[c] + 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[r] + 12-oxo-10,11-dihydro-20-COOH-LTB4[c] + 12-oxo-10,11-dihydro-20-COOH-LTB4[r] + 12-oxo-c-LTB3[r] + 12-oxoETE[c] + 13(S)-HODE[c] + 13,14-dihydro-15-keto-PGD2[c] + 13,14-dihydro-lipoxin A4[c] + 13-cis-retinoyl-beta-D-glucuronide[r] + 13-HETE[c] + 14,15-DHET[c] + 14,15-EET[r] + 15(S)-HEPE[c] + 15(S)-HETrE[c] + 15-deoxy-delta-12,14-PGD2[c] + 15-deoxy-delta-12,14-PGJ2[c] + 15-deoxy-PGD2[c] + 15-epi-lipoxin A4[c] + 15-epi-lipoxin A4[r] + 15-epi-lipoxin A4[x] + 15-epi-lipoxin A5[c] + 15-epi-lipoxin A5[r] + 15-epi-lipoxin A5[x] + 15-epi-lipoxin B4[c] + 15-epi-lipoxin B4[r] + 15-epi-lipoxin B4[x] + 15-epi-lipoxin B5[c] + 15-epi-lipoxin B5[r] + 15-epi-lipoxin B5[x] + 15-keto-prostaglandin F2alpha[c] + 15-oxo-prostaglandin E2-glyceryl ester[c] + 16(R)-HETE[c] + 16,18-oxo-18-CoA-dinor-LTE4[x] + 17-HETE[c] + 18-COOH-LTB4[m] + 18-COOH-LTE4[x] + 18-HETE[c] + 18-hydroxy-arachidonate[r] + 19(S)-HETE[c] + 20-hydroxy-5S-HETE[c] + 20-hydroxy-LTB5[c] + 20-hydroxy-LTB5[r] + 20-OH-hepoxilin A3[c] + 20-OH-hepoxilin A3[r] + 20-trihydroxy-LTB4[c] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[m] + 3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate[x] + 5(S),6(S)-epoxy-15(R)-HEPE[n] + 5(S)-HEPE[x] + 5(S)-HpEPE[n] + 5,12,18R-TriHEPE[c] + 5,12,20-TriHETE[c] + 5,12-dihydroxy-(6E)-LTB5[c] + 5,15-DiHETE[c] + 5,6-DHET[c] + 5,6-EET[r] + 5,6-epoxy-(8Z)-tetradecenoic acid[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[c] + 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[r] + 6,7-dihydro-12-epi-LTB4[c] + 6,7-dihydro-12-epi-LTB4[m] + 6,7-dihydro-12-epi-LTB4[x] + 6,7-dihydro-LTB4[c] + 6,7-dihydro-LTB4[m] + 6,7-dihydro-LTB4[r] + 6,7-dihydro-LTB4[x] + 6-oxo-prostaglandin E1[c] + 6-oxo-prostaglandin F1alpha[r] + 6-trans-12-epi-LTB4[c] + 6-trans-12-epi-LTB4[m] + 6-trans-12-epi-LTB4[x] + 6-trans-LTB4[c] + 6-trans-LTB4[m] + 6-trans-LTB4[x] + 7-HETE[c] + 8(S)-HETE[c] + 8,9-DHET[c] + 8,9-EET[r] + 8,9-epoxy-(5Z)-tetradecenoic acid[c] + 8-HETE[c] + 9-HETE[c] + hepoxilin A3-c[c] + hepoxilin A3-c[x] + leukotriene D5[c] + lipoxin A4[n] + lipoxin A4[r] + lipoxin A4[x] + lipoxin B4[r] + lipoxin B4[x] + malonic-dialdehyde[c] + N-acetyl-LTE4[c] + N-acetyl-LTE4[n] + omega-carboxy-trinor-LTB4[m] + omega-carboxy-trinor-LTB4[x] + prostaglandin E2[r] + prostaglandin E3[n] + prostaglandin H1[r] + prostaglandin J2[r] + prostaglandin-PGB2-glyceryl ester[c] + prostaglandin-PGE2-1-glyceryl ester[c] + prostaglandin-PGE2-3-glyceryl ester[c] + S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione[c] + S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione[c] + S-(PGA1)-glutathione[c] + S-(PGA2)-glutathione[c] + S-(PGJ2)-glutathione[c] + trioxilin A3[c] + trioxilin A3[r] + trioxilin A3[x] + trioxilin B3[c] => arachidonate derivatives[e]",,,,,,,,Artificial reactions,,,,0
MAR00037,,"16alpha-hydroxyestrone[c] + 16alpha-hydroxyestrone[r] + 19-hydroxytestosterone[r] + 21-hydroxyallopregnanolone[c] + 27alpha-hydroxy-7-dehydrocholesterol[c] + 2-hydroxy-17beta-estradiol-1-S-glutathione[c] + 2-hydroxy-17beta-estradiol-1-S-glutathione[m] + 2-hydroxy-17beta-estradiol-1-S-glutathione[r] + 2-hydroxy-17beta-estradiol-1-S-glutathione[x] + 2-hydroxy-17beta-estradiol-4-S-glutathione[c] + 2-hydroxy-17beta-estradiol-4-S-glutathione[m] + 2-hydroxy-17beta-estradiol-4-S-glutathione[r] + 2-hydroxy-17beta-estradiol-4-S-glutathione[x] + 2-hydroxy-3-methoxy-17beta-estradiol[c] + 2-hydroxy-3-methoxyestrone[c] + 2-hydroxyestradiol-17beta[l] + 2-hydroxyestradiol-17beta[r] + 2-hydroxyestrone-1-S-glutathione[c] + 2-hydroxyestrone-1-S-glutathione[m] + 2-hydroxyestrone-1-S-glutathione[r] + 2-hydroxyestrone-1-S-glutathione[x] + 2-hydroxyestrone-4-S-glutathione[c] + 2-hydroxyestrone-4-S-glutathione[m] + 2-hydroxyestrone-4-S-glutathione[r] + 2-hydroxyestrone-4-S-glutathione[x] + 2-methoxyestradiol-17beta[c] + 2-methoxyestrone[c] + 2-methoxyestrone[r] + 3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one[r] + 3-monoiodo-L-thyronine[r] + 3-O-methyldopa[c] + 4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside[c] + 4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone[c] + 4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c] + 4,6-dihydroxyquinoline[c] + 4,8-dihydroxyquinoline[c] + 4-hydroxy-17beta-estradiol-2-S-glutathione[c] + 4-hydroxy-17beta-estradiol-2-S-glutathione[m] + 4-hydroxy-17beta-estradiol-2-S-glutathione[r] + 4-hydroxy-17beta-estradiol-2-S-glutathione[x] + 4-hydroxy-2-nonenal[c] + 4-hydroxyestrone-2-S-glutathione[c] + 4-hydroxyestrone-2-S-glutathione[m] + 4-hydroxyestrone-2-S-glutathione[r] + 4-hydroxyestrone-2-S-glutathione[x] + 4-methoxy-17beta-estradiol[c] + 4-methoxyestrone[c] + allopregnanolone[c] + estrone-2,3-semiquinone[r] + estrone-3,4-semiquinone[r] + methaneselenol[c] => steroids[e]",,,,,,,,Artificial reactions,,,,0
MAR00038,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,10-formyl-THF[c] <=> 10-formyl-THF[m],,,,,,,,Transport reactions,,,PMID:11375437,0
MAR00040,3- (4-Hydroxyphenyl-)Lactate Formation,4-hydroxyphenylpyruvate[m] + H+[m] + NADH[m] => 4-hydroxyphenyllactate[m] + NAD+[m],,,,,,,,Ubiquinone synthesis,,,PMID:11583838;PMID:12232327,0
MAR00041,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),"3-decaprenyl-4-hydroxybenzoate[m] + H+[m] + NADH[m] + O2[m] => 3,4-dihydroxy-5-all-trans-decaprenylbenzoate[m] + H2O[m] + NAD+[m]",,,,,,,,Ubiquinone synthesis,,,PMID:11051212,0
MAR00043,3-Hydroxyisobutyryl-Coenzyme A Hydrolase,3-hydroxypropionyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + hydracrylate[c],3.1.2.4,Hibch,,,,,,Beta-alanine metabolism,,,PMID:8824301,0
MAR00044,3-Hydroxypropionate Dehydrogenase,hydracrylate[c] + NAD+[c] <=> 3-oxopropanoate[c] + H+[c] + NADH[c],1.1.1.59,,,,,,,Propanoate metabolism,,,PMID:4507604,0
MAR00045,3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,3-methyl-2-oxobutyrate[c] + H+[c] => 3-methyl-2-oxobutyrate[m] + H+[m],,,,,,,,Transport reactions,,,PMID:8428987,0
MAR00046,"3'-Nucleotidase (AMP), Lysosomal",H2O[l] + 3-Adenosine Monophosphate[l] => adenosine[l] + Pi[l],3.1.3.2,Acp2 or Acp3 or Acp5 or Acp6,,,,,,Purine metabolism,,,,0
MAR00047,4-Hydroxybenzoyl Coenzyme A Formation,4-coumaroyl-CoA[m] + CoA[m] + H2O[m] + NAD+[m] => 4-hydroxybenzoyl-CoA[m] + acetyl-CoA[m] + H+[m] + NADH[m],,,,,,,,Ubiquinone synthesis,,,PMID:11583838;PMID:12232327,0
